Feature,Coefficient,abs_coefficient
MP_x,2.4942523418011224,2.4942523418011224
MP_y,-1.77966874318812,1.77966874318812
TRB_y,-0.9056122893593057,0.9056122893593057
3P%_y,0.8340100074341829,0.8340100074341829
seedDiff,0.49220799127163706,0.49220799127163706
AST_x,-0.4162593439343462,0.4162593439343462
3PA_y,-0.34104283589642004,0.34104283589642004
FT%_y,-0.32529612794308704,0.32529612794308704
3PA_x,-0.3225701879268851,0.3225701879268851
FTA_x,-0.2558979798243734,0.2558979798243734
isUnderdog_x,0.22979460368905458,0.22979460368905458
STL_y,0.2181165263297507,0.2181165263297507
FT%_x,0.12432711396643037,0.12432711396643037
ORB_x,-0.1153049722520803,0.1153049722520803
Opp_x,0.10384253116253064,0.10384253116253064
PF_y,0.08741244891366627,0.08741244891366627
BLK_y,0.07920511091529454,0.07920511091529454
upperclassmen_y,-0.0664289515222732,0.0664289515222732
3P%_x,0.06288493416122362,0.06288493416122362
isUnderdog_y,-0.00970833419859682,0.00970833419859682
Opp_y,-0.007960686806237398,0.007960686806237398
TOV_y,0.003254767667865342,0.003254767667865342
