Team,Win-Loss Record,Win %,MOV,ATS +/-
Gonzaga,226-71-0,76.1%,9.3,+1.3
Duke,183-93-0,66.3%,7.2,+0.2
Kansas,187-98-0,65.6%,4.3,-0.3
Kentucky,172-112-0,60.6%,3.6,+1.0
Arizona,179-123-0,59.3%,3.8,+0.6
N Carolina,179-125-0,58.9%,3.0,0.0
Vermont,233-175-0,57.1%,1.6,+0.5
Murray St,202-156-0,56.4%,2.3,+0.5
Col Charlestn,194-150-0,56.4%,1.5,+1.7
Memphis,156-131-0,54.4%,1.5,+0.8
Michigan St,156-133-0,54.0%,1.9,-0.1
Syracuse,145-125-0,53.7%,0.0,+0.4
VCU,172-150-0,53.4%,1.3,+0.4
Villanova,168-147-0,53.3%,1.4,0.0
St Marys,160-144-0,52.6%,1.1,+1.1
Princeton,185-168-0,52.4%,0.6,+0.9
Davidson,178-163-0,52.2%,0.5,+0.8
Connecticut,146-136-0,51.8%,1.2,-0.1
Utah St,173-163-0,51.5%,1.2,+0.4
Belmont,210-198-0,51.5%,0.4,+0.3
UCLA,145-137-0,51.4%,-0.3,+0.6
Wichita St,157-151-0,51.0%,0.4,+0.8
Cincinnati,149-144-0,50.9%,0.6,-0.1
Xavier,156-151-0,50.8%,1.1,+0.1
Kent St,188-183-0,50.7%,-0.7,+0.6
Wisconsin,155-154-0,50.2%,0.1,+0.4
Creighton,166-166-0,50.0%,0.2,+0.1
Temple,174-176-0,49.7%,0.1,+0.7
Florida,144-146-0,49.7%,1.4,0.0
Butler,163-166-0,49.5%,-0.1,-0.3
BYU,155-162-0,48.9%,0.8,+0.6
UAB,163-173-0,48.5%,-1.4,+0.3
Hofstra,189-201-0,48.5%,-0.7,+1.5
Ste F Austin,171-182-0,48.4%,-0.7,-1.0
Iona,185-201-0,47.9%,-0.1,+0.3
Louisville,139-153-0,47.6%,0.6,+0.8
San Diego St,150-166-0,47.5%,-1.4,+0.2
Stanford,147-164-0,47.3%,-0.7,+0.2
Winthrop,179-204-0,46.7%,-1.4,+0.9
U Penn,165-188-0,46.7%,-1.5,+0.6
Grd Canyon,57-66-1,46.3%,-2.0,-0.4
Dayton,138-160-0,46.3%,-0.4,+0.3
Merrimack,34-40-1,46.0%,-3.7,+1.3
Tennessee,133-157-0,45.9%,-1.0,+0.1
Boston U,188-223-0,45.7%,-2.0,+1.8
Texas,132-157-0,45.7%,-1.3,-0.4
Oregon,139-167-0,45.4%,-2.7,-0.3
E Tenn St,176-213-0,45.2%,-2.6,+0.8
Purdue,129-157-0,45.1%,-1.2,-0.5
Ohio St,128-156-0,45.1%,-1.8,-0.2
Nevada,160-195-0,45.1%,-2.2,+1.1
UNLV,140-171-0,45.0%,-1.8,+0.5
Harvard,164-202-0,44.8%,-2.3,0.0
N Mex State,152-188-1,44.7%,-1.8,-0.3
Illinois,129-160-0,44.6%,-1.0,+0.3
W Kentucky,157-195-0,44.6%,-1.6,-0.1
