YEAR_x,TEAM_x,SEED_x,SCORE_x,gameID,TEAMORIGINAL_x,Closest Match_x,afterWin_winLoss_Win_percent_x_x,afterWin_winLoss_MOV_x_x,afterWin_winLoss_ATS_x_x,asUnderdog_winLoss_Win_percent_x_x,asUnderdog_winLoss_MOV_x_x,asUnderdog_winLoss_ATS_x_x,away_winLoss_Win_percent_x_x,away_winLoss_MOV_x_x,away_winLoss_ATS_x_x,neutralSite_winLoss_Win_percent_x_x,neutralSite_winLoss_MOV_x_x,neutralSite_winLoss_ATS_x_x,overallWinPercentage_Win_percent_x_x,overallWinPercentage_MOV_x_x,overallWinPercentage_ATS_x_x,Team Original_x_x,Team_x_x,afterLoss_winLoss_Win_percent_y_x,afterLoss_winLoss_MOV_y_x,afterLoss_winLoss_ATS_y_x,afterWin_winLoss_Win_percent_y_x,afterWin_winLoss_MOV_y_x,afterWin_winLoss_ATS_y_x,asUnderdog_winLoss_Win_percent_y_x,asUnderdog_winLoss_MOV_y_x,asUnderdog_winLoss_ATS_y_x,restAdvantage_winLoss_Win_percent_y_x,restAdvantage_winLoss_MOV_y_x,restAdvantage_winLoss_ATS_y_x,equalRest_winLoss_Win_percent_y_x,equalRest_winLoss_MOV_y_x,equalRest_winLoss_ATS_y_x,away_winLoss_Win_percent_y_x,away_winLoss_MOV_y_x,away_winLoss_ATS_y_x,home_winLoss_Win_percent_y_x,home_winLoss_MOV_y_x,home_winLoss_ATS_y_x,neutralSite_winLoss_Win_percent_y_x,neutralSite_winLoss_MOV_y_x,neutralSite_winLoss_ATS_y_x,overallWinPercentage_Win_percent_y_x,overallWinPercentage_MOV_y_x,overallWinPercentage_ATS_y_x,Team Original_y_x,TEAM_lower_x,Team_y_x,year_x,upperclassmen_x,SRS_x,SOS_x,Tm_x,Opp_x,MP_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,ORB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,Year_x,YEAR_y,TEAM_y,SEED_y,SCORE_y,TEAMORIGINAL_y,Closest Match_y,afterWin_winLoss_Win_percent_x_y,afterWin_winLoss_MOV_x_y,afterWin_winLoss_ATS_x_y,asUnderdog_winLoss_Win_percent_x_y,asUnderdog_winLoss_MOV_x_y,asUnderdog_winLoss_ATS_x_y,away_winLoss_Win_percent_x_y,away_winLoss_MOV_x_y,away_winLoss_ATS_x_y,neutralSite_winLoss_Win_percent_x_y,neutralSite_winLoss_MOV_x_y,neutralSite_winLoss_ATS_x_y,overallWinPercentage_Win_percent_x_y,overallWinPercentage_MOV_x_y,overallWinPercentage_ATS_x_y,Team Original_x_y,Team_x_y,afterLoss_winLoss_Win_percent_y_y,afterLoss_winLoss_MOV_y_y,afterLoss_winLoss_ATS_y_y,afterWin_winLoss_Win_percent_y_y,afterWin_winLoss_MOV_y_y,afterWin_winLoss_ATS_y_y,asUnderdog_winLoss_Win_percent_y_y,asUnderdog_winLoss_MOV_y_y,asUnderdog_winLoss_ATS_y_y,restAdvantage_winLoss_Win_percent_y_y,restAdvantage_winLoss_MOV_y_y,restAdvantage_winLoss_ATS_y_y,equalRest_winLoss_Win_percent_y_y,equalRest_winLoss_MOV_y_y,equalRest_winLoss_ATS_y_y,away_winLoss_Win_percent_y_y,away_winLoss_MOV_y_y,away_winLoss_ATS_y_y,home_winLoss_Win_percent_y_y,home_winLoss_MOV_y_y,home_winLoss_ATS_y_y,neutralSite_winLoss_Win_percent_y_y,neutralSite_winLoss_MOV_y_y,neutralSite_winLoss_ATS_y_y,overallWinPercentage_Win_percent_y_y,overallWinPercentage_MOV_y_y,overallWinPercentage_ATS_y_y,Team Original_y_y,TEAM_lower_y,Team_y_y,year_y,upperclassmen_y,SRS_y,SOS_y,Tm_y,Opp_y,MP_y,FG_y,FGA_y,FG%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,ORB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,Year_y,seedDiff,isUnderdog_x,isUnderdog_y
2023,Alabama,1,96.0,74,Alabama,alabama,58.7%,4.3,0.1,28.2%,-5.7,0.1,34.0%,-4.1,-1.0,55.1%,1.3,+0.2,60.3%,4.5,0.3,Alabama,alabama,61.7%,3.7,0.4,58.7%,4.3,0.1,28.2%,-5.7,0.1,64.9%,5.9,0.2,57.9%,3.2,0.2,34.0%,-4.1,-1.0,79.4%,11.3,1.3,55.1%,1.3,+0.2,60.3%,4.5,0.3,Alabama,alabama,alabama,2023.0,2.0,23.19,9.65,3027.0,2526.0,1510.0,1023.0,2314.0,0.442,366.0,1093.0,0.335,615.0,848.0,0.725,484.0,1652.0,555.0,224.0,189.0,512.0,691.0,2023.0,2023,Texas A&M Corpus Chris,16,75.0,Texas A&M Corpus Chris,texas a&m corpus chris,55.1%,1.8,0.6,23.7%,-7.6,1.6,36.5%,-5.4,1.8,53.6%,0.6,-1.7,51.9%,1.3,0.6,TX A&M-CC,texas a&m corpus chris,46.4%,-0.1,0.9,55.1%,1.8,0.6,23.7%,-7.6,1.6,60.8%,6.4,-3.2,51.1%,0.3,1.2,36.5%,-5.4,1.8,68.0%,8.6,0.2,53.6%,0.6,-1.7,51.9%,1.3,0.6,TX A&M-CC,texas a&m corpus chris,,,,,,,,,,,,,,,,,,,,,,,,,,15,True,False
2023,Maryland,8,67.0,75,Maryland,maryland,65.3%,7.5,0.1,32.5%,-4.9,0.6,43.2%,-1.9,0.2,56.4%,3.3,-0.3,65.6%,7.1,0.0,Maryland,maryland,64.3%,4.9,0.0,65.3%,7.5,0.1,32.5%,-4.9,0.6,67.1%,8.3,0.9,61.3%,5.3,-0.6,43.2%,-1.9,0.2,81.5%,13.4,0.0,56.4%,3.3,-0.3,65.6%,7.1,0.0,Maryland,maryland,maryland,2023.0,6.0,14.58,8.35,2440.0,2222.0,1405.0,862.0,1925.0,0.448,233.0,710.0,0.328,483.0,660.0,0.732,342.0,1175.0,398.0,191.0,131.0,373.0,560.0,2023.0,2023,W Virginia,9,65.0,West Virginia,w virginia,60.9%,5.6,0.1,27.6%,-6.6,-0.5,38.4%,-3.8,-1.1,59.9%,3.5,+0.3,59.6%,4.5,0.1,W Virginia,w virginia,55.2%,1.7,0.0,60.9%,5.6,0.1,27.6%,-6.6,-0.5,67.1%,7.6,0.0,58.4%,3.9,0.4,38.4%,-3.8,-1.1,74.2%,10.6,0.9,59.9%,3.5,+0.3,59.6%,4.5,0.1,W Virginia,w virginia,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,False
2023,San Diego St,5,63.0,76,San Diego St.,san diego st,67.5%,6.1,0.8,29.6%,-6.6,0.2,47.5%,-1.4,0.2,66.2%,4.0,+1.3,65.6%,5.4,0.5,San Diego St,san diego st,60.1%,3.1,0.0,67.5%,6.1,0.8,29.6%,-6.6,0.2,69.4%,8.5,0.8,64.8%,4.6,0.9,47.5%,-1.4,0.2,78.8%,10.8,0.5,66.2%,4.0,+1.3,65.6%,5.4,0.5,San Diego St,san diego st,san diego st,2023.0,7.0,15.81,8.92,2775.0,2475.0,1570.0,986.0,2251.0,0.438,271.0,778.0,0.348,532.0,737.0,0.722,426.0,1416.0,504.0,262.0,151.0,452.0,634.0,2023.0,2023,Col Charleston,12,57.0,College of Charleston,col charlestn,67.8%,5.4,-0.4,33.6%,-4.6,1.9,56.4%,1.5,1.7,56.1%,1.2,-0.6,66.6%,5.2,0.2,Col Charlestn,col charlestn,63.3%,4.0,0.9,67.8%,5.4,-0.4,33.6%,-4.6,1.9,67.7%,7.3,0.2,66.3%,4.7,0.1,56.4%,1.5,1.7,78.4%,9.5,-1.1,56.1%,1.2,-0.6,66.6%,5.2,0.2,Col Charlestn,col charleston,,,,,,,,,,,,,,,,,,,,,,,,,,7,True,False
2023,Virginia,4,67.0,77,Virginia,virginia,68.4%,6.6,-0.3,27.9%,-8.4,-1.1,43.7%,-2.6,-0.7,62.1%,3.2,-2.0,64.4%,5.3,-0.3,Virginia,virginia,54.1%,1.3,-0.6,68.4%,6.6,-0.3,27.9%,-8.4,-1.1,63.5%,5.2,0.0,64.1%,5.1,-0.5,43.7%,-2.6,-0.7,79.3%,11.3,0.6,62.1%,3.2,-2.0,64.4%,5.3,-0.3,Virginia,virginia,virginia,2023.0,6.0,13.28,5.98,2237.0,1996.0,1325.0,793.0,1765.0,0.449,220.0,629.0,0.35,431.0,613.0,0.703,273.0,1064.0,519.0,225.0,142.0,282.0,471.0,2023.0,2023,Furman,13,68.0,Furman,furman,51.2%,2.3,0.2,21.0%,-8.9,-0.3,33.3%,-4.7,0.2,50.7%,0.4,-1.0,51.0%,2.1,0.2,Furman,furman,49.2%,0.8,0.4,51.2%,2.3,0.2,21.0%,-8.9,-0.3,61.2%,8.8,-0.3,49.2%,0.3,0.6,33.3%,-4.7,0.2,68.9%,9.3,0.6,50.7%,0.4,-1.0,51.0%,2.1,0.2,Furman,furman,furman,2023.0,4.0,4.89,-2.9,2911.0,2563.0,1455.0,1016.0,2129.0,0.477,340.0,988.0,0.344,539.0,727.0,0.741,351.0,1262.0,600.0,238.0,115.0,397.0,604.0,2023.0,9,True,False
2023,Creighton,6,72.0,78,Creighton,creighton,68.5%,7.1,0.7,37.6%,-3.2,1.8,50.0%,0.2,0.1,61.6%,3.9,+1.1,68.3%,7.2,0.7,Creighton,creighton,64.8%,5.5,0.8,68.5%,7.1,0.7,37.6%,-3.2,1.8,70.1%,8.1,0.3,67.2%,6.6,0.7,50.0%,0.2,0.1,83.7%,13.3,1.0,61.6%,3.9,+1.1,68.3%,7.2,0.7,Creighton,creighton,creighton,2023.0,3.0,17.83,9.8,2828.0,2531.0,1490.0,1014.0,2164.0,0.469,319.0,902.0,0.354,481.0,614.0,0.783,306.0,1369.0,581.0,185.0,152.0,429.0,486.0,2023.0,2023,N Carolina St,11,63.0,North Carolina St.,n carolina,73.2%,9.5,0.3,30.1%,-5.8,0.0,58.9%,3.0,0.0,70.2%,7.9,+1.2,72.5%,9.3,0.5,N Carolina,n carolina,68.1%,8.2,1.4,73.2%,9.5,0.3,30.1%,-5.8,0.0,71.2%,9.3,0.3,71.5%,8.2,0.4,58.9%,3.0,0.0,83.3%,14.4,0.4,70.2%,7.9,+1.2,72.5%,9.3,0.5,N Carolina,n carolina st,,,,,,,,,,,,,,,,,,,,,,,,,,5,True,False
2023,Baylor,3,74.0,79,Baylor,baylor,66.9%,7.3,0.8,27.8%,-7.1,0.7,38.4%,-4.8,0.0,61.9%,4.6,+1.3,60.8%,5.3,0.6,Baylor,baylor,48.4%,0.2,0.2,66.9%,7.3,0.8,27.8%,-7.1,0.7,65.8%,9.0,-0.7,55.5%,2.6,0.5,38.4%,-4.8,0.0,74.4%,11.8,0.7,61.9%,4.6,+1.3,60.8%,5.3,0.6,Baylor,baylor,baylor,2023.0,5.0,17.3,10.54,2619.0,2389.0,1365.0,880.0,1957.0,0.45,323.0,878.0,0.368,536.0,720.0,0.744,391.0,1155.0,483.0,223.0,82.0,413.0,590.0,2023.0,2023,UC Santa Barbara,14,56.0,UC Santa Barbara,uc santa barbara,59.9%,3.4,0.1,30.8%,-6.2,0.4,43.8%,-2.3,0.2,60.0%,3.5,+1.3,57.6%,3.0,-0.2,UCSB,uc santa barbara,53.0%,1.7,-1.0,59.9%,3.4,0.1,30.8%,-6.2,0.4,63.7%,6.6,-0.3,57.9%,2.5,0.1,43.8%,-2.3,0.2,70.8%,8.1,-1.0,60.0%,3.5,+1.3,57.6%,3.0,-0.2,UCSB,uc santa barbara,uc santa barbara,2023.0,5.0,3.3,-2.03,2510.0,2305.0,1405.0,924.0,1875.0,0.493,194.0,555.0,0.35,468.0,644.0,0.727,279.0,1113.0,495.0,222.0,87.0,397.0,562.0,2023.0,11,True,False
2023,Missouri,7,76.0,80,Missouri,missouri,58.7%,4.6,-0.2,24.4%,-7.8,-0.8,29.4%,-6.5,-1.8,47.5%,-0.7,-0.4,56.0%,3.2,-0.5,Missouri,missouri,50.0%,0.3,-0.7,58.7%,4.6,-0.2,24.4%,-7.8,-0.8,62.4%,6.2,-0.2,52.0%,1.0,-0.9,29.4%,-6.5,-1.8,75.0%,10.4,0.5,47.5%,-0.7,-0.4,56.0%,3.2,-0.5,Missouri,missouri,missouri,2023.0,7.0,11.41,6.89,2762.0,2604.0,1410.0,988.0,2092.0,0.472,325.0,904.0,0.36,461.0,608.0,0.758,310.0,1058.0,558.0,357.0,95.0,390.0,631.0,2023.0,2023,Utah St,10,65.0,Utah St.,utah st,72.0%,8.2,1.8,30.5%,-4.8,0.6,51.5%,1.2,0.4,62.3%,3.7,+1.3,69.7%,7.7,1.2,Utah St,utah st,62.1%,5.7,-0.6,72.0%,8.2,1.8,30.5%,-4.8,0.6,77.4%,11.8,1.8,68.7%,6.4,0.9,51.5%,1.2,0.4,86.1%,13.8,1.9,62.3%,3.7,+1.3,69.7%,7.7,1.2,Utah St,utah st,utah st,2023.0,6.0,14.23,6.81,2736.0,2446.0,1405.0,947.0,1975.0,0.479,325.0,840.0,0.387,517.0,678.0,0.763,300.0,1243.0,585.0,175.0,117.0,426.0,589.0,2023.0,3,True,False
2023,Arizona,2,55.0,81,Arizona,arizona,74.2%,9.4,0.2,41.3%,-3.1,1.3,59.3%,3.8,0.6,66.9%,5.3,-0.2,73.9%,9.5,0.5,Arizona,arizona,70.1%,8.0,1.3,74.2%,9.4,0.2,41.3%,-3.1,1.3,74.7%,11.4,0.5,71.8%,8.4,0.3,59.3%,3.8,0.6,86.8%,15.2,0.8,66.9%,5.3,-0.2,73.9%,9.5,0.5,Arizona,arizona,arizona,2023.0,6.0,19.08,8.34,2866.0,2490.0,1400.0,1023.0,2072.0,0.494,295.0,781.0,0.378,525.0,742.0,0.708,356.0,1376.0,662.0,213.0,110.0,468.0,593.0,2023.0,2023,Princeton,15,59.0,Princeton,princeton,68.9%,6.6,1.1,29.0%,-6.0,1.2,52.4%,0.6,0.9,48.6%,-0.8,-0.3,62.5%,4.6,0.3,Princeton,princeton,51.7%,1.5,-0.5,68.9%,6.6,1.1,29.0%,-6.0,1.2,61.9%,6.8,0.1,63.4%,4.1,0.3,52.4%,0.6,0.9,76.3%,10.1,-0.2,48.6%,-0.8,-0.3,62.5%,4.6,0.3,Princeton,princeton,princeton,2023.0,4.0,4.76,-0.97,2416.0,2192.0,1295.0,867.0,1906.0,0.455,272.0,796.0,0.342,410.0,576.0,0.712,325.0,1248.0,430.0,156.0,106.0,385.0,512.0,2023.0,13,True,False
2023,Purdue,1,58.0,82,Purdue,purdue,66.4%,6.8,0.0,28.4%,-6.1,-0.1,45.1%,-1.2,-0.5,57.8%,2.6,-0.9,65.5%,6.8,0.4,Purdue,purdue,61.2%,5.2,1.0,66.4%,6.8,0.0,28.4%,-6.1,-0.1,69.6%,8.5,0.7,61.2%,5.6,-0.3,45.1%,-1.2,-0.5,82.1%,13.9,1.7,57.8%,2.6,-0.9,65.5%,6.8,0.4,Purdue,purdue,purdue,2023.0,3.0,18.23,8.31,2543.0,2196.0,1405.0,884.0,1936.0,0.457,239.0,743.0,0.322,536.0,720.0,0.744,430.0,1354.0,542.0,166.0,129.0,388.0,479.0,2023.0,2023,Fairleigh Dickinson,16,63.0,Fairleigh Dickinson,f dickinson,48.5%,-0.3,0.8,25.3%,-8.9,0.6,31.9%,-7.2,0.6,27.3%,-6.7,+0.2,41.4%,-3.2,0.1,F Dickinson,f dickinson,37.0%,-4.7,-0.1,48.5%,-0.3,0.8,25.3%,-8.9,0.6,43.7%,-1.0,-0.9,41.9%,-3.1,1.5,31.9%,-7.2,0.6,54.3%,2.0,-0.8,27.3%,-6.7,+0.2,41.4%,-3.2,0.1,F Dickinson,fairleigh dickinson,fairleigh dickinson,2023.0,5.0,-8.98,-9.83,2863.0,2744.0,1495.0,1045.0,2312.0,0.452,302.0,876.0,0.345,471.0,626.0,0.752,427.0,1271.0,545.0,295.0,74.0,425.0,696.0,2023.0,15,True,False
2023,Memphis,8,65.0,83,Memphis,memphis,70.5%,7.9,0.7,33.2%,-4.4,1.2,54.4%,1.5,0.8,55.6%,1.8,-0.7,70.0%,7.8,0.7,Memphis,memphis,67.5%,6.4,0.2,70.5%,7.9,0.7,33.2%,-4.4,1.2,68.6%,6.7,-0.9,70.5%,8.4,1.6,54.4%,1.5,0.8,83.6%,13.4,1.1,55.6%,1.8,-0.7,70.0%,7.8,0.7,Memphis,memphis,memphis,2023.0,7.0,14.5,6.9,2778.0,2512.0,1415.0,1004.0,2096.0,0.479,215.0,609.0,0.353,555.0,743.0,0.747,364.0,1256.0,546.0,301.0,158.0,467.0,637.0,2023.0,2023,Florida Atlantic,9,66.0,Florida Atlantic,florida atlantic,50.4%,1.1,0.5,25.0%,-7.8,0.5,27.0%,-7.9,-0.4,45.0%,-0.5,+0.1,42.7%,-1.8,0.3,Fla Atlantic,florida atlantic,37.1%,-4.1,0.1,50.4%,1.1,0.5,25.0%,-7.8,0.5,51.8%,2.0,0.4,40.3%,-2.8,0.2,27.0%,-7.9,-0.4,59.4%,4.5,1.2,45.0%,-0.5,+0.1,42.7%,-1.8,0.3,Fla Atlantic,florida atlantic,florida atlantic,2023.0,6.0,13.92,2.3,3035.0,2547.0,1570.0,1084.0,2326.0,0.466,375.0,1024.0,0.366,492.0,684.0,0.719,425.0,1519.0,562.0,252.0,100.0,460.0,613.0,2023.0,1,True,False
