YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE,gameID,TEAMORIGINAL,Closest Match,afterLoss_winLoss_Win_percent_x,afterLoss_winLoss_MOV_x,afterLoss_winLoss_ATS_x,afterWin_winLoss_Win_percent_x,afterWin_winLoss_MOV_x,afterWin_winLoss_ATS_x,asUnderdog_winLoss_Win_percent_x,asUnderdog_winLoss_MOV_x,asUnderdog_winLoss_ATS_x,restAdvantage_winLoss_Win_percent_x,restAdvantage_winLoss_MOV_x,restAdvantage_winLoss_ATS_x,equalRest_winLoss_Win_percent_x,equalRest_winLoss_MOV_x,equalRest_winLoss_ATS_x,away_winLoss_Win_percent_x,away_winLoss_MOV_x,away_winLoss_ATS_x,home_winLoss_Win_percent_x,home_winLoss_MOV_x,home_winLoss_ATS_x,neutralSite_winLoss_Win_percent_x,neutralSite_winLoss_MOV_x,neutralSite_winLoss_ATS_x,overallWinPercentage_Win_percent_x,overallWinPercentage_MOV_x,overallWinPercentage_ATS_x,Team Original_x,Team_x,afterLoss_winLoss_Win_percent_y,afterLoss_winLoss_MOV_y,afterLoss_winLoss_ATS_y,afterWin_winLoss_Win_percent_y,afterWin_winLoss_MOV_y,afterWin_winLoss_ATS_y,asUnderdog_winLoss_Win_percent_y,asUnderdog_winLoss_MOV_y,asUnderdog_winLoss_ATS_y,restAdvantage_winLoss_Win_percent_y,restAdvantage_winLoss_MOV_y,restAdvantage_winLoss_ATS_y,equalRest_winLoss_Win_percent_y,equalRest_winLoss_MOV_y,equalRest_winLoss_ATS_y,away_winLoss_Win_percent_y,away_winLoss_MOV_y,away_winLoss_ATS_y,home_winLoss_Win_percent_y,home_winLoss_MOV_y,home_winLoss_ATS_y,neutralSite_winLoss_Win_percent_y,neutralSite_winLoss_MOV_y,neutralSite_winLoss_ATS_y,overallWinPercentage_Win_percent_y,overallWinPercentage_MOV_y,overallWinPercentage_ATS_y,Team Original_y,TEAM_lower,Team_y,year,upperclassmen,SRS,SOS,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
2024,2036,0,1067,Connecticut,1,1,64,,0,Connecticut,connecticut,63.5%,5.2,-0.6,73.0%,9.5,1.0,31.5%,-4.4,1.0,68.2%,9.4,-0.3,72.2%,7.7,1.0,51.8%,1.2,-0.1,83.3%,14.7,0.3,70.8%,5.6,+1.7,71.1%,8.7,0.5,Connecticut,connecticut,63.5%,5.2,-0.6,73.0%,9.5,1.0,31.5%,-4.4,1.0,68.2%,9.4,-0.3,72.2%,7.7,1.0,51.8%,1.2,-0.1,83.3%,14.7,0.3,70.8%,5.6,+1.7,71.1%,8.7,0.5,Connecticut,connecticut,connecticut,2024.0,4.0,26.7,8.7,3256.0,2536.0,1600.0,1177.0,2367.0,0.497,340.0,951.0,0.358,562.0,756.0,0.743,469.0,1553.0,748.0,246.0,217.0,383.0,650.0,2024.0
2024,2034,0,1038,NCarolina,1,1,64,,1,North Carolina,n carolina,68.1%,8.2,1.4,73.2%,9.5,0.3,30.1%,-5.8,0.0,71.2%,9.3,0.3,71.5%,8.2,0.4,58.9%,3.0,0.0,83.3%,14.4,0.4,70.2%,7.9,+1.2,72.5%,9.3,0.5,N Carolina,n carolina,68.1%,8.2,1.4,73.2%,9.5,0.3,30.1%,-5.8,0.0,71.2%,9.3,0.3,71.5%,8.2,0.4,58.9%,3.0,0.0,83.3%,14.4,0.4,70.2%,7.9,+1.2,72.5%,9.3,0.5,N Carolina,ncarolina,ncarolina,2024.0,4.0,21.36,9.9,3032.0,2608.0,1485.0,1046.0,2323.0,0.45,301.0,839.0,0.359,639.0,842.0,0.759,452.0,1520.0,536.0,214.0,151.0,373.0,611.0,2024.0
2024,2032,0,1038,NCarolina,1,1,64,,2,North Carolina,n carolina,68.1%,8.2,1.4,73.2%,9.5,0.3,30.1%,-5.8,0.0,71.2%,9.3,0.3,71.5%,8.2,0.4,58.9%,3.0,0.0,83.3%,14.4,0.4,70.2%,7.9,+1.2,72.5%,9.3,0.5,N Carolina,n carolina,68.1%,8.2,1.4,73.2%,9.5,0.3,30.1%,-5.8,0.0,71.2%,9.3,0.3,71.5%,8.2,0.4,58.9%,3.0,0.0,83.3%,14.4,0.4,70.2%,7.9,+1.2,72.5%,9.3,0.5,N Carolina,ncarolina,ncarolina,2024.0,4.0,21.36,9.9,3032.0,2608.0,1485.0,1046.0,2323.0,0.45,301.0,839.0,0.359,639.0,842.0,0.759,452.0,1520.0,536.0,214.0,151.0,373.0,611.0,2024.0
2024,2030,0,1056,Houston,1,1,64,,3,Houston,houston,48.5%,0.2,0.8,65.8%,6.7,1.2,25.8%,-7.7,0.6,62.2%,5.7,0.3,58.6%,3.6,1.3,39.8%,-3.1,0.2,74.7%,10.9,2.1,61.2%,4.1,+0.6,59.9%,4.7,1.1,Houston,houston,48.5%,0.2,0.8,65.8%,6.7,1.2,25.8%,-7.7,0.6,62.2%,5.7,0.3,58.6%,3.6,1.3,39.8%,-3.1,0.2,74.7%,10.9,2.1,61.2%,4.1,+0.6,59.9%,4.7,1.1,Houston,houston,houston,2024.0,5.0,25.69,9.8,2720.0,2132.0,1495.0,981.0,2233.0,0.439,286.0,821.0,0.348,472.0,687.0,0.687,497.0,1374.0,484.0,362.0,178.0,330.0,658.0,2024.0
2024,2028,0,1033,Purdue,1,1,64,,4,Purdue,purdue,61.2%,5.2,1.0,66.4%,6.8,0.0,28.4%,-6.1,-0.1,69.6%,8.5,0.7,61.2%,5.6,-0.3,45.1%,-1.2,-0.5,82.1%,13.9,1.7,57.8%,2.6,-0.9,65.5%,6.8,0.4,Purdue,purdue,61.2%,5.2,1.0,66.4%,6.8,0.0,28.4%,-6.1,-0.1,69.6%,8.5,0.7,61.2%,5.6,-0.3,45.1%,-1.2,-0.5,82.1%,13.9,1.7,57.8%,2.6,-0.9,65.5%,6.8,0.4,Purdue,purdue,purdue,2024.0,3.0,24.93,11.6,3211.0,2691.0,1575.0,1109.0,2272.0,0.488,318.0,788.0,0.404,675.0,938.0,0.72,476.0,1577.0,720.0,212.0,142.0,442.0,536.0,2024.0
2024,2026,0,1033,Purdue,1,1,64,,5,Purdue,purdue,61.2%,5.2,1.0,66.4%,6.8,0.0,28.4%,-6.1,-0.1,69.6%,8.5,0.7,61.2%,5.6,-0.3,45.1%,-1.2,-0.5,82.1%,13.9,1.7,57.8%,2.6,-0.9,65.5%,6.8,0.4,Purdue,purdue,61.2%,5.2,1.0,66.4%,6.8,0.0,28.4%,-6.1,-0.1,69.6%,8.5,0.7,61.2%,5.6,-0.3,45.1%,-1.2,-0.5,82.1%,13.9,1.7,57.8%,2.6,-0.9,65.5%,6.8,0.4,Purdue,purdue,purdue,2024.0,3.0,24.93,11.6,3211.0,2691.0,1575.0,1109.0,2272.0,0.488,318.0,788.0,0.404,675.0,938.0,0.72,476.0,1577.0,720.0,212.0,142.0,442.0,536.0,2024.0
2024,2024,0,1053,Iowa St,2,1,64,,6,Iowa St.,iowa st,48.7%,0.2,0.2,62.4%,5.9,1.0,25.8%,-6.9,0.3,64.3%,7.4,0.1,53.9%,2.0,0.4,28.2%,-6.0,-0.6,76.7%,11.0,1.3,58.7%,2.5,+1.5,57.9%,4.1,0.6,Iowa St,iowa st,48.7%,0.2,0.2,62.4%,5.9,1.0,25.8%,-6.9,0.3,64.3%,7.4,0.1,53.9%,2.0,0.4,28.2%,-6.0,-0.6,76.7%,11.0,1.3,58.7%,2.5,+1.5,57.9%,4.1,0.6,Iowa St,iowa st,iowa st,2024.0,5.0,22.3,8.51,2787.0,2277.0,1480.0,1002.0,2164.0,0.463,246.0,687.0,0.358,537.0,765.0,0.702,393.0,1254.0,582.0,382.0,113.0,387.0,610.0,2024.0
2024,2022,0,1077,Arizona,2,1,64,,7,Arizona,arizona,70.1%,8.0,1.3,74.2%,9.4,0.2,41.3%,-3.1,1.3,74.7%,11.4,0.5,71.8%,8.4,0.3,59.3%,3.8,0.6,86.8%,15.2,0.8,66.9%,5.3,-0.2,73.9%,9.5,0.5,Arizona,arizona,70.1%,8.0,1.3,74.2%,9.4,0.2,41.3%,-3.1,1.3,74.7%,11.4,0.5,71.8%,8.4,0.3,59.3%,3.8,0.6,86.8%,15.2,0.8,66.9%,5.3,-0.2,73.9%,9.5,0.5,Arizona,arizona,arizona,2024.0,4.0,24.54,9.45,3137.0,2594.0,1465.0,1124.0,2321.0,0.484,284.0,776.0,0.366,605.0,844.0,0.717,471.0,1533.0,665.0,300.0,133.0,430.0,590.0,2024.0
2024,2020,0,1047,Marquette,2,1,64,,8,Marquette,marquette,64.7%,4.4,0.0,62.5%,5.4,0.6,34.9%,-4.9,0.8,65.6%,6.1,0.2,65.9%,5.6,1.2,44.3%,-1.9,0.8,78.8%,11.2,0.2,56.5%,1.5,+0.5,64.2%,5.5,0.4,Marquette,marquette,64.7%,4.4,0.0,62.5%,5.4,0.6,34.9%,-4.9,0.8,65.6%,6.1,0.2,65.9%,5.6,1.2,44.3%,-1.9,0.8,78.8%,11.2,0.2,56.5%,1.5,+0.5,64.2%,5.5,0.4,Marquette,marquette,marquette,2024.0,5.0,19.27,11.02,2888.0,2583.0,1485.0,1078.0,2256.0,0.478,327.0,928.0,0.352,405.0,576.0,0.703,322.0,1212.0,587.0,317.0,131.0,369.0,556.0,2024.0
2024,2018,0,1024,Tennessee,2,1,64,,9,Tennessee,tennessee,64.5%,4.7,0.4,63.9%,6.2,0.4,37.2%,-3.7,1.9,68.0%,8.1,0.1,62.7%,4.7,0.5,45.9%,-1.0,0.1,80.7%,12.2,1.2,55.0%,2.0,-1.2,64.8%,6.1,0.4,Tennessee,tennessee,64.5%,4.7,0.4,63.9%,6.2,0.4,37.2%,-3.7,1.9,68.0%,8.1,0.1,62.7%,4.7,0.5,45.9%,-1.0,0.1,80.7%,12.2,1.2,55.0%,2.0,-1.2,64.8%,6.1,0.4,Tennessee,tennessee,tennessee,2024.0,6.0,21.81,10.42,2836.0,2426.0,1440.0,979.0,2223.0,0.44,315.0,915.0,0.344,563.0,750.0,0.751,419.0,1393.0,600.0,280.0,166.0,367.0,629.0,2024.0
