Team,RSCI Top 100
Baylor,6
Norfolk St,0
UNC,9
Marquette,4
Saint Mary's,0
Indiana,5
UCLA,7
Akron,0
Texas,6
Virginia Tech,0
Purdue,3
Yale,0
Murray St,0
San Francisco,0
Kentucky,9
St.Peter's,0
Kansas,6
Texas Southern,0
San Diego St,1
Creighton,5
Iowa,1
Richmond,0
Providence,2
South Dakota St,0
LSU,7
Iowa State,2
Wisconsin,0
Colgate,0
USC,4
Miami,5
Jacksonville St,0
Arizona,5
Wright St,0
Seton Hall,5
TCU,2
Houston,1
UAB,0
Illinois,6
Chattanooga,0
Colorado St,0
Michigan,8
Tennessee,5
Longwood,0
Ohio St,2
Loyola,0
Villanova,6
Delaware,0
Gonzaga,9
Georgia St,0
Boise St,2
Memphis,6
Uconn,6
New Mexico St,0
Arkansas,4
Vermont,0
Alabama,6
Notre Dame,3
Texas Tech,2
Montana St,1
Michigan St,9
Davidson,1
Duke,7
Cal St,0
