,Team,year,upperclassmen,SRS,SOS,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
0,akron,2024,7.0,2.77,-2.08,2577,2316,1405,915,2018,.453,280,863,.324,467,642,.727,363,1278,455,197,100,394,583,2024
1,akron,2022,3.0,0.91,-3.93,2402,2130,1365,827,1799,.460,265,748,.354,483,701,.689,334,1188,396,199,110,388,536,2022
2,alabama,2024,5.0,20.69,11.80,3335,3006,1490,1136,2385,.476,413,1108,.373,650,842,.772,472,1467,587,256,162,438,734,2024
3,alabama,2023,2.0,23.19,9.65,3027,2526,1510,1023,2314,.442,366,1093,.335,615,848,.725,484,1652,555,224,189,512,691,2023
4,alabama,2022,4.0,14.62,11.59,2623,2523,1325,911,2072,.440,305,987,.309,496,681,.728,443,1306,484,233,155,480,609,2022
5,arizona,2023,6.0,19.08,8.34,2866,2490,1400,1023,2072,.494,295,781,.378,525,742,.708,356,1376,662,213,110,468,593,2023
6,arizona,2022,1.0,22.75,6.84,3107,2518,1490,1117,2269,.492,287,815,.352,586,793,.739,429,1531,726,249,210,497,619,2022
7,arizona,2024,4.0,24.54,9.45,3137,2594,1465,1124,2321,.484,284,776,.366,605,844,.717,471,1533,665,300,133,430,590,2024
8,arizona state,2023,4.0,11.29,8.18,2559,2447,1455,910,2163,.421,274,851,.322,465,675,.689,395,1315,515,255,170,422,668,2023
9,arkansas,2023,3.0,15.99,9.87,2666,2446,1445,961,2063,.466,179,572,.313,565,810,.698,373,1272,462,302,182,458,694,2023
10,arkansas,2022,5.0,16.27,8.62,2810,2527,1490,972,2241,.434,233,767,.304,633,833,.760,399,1399,512,281,153,452,624,2022
11,auburn,2022,3.0,19.20,8.17,2660,2285,1380,943,2166,.435,274,862,.318,500,684,.731,435,1375,501,284,272,411,629,2022
12,auburn,2023,7.0,14.35,9.29,2474,2302,1365,875,1991,.439,221,701,.315,503,723,.696,396,1231,479,263,172,414,655,2023
13,auburn,2024,5.0,22.46,7.66,2909,2391,1400,1010,2121,.476,280,795,.352,609,812,.750,393,1323,622,258,215,374,678,2024
14,baylor,2022,4.0,21.73,8.76,2619,2178,1370,962,2083,.462,274,799,.343,421,604,.697,437,1264,542,298,117,421,548,2022
15,baylor,2024,4.0,19.50,10.71,2814,2489,1430,967,2001,.483,301,773,.389,579,791,.732,399,1229,514,236,110,421,577,2024
16,baylor,2023,5.0,17.30,10.54,2619,2389,1365,880,1957,.450,323,878,.368,536,720,.744,391,1155,483,223,82,413,590,2023
17,boise state,2023,5.0,12.78,6.21,2451,2198,1375,878,1938,.453,265,733,.362,430,587,.733,307,1215,385,171,97,379,555,2023
18,boise state,2022,6.0,11.93,5.22,2389,2130,1415,849,1910,.445,257,742,.346,434,668,.650,358,1219,399,210,120,422,526,2022
19,boise state,2024,5.0,13.31,7.35,2479,2221,1330,858,1913,.449,258,759,.340,505,686,.736,384,1231,404,189,78,366,550,2024
20,brigham young,2024,5.0,19.33,7.86,2768,2378,1360,992,2155,.460,378,1087,.348,406,547,.742,405,1343,629,202,101,364,602,2024
21,bryant,2022,7.0,-4.80,-7.41,2497,2348,1290,879,2013,.437,264,868,.304,475,649,.732,404,1322,444,207,143,444,544,2022
22,cal state fullerton,2022,5.0,-0.04,-2.28,2239,2129,1280,792,1781,.445,176,535,.329,479,625,.766,312,1070,360,233,63,388,506,2022
23,cal state fullerton,2022,5.0,-0.04,-2.28,2239,2129,1280,792,1781,.445,176,535,.329,479,625,.766,312,1070,360,233,63,388,506,2022
24,chattanooga,2022,6.0,6.12,-0.94,2596,2253,1410,956,2059,.464,276,800,.345,408,547,.746,378,1264,449,252,75,384,547,2022
25,clemson,2024,5.0,16.20,10.04,2785,2563,1450,991,2115,.469,296,844,.351,507,650,.780,326,1308,533,165,138,363,585,2024
26,colgate,2024,5.0,-0.31,-5.55,2498,2242,1400,929,1979,.469,272,757,.359,368,540,.681,286,1245,526,227,122,368,468,2024
27,colgate,2022,5.0,0.98,-6.37,2646,2349,1405,964,2034,.474,347,858,.404,371,532,.697,309,1266,598,214,126,397,507,2022
28,colgate,2023,6.0,2.20,-5.86,2733,2426,1400,1042,2038,.511,286,709,.403,363,549,.661,279,1179,637,248,100,357,438,2023
29,college of charleston,2024,6.0,4.09,-2.38,2832,2575,1405,1006,2278,.442,368,1072,.343,452,626,.722,457,1392,536,219,108,348,558,2024
30,college of charleston,2023,3.0,8.40,-4.02,2804,2353,1410,959,2202,.436,348,1051,.331,538,723,.744,472,1411,478,259,109,418,590,2023
31,colorado,2024,6.0,15.95,8.36,2935,2654,1495,1049,2121,.495,254,649,.391,583,744,.784,368,1367,600,221,80,467,548,2024
32,colorado state,2022,6.0,11.51,4.77,2275,2047,1250,821,1710,.480,241,675,.357,392,507,.773,208,982,442,198,95,313,466,2022
33,colorado state,2024,7.0,13.40,7.28,2707,2422,1450,980,2024,.484,264,781,.338,483,642,.752,283,1203,648,226,113,376,613,2024
34,connecticut,2023,4.0,22.95,8.51,3064,2501,1560,1082,2333,.464,353,973,.363,547,719,.761,507,1534,684,245,190,503,692,2023
35,connecticut,2022,4.0,16.40,6.88,2469,2155,1345,880,2021,.435,245,697,.352,464,616,.753,455,1333,463,196,212,388,554,2022
36,connecticut,2024,4.0,26.70,8.70,3256,2536,1600,1177,2367,.497,340,951,.358,562,756,.743,469,1553,748,246,217,383,650,2024
37,creighton,2022,3.0,11.34,8.54,2422,2324,1415,896,2002,.448,235,763,.308,395,535,.738,336,1335,466,192,149,492,476,2022
38,creighton,2024,5.0,20.07,9.53,2815,2446,1435,1016,2101,.484,375,1018,.368,408,518,.788,294,1334,588,134,143,372,403,2024
39,creighton,2023,3.0,17.83,9.80,2828,2531,1490,1014,2164,.469,319,902,.354,481,614,.783,306,1369,581,185,152,429,486,2023
40,davidson,2022,4.0,10.43,1.92,2567,2244,1365,908,1887,.481,301,778,.387,450,597,.754,251,1161,498,157,88,333,504,2022
41,dayton,2024,5.0,13.45,5.73,2448,2193,1325,831,1752,.474,310,777,.399,476,643,.740,265,1107,483,182,129,343,447,2024
42,delaware,2022,5.0,0.32,-1.82,2568,2456,1410,909,1940,.469,261,752,.347,489,657,.744,298,1138,440,233,129,440,547,2022
43,drake,2024,4.0,11.08,1.84,2797,2463,1435,992,2079,.477,300,819,.366,513,681,.753,278,1202,559,226,56,337,570,2024
44,drake,2023,5.0,7.84,-1.14,2617,2236,1430,952,2032,.469,278,751,.370,435,567,.767,278,1250,478,187,92,368,522,2023
45,duke,2023,2.0,15.83,7.44,2592,2290,1445,936,2072,.452,245,731,.335,475,620,.766,432,1392,526,204,163,432,549,2023
46,duke,2022,2.0,19.55,7.26,3122,2643,1565,1158,2357,.491,308,841,.366,498,675,.738,410,1480,642,249,219,400,532,2022
47,duke,2024,2.0,20.67,8.36,2830,2387,1440,1004,2112,.475,298,791,.377,524,725,.723,383,1319,551,235,132,349,571,2024
48,duquesne,2024,4.0,7.35,4.68,2611,2467,1480,921,2110,.436,279,821,.340,490,681,.720,389,1288,497,277,160,433,634,2024
49,fdu,2023,5.0,-8.98,-9.83,2863,2744,1495,1045,2312,.452,302,876,.345,471,626,.752,427,1271,545,295,74,425,696,2023
50,florida,2024,4.0,15.17,8.81,3080,2851,1465,1077,2351,.458,280,812,.345,646,903,.715,527,1522,546,241,189,420,664,2024
51,florida atlantic,2024,7.0,13.26,4.61,2789,2495,1390,992,2074,.478,284,810,.351,521,724,.720,396,1294,505,244,105,388,546,2024
52,florida atlantic,2023,6.0,13.92,2.30,3035,2547,1570,1084,2326,.466,375,1024,.366,492,684,.719,425,1519,562,252,100,460,613,2023
53,furman,2023,4.0,4.89,-2.90,2911,2563,1455,1016,2129,.477,340,988,.344,539,727,.741,351,1262,600,238,115,397,604,2023
54,georgia state,2022,6.0,-1.11,-1.34,2049,1906,1175,722,1806,.400,221,670,.330,384,533,.720,385,1084,391,255,130,339,466,2022
55,gonzaga,2022,4.0,25.46,4.50,2790,2119,1280,1045,2004,.521,262,708,.370,438,614,.713,309,1341,578,205,186,370,497,2022
56,gonzaga,2024,5.0,17.93,4.02,2959,2420,1400,1120,2162,.518,243,674,.361,476,660,.721,379,1355,585,233,135,342,546,2024
