Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Ricky Council,36,29,1229,17.6,.542,.472,.292,.505,554,3.2,9.1,6.2,12.9,1.9,0.9,12.3,24.7,,2.6,1.8,4.4,.143,,3.4,1.6,5.0,
Anthony Black,36,36,1255,17.2,.549,.495,.283,.578,492,4.3,12.6,8.5,20.6,3.4,1.8,20.6,20.9,,1.8,2.4,4.2,.133,,2.8,3.9,6.7,
Makhi Mitchell,36,31,723,22.9,.669,.666,.006,.420,253,9.5,21.5,15.6,10.3,2.4,7.1,14.9,15.2,,2.0,1.7,3.7,.204,,3.9,5.3,9.2,
Davonte Davis,35,31,1159,12.1,.505,.483,.392,.184,375,2.5,12.9,7.8,13.9,2.4,0.4,16.0,19.3,,0.8,1.9,2.8,.095,,0.9,2.6,3.5,
Jordan Walsh,36,22,878,12.8,.513,.479,.332,.304,253,5.8,12.9,9.4,6.7,2.6,2.0,13.0,16.2,,1.0,1.6,2.5,.115,,0.5,3.3,3.8,
Makhel Mitchell,30,9,385,18.7,.608,.635,.000,.446,106,8.0,21.1,14.6,4.8,1.6,12.2,15.9,13.8,,0.6,0.9,1.5,.157,,0.4,5.8,6.2,
Kamani Johnson,27,7,322,12.9,.504,.476,.000,.881,84,18.1,13.3,15.7,3.6,2.5,1.9,15.6,10.9,,0.5,0.6,1.1,.136,,-0.2,2.6,2.4,
Jalen Graham,31,0,291,23.4,.621,.655,.027,.310,140,9.4,18.7,14.1,11.7,2.3,5.0,21.3,28.1,,0.4,0.6,1.0,.139,,2.2,3.5,5.7,
Nick Smith,17,14,438,13.0,.472,.436,.351,.248,194,1.1,6.3,3.8,13.5,1.8,0.5,10.7,28.7,,0.3,0.6,0.9,.082,,1.0,-0.3,0.7,
Trevon Brazile,9,0,243,18.1,.578,.552,.377,.403,95,4.4,21.5,13.0,7.2,2.1,4.7,17.9,22.9,,0.3,0.5,0.8,.138,,1.7,3.7,5.4,
Joseph Pinion,26,0,150,17.6,.616,.585,.723,.149,52,3.2,9.3,6.3,3.8,2.3,0.7,0.0,16.7,,0.5,0.2,0.7,.192,,3.5,3.3,6.8,
Derrian Ford,21,0,80,9.2,.543,.400,.100,.800,18,3.0,11.6,7.3,16.3,0.7,0.0,22.5,11.1,,0.1,0.1,0.2,.093,,-0.8,1.7,0.9,
Cade Arbogast,9,0,11,2.4,.375,.375,1.000,.000,2,0.0,10.5,5.3,0.0,0.0,0.0,0.0,18.1,,0.0,0.0,0.0,.030,,-5.6,-2.1,-7.8,
Lawson Blake,9,0,12,-0.6,.276,.250,.000,.750,3,9.9,29.0,19.6,0.0,0.0,0.0,15.6,26.6,,0.0,0.0,0.0,-.078,,-11.3,-4.9,-16.2,
Barry Dunning,16,1,50,0.3,.279,.250,.250,.250,5,2.4,4.6,3.5,3.2,2.3,0.0,18.3,10.9,,-0.1,0.1,0.0,-.007,,-5.4,2.4,-3.1,
