Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Adam Flagler,32,32,1081,19.6,.562,.528,.508,.266,501,1.1,7.7,4.3,27.8,2.1,0.2,10.8,23.2,,3.6,1.0,4.6,.170,,6.3,1.5,7.8,
Jalen Bridges,34,34,927,20.7,.611,.579,.449,.328,341,10.5,14.8,12.6,7.4,1.9,4.4,11.2,17.5,,2.8,1.2,4.0,.172,,5.9,2.3,8.3,
LJ Cryer,31,31,1002,16.4,.594,.564,.536,.183,406,0.8,7.0,3.9,13.3,0.9,0.1,11.1,22.1,,2.7,0.6,3.3,.132,,5.6,0.3,6.0,
Keyonte George,33,33,944,17.8,.524,.470,.553,.364,492,4.2,13.6,8.8,20.1,2.3,0.7,16.4,30.8,,1.8,1.1,2.9,.125,,4.5,1.1,5.6,
Dale Bonner,29,4,563,14.9,.580,.527,.462,.548,163,1.5,6.1,3.8,24.5,4.2,0.6,22.5,13.5,,1.0,0.7,1.7,.124,,2.3,4.2,6.6,
Flo Thamba,34,34,722,11.3,.615,.576,.000,1.318,184,9.3,17.5,13.3,4.8,1.2,2.2,26.2,13.1,,0.8,0.8,1.7,.093,,-0.7,2.1,1.3,
Langston Love,30,2,501,14.9,.546,.514,.446,.372,182,6.5,9.6,8.0,9.3,1.4,0.9,10.8,19.6,,1.1,0.4,1.5,.122,,2.8,1.0,3.8,
Josh Ojianwuna,29,0,381,17.9,.612,.590,.000,.564,126,14.5,17.8,16.1,3.5,1.7,3.3,16.1,15.6,,0.9,0.5,1.4,.148,,1.6,1.7,3.2,
Caleb Lohner,34,0,416,13.4,.592,.573,.213,.480,114,11.0,24.1,17.4,4.4,2.7,0.3,24.6,14.8,,0.4,0.7,1.1,.107,,-0.3,2.4,2.1,
Jonathan Tchamwa Tchatchoua,12,0,222,13.5,.585,.543,.304,.283,61,8.7,22.8,15.6,5.0,1.1,2.1,18.7,14.5,,0.3,0.3,0.6,.111,,2.5,1.7,4.3,
Zach Loveday,13,0,39,10.5,.525,.600,.100,.300,10,6.2,15.8,10.9,0.0,1.5,3.0,14.9,17.3,,0.0,0.0,0.1,.053,,-4.6,0.2,-4.4,
Austin Sacks,1,0,1,-45.7,.000,.000,1.000,.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,,0.0,0.0,0.0,-.649,,-43.9,-24.6,-68.5,
Jordan Turner,7,0,15,0.9,.128,.000,.000,2.000,3,32.0,8.2,20.3,0.0,0.0,0.0,20.4,16.4,,0.0,0.0,0.0,-.070,,-1.5,-3.6,-5.1,
Jake Younkin,8,0,11,-26.5,.000,.000,.833,.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,,-0.1,0.0,-0.1,-.350,,-22.1,-9.3,-31.4,
