Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Johnell Davis,37,16,963,24.0,.600,.548,.348,.362,473,5.2,17.7,11.7,12.5,3.4,0.5,13.8,25.8,,3.0,2.3,5.3,.220,,4.7,3.3,8.0,
Alijah Martin,36,21,949,21.4,.574,.537,.533,.307,455,7.2,14.8,11.1,10.5,2.3,1.1,12.8,25.7,,2.7,2.0,4.7,.196,,5.4,1.9,7.3,
Vladislav Goldin,39,39,817,25.3,.624,.625,.000,.542,377,13.8,20.8,17.5,4.2,1.0,6.1,13.8,22.8,,2.6,1.9,4.5,.221,,3.0,1.9,4.9,
Nick Boyd,38,37,901,17.9,.579,.574,.625,.165,343,3.9,15.9,10.1,18.4,1.9,0.1,12.3,18.7,,2.3,1.8,4.1,.184,,3.4,2.3,5.8,
Giancarlo Rosado,39,0,657,20.2,.661,.635,.000,.511,246,9.4,13.4,11.5,15.3,1.4,3.4,19.4,16.2,,1.9,1.3,3.2,.196,,2.5,3.1,5.6,
Michael Forrest,37,1,769,14.6,.531,.508,.602,.186,288,1.8,9.9,6.0,13.9,1.7,0.4,11.7,21.3,,1.4,1.3,2.7,.140,,1.5,1.5,2.9,
Bryan Greenlee,39,34,963,11.2,.545,.532,.571,.206,286,1.5,9.8,5.8,14.7,1.8,0.3,19.2,16.9,,1.0,1.7,2.7,.111,,0.2,1.7,1.9,
Brandon Weatherspoon,39,23,622,13.7,.520,.503,.691,.160,196,6.0,9.5,7.8,9.1,1.8,0.0,6.9,16.4,,1.3,1.1,2.3,.150,,2.4,2.1,4.5,
Jalen Gaffney,38,23,853,8.3,.456,.425,.581,.174,197,1.4,11.9,6.8,16.7,1.4,0.0,18.1,13.1,,0.5,1.5,2.0,.093,,-1.7,1.9,0.2,
Tre Carroll,18,0,102,26.6,.724,.718,.282,.205,51,4.6,29.6,17.6,15.4,0.0,1.0,17.4,25.6,,0.4,0.2,0.6,.235,,4.5,2.5,7.0,
Isaiah Gaines,25,1,140,16.8,.620,.635,.038,.769,47,11.7,20.8,16.4,7.4,2.5,3.0,23.7,16.8,,0.2,0.4,0.6,.168,,-1.5,2.5,0.9,
Brenen Lorient,21,0,74,10.5,.520,.538,.000,.385,18,9.5,5.8,7.6,4.5,2.4,7.1,24.5,13.9,,0.0,0.2,0.2,.098,,-5.2,2.6,-2.6,
Alejandro Ralat,14,0,42,3.7,.292,.292,.583,.000,9,0.0,2.6,1.3,19.2,1.4,0.0,7.7,15.6,,0.0,0.1,0.0,.031,,-5.8,0.7,-5.1,
