Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Terrence Shannon,31,30,996,22.1,.581,.511,.433,.583,520,4.4,11.8,8.2,17.7,2.3,1.5,14.8,26.9,,3.0,1.8,4.8,.194,,4.9,2.5,7.5,
Matthew Mayer,33,33,877,19.4,.546,.509,.621,.330,377,4.2,18.2,11.3,8.4,1.7,4.6,10.8,24.0,,1.9,1.8,3.8,.171,,4.3,3.2,7.5,
Dain Dainja,33,21,678,24.2,.620,.636,.000,.490,293,11.4,19.0,15.3,5.4,2.1,5.7,16.4,22.3,,1.6,1.5,3.2,.186,,2.9,3.2,6.1,
Coleman Hawkins,33,33,1073,15.4,.522,.507,.473,.251,362,6.9,14.8,10.9,17.3,1.9,3.6,20.6,18.2,,1.2,2.1,3.2,.121,,2.7,3.2,6.0,
Jayden Epps,31,11,762,12.2,.508,.483,.459,.168,271,1.1,7.3,4.2,11.9,1.4,0.8,12.1,21.5,,0.8,1.1,1.9,.101,,0.0,1.3,1.3,
RJ Melendez,32,18,687,11.9,.498,.447,.535,.282,193,5.2,13.1,9.2,7.3,1.8,2.0,13.5,16.1,,0.7,1.2,1.9,.112,,0.2,2.7,2.9,
Ty Rodgers,33,0,574,12.3,.501,.516,.011,.333,136,10.8,15.3,13.1,9.8,2.2,1.2,20.0,11.7,,0.5,1.1,1.6,.113,,-0.2,3.1,2.9,
Sencire Harris,33,7,479,11.7,.464,.483,.339,.165,125,4.6,11.3,8.0,11.1,3.2,2.3,13.9,15.7,,0.2,1.0,1.2,.100,,-1.1,4.3,3.2,
Skyy Clark,13,12,318,9.5,.542,.514,.616,.315,94,2.2,14.6,8.5,15.2,1.3,0.6,24.3,17.3,,0.2,0.5,0.7,.087,,-2.2,1.9,-0.3,
Luke Goode,10,0,139,14.4,.626,.613,.613,.065,36,3.3,9.6,6.5,5.3,2.1,2.9,5.9,12.1,,0.3,0.2,0.6,.159,,2.5,3.8,6.3,
Brandon Lieb,16,0,59,12.2,.522,.583,.000,.417,16,9.8,22.6,16.3,6.3,0.0,11.8,25.8,16.3,,0.0,0.1,0.1,.092,,-6.3,4.1,-2.2,
Zacharie Perrin,1,0,2,-31.1,.000,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,,0.0,0.0,0.0,-.364,,-27.5,-5.6,-33.2,
AJ Redd,2,0,2,-22.3,.000,.000,.000,.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,,0.0,0.0,0.0,-.304,,-18.9,-9.1,-27.9,
Connor Serven,5,0,19,-0.7,.256,.000,1.000,2.000,1,6.1,17.5,11.9,0.0,3.0,0.0,50.6,10.3,,-0.1,0.0,0.0,-.025,,-9.5,1.1,-8.4,
Paxton Warden,10,0,15,-7.3,.250,.250,.750,.000,2,0.0,0.0,0.0,0.0,0.0,6.6,33.3,19.9,,-0.1,0.0,-0.1,-.154,,-10.4,-2.6,-13.0,
