Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Kris Murray,29,29,1011,25.9,.572,.548,.432,.259,535,8.5,17.8,12.9,11.7,1.7,3.3,7.9,27.0,,3.6,1.1,4.7,.187,,8.4,0.5,8.9,
Filip Rebraca,33,33,1041,22.2,.600,.574,.019,.519,461,9.8,17.7,13.6,12.0,1.0,3.0,12.3,20.8,,3.3,1.0,4.2,.163,,4.7,0.6,5.3,
Connor McCaffery,32,22,963,13.5,.563,.503,.717,.352,251,3.1,12.8,7.7,18.9,2.5,0.0,13.9,11.0,,1.9,0.9,2.8,.117,,1.5,2.4,4.0,
Tony Perkins,32,32,950,17.8,.521,.474,.203,.351,397,5.0,11.0,7.8,16.7,2.8,1.4,12.7,22.4,,1.8,1.0,2.8,.118,,2.8,1.4,4.2,
Payton Sandfort,33,7,685,20.2,.543,.507,.604,.207,315,5.7,17.1,11.1,13.0,1.6,1.0,6.6,24.0,,2.0,0.6,2.7,.157,,5.8,-0.1,5.7,
Patrick McCaffery,27,14,604,17.4,.534,.491,.474,.326,240,4.3,13.9,8.8,8.3,2.1,1.6,10.1,22.4,,1.2,0.6,1.7,.115,,3.7,0.2,3.9,
Ahron Ulis,32,27,722,9.3,.484,.456,.379,.225,198,0.9,7.3,3.9,15.3,1.4,0.6,14.8,16.1,,0.5,0.4,0.9,.050,,-0.4,0.0,-0.4,
Josh Dix,31,0,285,11.1,.551,.538,.673,.173,68,2.6,8.8,5.6,15.6,1.4,1.0,16.4,11.6,,0.4,0.2,0.6,.080,,1.5,0.5,2.0,
Dasonte Bowen,26,1,243,10.8,.545,.508,.180,.459,85,4.0,6.9,5.4,18.3,1.7,0.4,25.2,20.1,,0.2,0.1,0.3,.049,,-1.5,-0.5,-1.9,
Josh Ogundele,11,0,72,21.7,.685,.750,.000,.583,24,13.5,16.6,15.0,14.4,4.8,5.5,31.4,15.2,,0.1,0.1,0.3,.142,,1.0,4.6,5.6,
Carter Kingsbury,8,0,31,15.9,.588,.600,.400,.400,8,3.5,19.3,11.0,20.2,1.9,0.0,14.4,11.0,,0.1,0.0,0.1,.126,,3.4,2.2,5.5,
Riley Mulvey,12,0,50,17.7,.502,.500,.100,.200,13,10.8,14.4,12.5,6.6,1.1,9.9,8.4,11.7,,0.1,0.1,0.1,.117,,1.6,1.7,3.3,
Dante Eldridge,3,0,9,11.4,.339,.500,.500,1.000,3,0.0,13.3,6.3,37.4,0.0,0.0,0.0,16.1,,0.0,0.0,0.0,.043,,-2.2,-1.8,-4.0,
Luc Laketa,4,0,10,15.8,.506,.500,1.000,.667,4,10.8,36.0,22.7,0.0,0.0,0.0,0.0,19.4,,0.0,0.0,0.0,.152,,-3.1,-1.2,-4.3,
