Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Jalen Wilson,36,36,1274,21.0,.540,.490,.362,.346,667,5.2,20.8,13.3,12.5,1.5,1.4,11.1,29.7,,2.9,2.4,5.3,.168,,5.4,1.9,7.3,
Gradey Dick,36,36,1177,18.4,.581,.547,.523,.226,456,4.0,13.5,8.9,9.4,2.5,0.8,9.4,20.5,,2.8,2.1,4.9,.165,,4.9,2.9,7.7,
Dajuan Harris,36,36,1231,16.1,.533,.525,.266,.169,403,2.4,5.8,4.2,31.1,3.6,1.3,19.6,15.2,,2.0,2.1,4.1,.134,,3.0,4.1,7.2,
KJ Adams,36,36,985,18.9,.625,.622,.012,.446,380,8.9,9.1,9.0,13.3,1.6,3.1,15.3,18.3,,2.5,1.5,4.0,.162,,3.3,3.0,6.3,
Kevin McCullar,34,33,1042,17.4,.547,.496,.354,.422,368,4.6,20.8,13.0,13.4,3.7,2.6,17.8,19.5,,1.3,2.5,3.9,.148,,2.0,5.3,7.3,
Ernest Udeh,30,0,249,20.3,.694,.756,.000,.489,74,10.9,13.2,12.1,6.5,4.6,7.7,22.4,14.4,,0.4,0.6,1.1,.174,,0.1,6.6,6.7,
Joseph Yesufu,35,3,445,7.9,.461,.449,.571,.102,122,0.5,9.6,5.2,5.9,2.1,0.0,10.5,19.4,,0.0,0.7,0.6,.058,,-1.4,1.9,0.5,
Bobby Pettiford,32,0,385,7.3,.574,.560,.172,.138,86,3.1,8.0,5.6,18.3,1.3,0.3,36.8,12.7,,0.0,0.5,0.5,.049,,-1.9,2.0,0.1,
Zuby Ejiofor,25,0,128,17.1,.626,.650,.000,.500,35,13.8,24.0,19.1,5.3,1.3,12.5,32.7,14.4,,0.1,0.3,0.4,.127,,-1.1,5.1,4.0,
MJ Rice,23,0,174,7.6,.466,.439,.306,.245,50,7.5,8.2,7.8,4.0,2.3,1.2,18.0,19.2,,0.0,0.3,0.2,.055,,-3.9,1.7,-2.3,
Zach Clemence,20,0,112,6.3,.380,.382,.529,.176,29,8.4,16.7,12.7,3.0,1.0,6.7,16.0,19.6,,-0.1,0.2,0.1,.030,,-4.9,1.3,-3.6,
Michael Jankovich,13,0,24,28.0,.875,.875,.875,.000,8,0.0,0.0,0.0,0.0,2.4,4.4,0.0,16.7,,0.1,0.0,0.1,.219,,11.9,4.7,16.6,
Cam Martin,4,0,10,35.8,.875,.875,.250,.000,5,23.6,0.0,11.4,0.0,0.0,0.0,0.0,20.1,,0.1,0.0,0.1,.282,,13.0,0.3,13.3,
Kyle Cuffe,2,0,6,-14.9,.000,.000,.000,1.000,1,19.7,0.0,9.5,0.0,0.0,0.0,0.0,24.7,,0.0,0.0,0.0,-.272,,-14.9,-8.7,-23.6,
Dillon Wilhite,5,0,7,-13.4,,,,,0,0.0,15.7,8.1,0.0,0.0,0.0,100.0,7.2,,0.0,0.0,0.0,-.086,,-18.2,0.9,-17.3,
