YEAR_x,TEAM_x,SEED_x,SCORE_x,gameID,TEAMORIGINAL_x,Closest Match_x,afterWin_winLoss_Win_percent_x_x,afterWin_winLoss_MOV_x_x,afterWin_winLoss_ATS_x_x,asUnderdog_winLoss_Win_percent_x_x,asUnderdog_winLoss_MOV_x_x,asUnderdog_winLoss_ATS_x_x,away_winLoss_Win_percent_x_x,away_winLoss_MOV_x_x,away_winLoss_ATS_x_x,neutralSite_winLoss_Win_percent_x_x,neutralSite_winLoss_MOV_x_x,neutralSite_winLoss_ATS_x_x,overallWinPercentage_Win_percent_x_x,overallWinPercentage_MOV_x_x,overallWinPercentage_ATS_x_x,Team Original_x_x,Team_x_x,Team Original_y_x,Team_y_x,RSCI Top 100_x,TEAM_lower_x,Team_x,year_x,upperclassmen_x,SRS_x,SOS_x,Tm_x,Opp_x,MP_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,ORB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,Year_x,YEAR_y,TEAM_y,SEED_y,SCORE_y,TEAMORIGINAL_y,Closest Match_y,afterWin_winLoss_Win_percent_x_y,afterWin_winLoss_MOV_x_y,afterWin_winLoss_ATS_x_y,asUnderdog_winLoss_Win_percent_x_y,asUnderdog_winLoss_MOV_x_y,asUnderdog_winLoss_ATS_x_y,away_winLoss_Win_percent_x_y,away_winLoss_MOV_x_y,away_winLoss_ATS_x_y,neutralSite_winLoss_Win_percent_x_y,neutralSite_winLoss_MOV_x_y,neutralSite_winLoss_ATS_x_y,overallWinPercentage_Win_percent_x_y,overallWinPercentage_MOV_x_y,overallWinPercentage_ATS_x_y,Team Original_x_y,Team_x_y,Team Original_y_y,Team_y_y,RSCI Top 100_y,TEAM_lower_y,Team_y,year_y,upperclassmen_y,SRS_y,SOS_y,Tm_y,Opp_y,MP_y,FG_y,FGA_y,FG%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,ORB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,Year_y,seedDiff,isUnderdog_x,isUnderdog_y
2022,Gonzaga,1,93.0,137,Gonzaga,gonzaga,82.7%,13.8,1.0,40.5%,-2.7,2.1,76.1%,9.3,1.3,73.4%,7.3,+0.5,82.8%,14.2,1.2,Gonzaga,gonzaga,Gonzaga,Gonzaga,9.0,gonzaga,gonzaga,2022.0,4.0,25.46,4.5,2790.0,2119.0,1280.0,1045.0,2004.0,0.521,262.0,708.0,0.37,438.0,614.0,0.713,309.0,1341.0,578.0,205.0,186.0,370.0,497.0,2022.0,2022,Georgia St,16,72.0,Georgia St.,georgia st,58.4%,3.3,-0.3,21.7%,-7.7,0.2,39.5%,-2.9,-0.5,57.3%,2.8,+2.3,54.9%,2.5,0.0,Georgia St,georgia st,Georgia St,Georgia St,0.0,georgia st,georgia st,2022.0,6.0,-1.11,-1.34,2049.0,1906.0,1175.0,722.0,1806.0,0.4,221.0,670.0,0.33,384.0,533.0,0.72,385.0,1084.0,391.0,255.0,130.0,339.0,466.0,2022.0,15,True,False
2022,Boise St,8,53.0,138,Boise St.,boise st,59.8%,4.4,0.6,30.0%,-5.2,1.0,43.5%,-1.4,1.2,49.5%,0.7,0.0,59.8%,4.5,0.7,Boise St,boise st,Boise St,Boise St,2.0,boise st,boise st,2022.0,6.0,11.93,5.22,2389.0,2130.0,1415.0,849.0,1910.0,0.445,257.0,742.0,0.346,434.0,668.0,0.65,358.0,1219.0,399.0,210.0,120.0,422.0,526.0,2022.0,2022,Memphis,9,64.0,Memphis,memphis,70.5%,7.9,0.7,33.2%,-4.4,1.2,54.4%,1.5,0.8,55.6%,1.8,-0.7,70.0%,7.8,0.7,Memphis,memphis,Memphis,Memphis,6.0,memphis,memphis,2022.0,4.0,14.67,7.86,2480.0,2255.0,1320.0,889.0,1895.0,0.469,205.0,577.0,0.355,497.0,716.0,0.694,413.0,1280.0,522.0,277.0,180.0,527.0,621.0,2022.0,1,True,False
2022,Connecticut,5,63.0,139,Connecticut,connecticut,73.0%,9.5,1.0,31.5%,-4.4,1.0,51.8%,1.2,-0.1,70.8%,5.6,+1.7,71.1%,8.7,0.5,Connecticut,connecticut,Connecticut,,,connecticut,connecticut,2022.0,4.0,16.4,6.88,2469.0,2155.0,1345.0,880.0,2021.0,0.435,245.0,697.0,0.352,464.0,616.0,0.753,455.0,1333.0,463.0,196.0,212.0,388.0,554.0,2022.0,2022,New Mexico St,12,70.0,New Mexico St.,new mexico,64.7%,6.0,0.6,24.4%,-6.9,-0.3,39.5%,-2.9,-0.3,50.4%,0.2,-2.0,61.5%,5.0,0.1,New Mexico,new mexico,New Mexico,New Mexico St,0.0,new mexico st,new mexico st,2022.0,6.0,7.11,1.24,2464.0,2197.0,1365.0,869.0,1913.0,0.454,268.0,812.0,0.33,458.0,652.0,0.702,369.0,1298.0,465.0,170.0,138.0,478.0,539.0,2022.0,7,True,False
2022,Arkansas,4,75.0,140,Arkansas,arkansas,61.9%,5.5,-0.7,27.1%,-6.9,-1.0,29.7%,-5.6,-1.7,52.9%,0.2,-1.9,60.2%,5.0,-0.4,Arkansas,arkansas,Arkansas,Arkansas,4.0,arkansas,arkansas,2022.0,5.0,16.27,8.62,2810.0,2527.0,1490.0,972.0,2241.0,0.434,233.0,767.0,0.304,633.0,833.0,0.76,399.0,1399.0,512.0,281.0,153.0,452.0,624.0,2022.0,2022,Vermont,13,71.0,Vermont,vermont,70.1%,6.9,0.7,25.6%,-7.8,-0.1,57.1%,1.6,0.5,54.0%,1.4,+0.4,67.3%,6.1,1.0,Vermont,vermont,Vermont,Vermont,0.0,vermont,vermont,2022.0,7.0,7.81,-5.7,2544.0,2065.0,1365.0,936.0,1902.0,0.492,298.0,817.0,0.365,374.0,504.0,0.742,248.0,1191.0,515.0,173.0,84.0,326.0,475.0,2022.0,9,True,False
2022,Alabama,6,64.0,141,Alabama,alabama,58.7%,4.3,0.1,28.2%,-5.7,0.1,34.0%,-4.1,-1.0,55.1%,1.3,+0.2,60.3%,4.5,0.3,Alabama,alabama,Alabama,Alabama,6.0,alabama,alabama,2022.0,4.0,14.62,11.59,2623.0,2523.0,1325.0,911.0,2072.0,0.44,305.0,987.0,0.309,496.0,681.0,0.728,443.0,1306.0,484.0,233.0,155.0,480.0,609.0,2022.0,2022,Notre Dame,11,78.0,Notre Dame,notre dame,62.9%,6.0,0.3,32.0%,-4.6,1.5,39.5%,-2.6,0.9,50.4%,1.1,+0.2,61.3%,5.1,0.1,Notre Dame,notre dame,Notre Dame,Notre Dame,3.0,notre dame,notre dame,2022.0,6.0,11.87,7.01,2540.0,2349.0,1420.0,913.0,1973.0,0.463,318.0,834.0,0.381,396.0,526.0,0.753,251.0,1190.0,491.0,182.0,65.0,365.0,446.0,2022.0,5,True,False
2022,Texas Tech,3,97.0,142,Texas Tech,texas tech,59.2%,4.7,-0.1,23.1%,-8.9,-1.3,29.3%,-7.0,-1.7,44.2%,-0.8,-0.9,54.8%,2.8,-0.4,Texas Tech,texas tech,Texas Tech,Texas Tech,2.0,texas tech,texas tech,2022.0,7.0,20.08,8.65,2667.0,2244.0,1495.0,969.0,2055.0,0.472,225.0,700.0,0.321,504.0,722.0,0.698,391.0,1348.0,506.0,296.0,130.0,499.0,598.0,2022.0,2022,Montana St,14,62.0,Montana St.,montana st,52.8%,0.8,-0.4,26.2%,-7.3,0.1,30.9%,-6.4,-0.4,50.7%,-0.4,+0.2,50.0%,0.4,-0.5,Montana St,montana st,Montana St,Montana St,1.0,montana st,montana st,2022.0,5.0,-0.26,-5.54,2679.0,2425.0,1415.0,923.0,1952.0,0.473,268.0,729.0,0.368,565.0,749.0,0.754,305.0,1230.0,462.0,183.0,128.0,450.0,639.0,2022.0,11,True,False
2022,Michigan St,7,74.0,143,Michigan St.,michigan st,71.9%,8.4,0.4,35.3%,-4.2,0.7,54.0%,1.9,-0.1,63.8%,4.1,+0.1,71.7%,8.7,0.5,Michigan St,michigan st,Michigan St,Michigan St,9.0,michigan st,michigan st,2022.0,5.0,13.18,9.96,2601.0,2485.0,1440.0,939.0,2059.0,0.456,262.0,694.0,0.378,461.0,615.0,0.75,363.0,1329.0,565.0,205.0,181.0,459.0,609.0,2022.0,2022,Davidson,10,73.0,Davidson,davidson,64.8%,6.6,0.5,27.3%,-7.1,0.0,52.2%,0.5,0.8,51.1%,0.7,-0.4,64.4%,6.5,0.5,Davidson,davidson,Davidson,Davidson,1.0,davidson,davidson,2022.0,4.0,10.43,1.92,2567.0,2244.0,1365.0,908.0,1887.0,0.481,301.0,778.0,0.387,450.0,597.0,0.754,251.0,1161.0,498.0,157.0,88.0,333.0,504.0,2022.0,3,True,False
2022,Duke,2,78.0,144,Duke,duke,81.5%,13.5,0.3,43.3%,-1.1,2.9,66.3%,7.2,0.2,80.2%,9.7,-0.3,81.5%,13.9,0.5,Duke,duke,Duke,Duke,7.0,duke,duke,2022.0,2.0,19.55,7.26,3122.0,2643.0,1565.0,1158.0,2357.0,0.491,308.0,841.0,0.366,498.0,675.0,0.738,410.0,1480.0,642.0,249.0,219.0,400.0,532.0,2022.0,2022,Cal St Fullerton,15,61.0,Cal St. Fullerton,cal st fullerton,50.4%,0.6,-0.6,27.8%,-7.2,0.3,35.0%,-5.1,0.9,41.1%,-2.5,-1.8,46.5%,-0.4,-0.1,CS Fullerton,cal st fullerton,CS Fullerton,,,cal st fullerton,cal st fullerton,2022.0,5.0,-0.04,-2.28,2239.0,2129.0,1280.0,792.0,1781.0,0.445,176.0,535.0,0.329,479.0,625.0,0.766,312.0,1070.0,360.0,233.0,63.0,388.0,506.0,2022.0,13,True,False
2022,Duke,2,78.0,144,Duke,duke,81.5%,13.5,0.3,43.3%,-1.1,2.9,66.3%,7.2,0.2,80.2%,9.7,-0.3,81.5%,13.9,0.5,Duke,duke,Duke,Duke,7.0,duke,duke,2022.0,2.0,19.55,7.26,3122.0,2643.0,1565.0,1158.0,2357.0,0.491,308.0,841.0,0.366,498.0,675.0,0.738,410.0,1480.0,642.0,249.0,219.0,400.0,532.0,2022.0,2022,Cal St Fullerton,15,61.0,Cal St. Fullerton,cal st fullerton,50.4%,0.6,-0.6,27.8%,-7.2,0.3,35.0%,-5.1,0.9,41.1%,-2.5,-1.8,46.5%,-0.4,-0.1,CS Fullerton,cal st fullerton,CS Fullerton,,,cal st fullerton,cal st fullerton,2022.0,5.0,-0.04,-2.28,2239.0,2129.0,1280.0,792.0,1781.0,0.445,176.0,535.0,0.329,479.0,625.0,0.766,312.0,1070.0,360.0,233.0,63.0,388.0,506.0,2022.0,13,True,False
2022,Baylor,1,85.0,145,Baylor,baylor,66.9%,7.3,0.8,27.8%,-7.1,0.7,38.4%,-4.8,0.0,61.9%,4.6,+1.3,60.8%,5.3,0.6,Baylor,baylor,Baylor,Baylor,6.0,baylor,baylor,2022.0,4.0,21.73,8.76,2619.0,2178.0,1370.0,962.0,2083.0,0.462,274.0,799.0,0.343,421.0,604.0,0.697,437.0,1264.0,542.0,298.0,117.0,421.0,548.0,2022.0,2022,Norfolk St,16,49.0,Norfolk St.,norfolk st,57.6%,1.7,0.7,23.3%,-10.5,0.2,36.3%,-6.2,0.4,48.2%,-3.0,-0.9,51.3%,-0.2,1.0,Norfolk St,norfolk st,Norfolk St,Norfolk St,0.0,norfolk st,norfolk st,2022.0,6.0,-3.91,-9.3,2302.0,1997.0,1240.0,814.0,1766.0,0.461,216.0,629.0,0.343,458.0,655.0,0.699,319.0,1192.0,386.0,207.0,111.0,435.0,547.0,2022.0,15,True,False
