YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE,gameID,TEAMORIGINAL,Closest Match,afterLoss_winLoss_Win_percent_x,afterLoss_winLoss_MOV_x,afterLoss_winLoss_ATS_x,afterWin_winLoss_Win_percent_x,afterWin_winLoss_MOV_x,afterWin_winLoss_ATS_x,asUnderdog_winLoss_Win_percent_x,asUnderdog_winLoss_MOV_x,asUnderdog_winLoss_ATS_x,restAdvantage_winLoss_Win_percent_x,restAdvantage_winLoss_MOV_x,restAdvantage_winLoss_ATS_x,equalRest_winLoss_Win_percent_x,equalRest_winLoss_MOV_x,equalRest_winLoss_ATS_x,away_winLoss_Win_percent_x,away_winLoss_MOV_x,away_winLoss_ATS_x,home_winLoss_Win_percent_x,home_winLoss_MOV_x,home_winLoss_ATS_x,neutralSite_winLoss_Win_percent_x,neutralSite_winLoss_MOV_x,neutralSite_winLoss_ATS_x,overallWinPercentage_Win_percent_x,overallWinPercentage_MOV_x,overallWinPercentage_ATS_x,Team Original_x,Team_x,afterLoss_winLoss_Win_percent_y,afterLoss_winLoss_MOV_y,afterLoss_winLoss_ATS_y,afterWin_winLoss_Win_percent_y,afterWin_winLoss_MOV_y,afterWin_winLoss_ATS_y,asUnderdog_winLoss_Win_percent_y,asUnderdog_winLoss_MOV_y,asUnderdog_winLoss_ATS_y,restAdvantage_winLoss_Win_percent_y,restAdvantage_winLoss_MOV_y,restAdvantage_winLoss_ATS_y,equalRest_winLoss_Win_percent_y,equalRest_winLoss_MOV_y,equalRest_winLoss_ATS_y,away_winLoss_Win_percent_y,away_winLoss_MOV_y,away_winLoss_ATS_y,home_winLoss_Win_percent_y,home_winLoss_MOV_y,home_winLoss_ATS_y,neutralSite_winLoss_Win_percent_y,neutralSite_winLoss_MOV_y,neutralSite_winLoss_ATS_y,overallWinPercentage_Win_percent_y,overallWinPercentage_MOV_y,overallWinPercentage_ATS_y,Team Original_y,TEAM_lower,Team_y,year,upperclassmen,SRS,SOS,Tm,Opp,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
2024,2035,0,1026,Stetson,16,64,64,,0,Stetson,stetson,37.2%,-4.7,0.3,41.6%,-3.2,-0.1,25.6%,-8.9,0.8,45.1%,-0.2,-2.2,39.2%,-4.3,1.3,25.9%,-9.9,0.1,56.6%,3.5,0.3,31.8%,-4.7,+0.5,39.9%,-3.7,0.2,Stetson,stetson,37.2%,-4.7,0.3,41.6%,-3.2,-0.1,25.6%,-8.9,0.8,45.1%,-0.2,-2.2,39.2%,-4.3,1.3,25.9%,-9.9,0.1,56.6%,3.5,0.3,31.8%,-4.7,+0.5,39.9%,-3.7,0.2,Stetson,stetson,stetson,2024.0,5.0,-5.09,-3.24,2687.0,2566.0,1405.0,950.0,2053.0,0.463,313.0,857.0,0.365,474.0,619.0,0.766,339.0,1216.0,465.0,187.0,108.0,369.0,516.0,2024.0
2024,2033,0,1055,Howard,16,64,64,,1,Howard,howard,29.1%,-7.6,-1.3,37.3%,-3.7,-0.9,21.2%,-12.0,-1.2,39.1%,-3.7,0.7,30.5%,-6.8,-1.9,18.6%,-12.6,-2.3,47.2%,1.0,0.2,36.6%,-5.3,-0.5,31.6%,-6.5,-1.1,Howard,howard,29.1%,-7.6,-1.3,37.3%,-3.7,-0.9,21.2%,-12.0,-1.2,39.1%,-3.7,0.7,30.5%,-6.8,-1.9,18.6%,-12.6,-2.3,47.2%,1.0,0.2,36.6%,-5.3,-0.5,31.6%,-6.5,-1.1,Howard,howard,howard,2024.0,5.0,-8.69,-8.02,2623.0,2600.0,1420.0,868.0,1932.0,0.449,281.0,757.0,0.371,606.0,807.0,0.751,395.0,1257.0,485.0,212.0,98.0,541.0,661.0,2024.0
2024,2031,0,1016,Wagner,16,64,64,,2,Wagner,wagner,50.6%,-0.1,-0.4,54.9%,1.2,-0.9,34.5%,-7.7,0.1,58.1%,2.5,1.0,51.8%,0.3,-1.1,40.9%,-4.2,-0.7,65.7%,5.8,-0.7,52.6%,0.1,-1.4,52.4%,0.4,-0.7,Wagner,wagner,50.6%,-0.1,-0.4,54.9%,1.2,-0.9,34.5%,-7.7,0.1,58.1%,2.5,1.0,51.8%,0.3,-1.1,40.9%,-4.2,-0.7,65.7%,5.8,-0.7,52.6%,0.1,-1.4,52.4%,0.4,-0.7,Wagner,wagner,wagner,2024.0,5.0,-10.64,-8.58,2103.0,2083.0,1335.0,758.0,1913.0,0.396,238.0,727.0,0.327,349.0,496.0,0.704,369.0,1183.0,421.0,195.0,76.0,326.0,507.0,2024.0
2024,2029,0,1048,Longwood,16,64,64,,3,Longwood,longwood,31.4%,-6.9,0.8,48.3%,-0.8,1.6,26.1%,-7.4,2.3,53.5%,3.3,0.6,31.8%,-7.1,1.2,19.9%,-12.8,0.1,58.3%,4.7,2.0,35.3%,-4.4,+3.3,37.6%,-4.6,1.2,Longwood,longwood,31.4%,-6.9,0.8,48.3%,-0.8,1.6,26.1%,-7.4,2.3,53.5%,3.3,0.6,31.8%,-7.1,1.2,19.9%,-12.8,0.1,58.3%,4.7,2.0,35.3%,-4.4,+3.3,37.6%,-4.6,1.2,Longwood,longwood,longwood,2024.0,5.0,-2.04,-4.76,2615.0,2396.0,1420.0,931.0,2053.0,0.453,201.0,590.0,0.341,552.0,804.0,0.687,470.0,1343.0,446.0,244.0,88.0,444.0,639.0,2024.0
2024,2027,0,1043,Montana St,16,64,64,,4,Montana St.,montana st,48.6%,0.5,-0.6,52.8%,0.8,-0.4,26.2%,-7.3,0.1,55.8%,6.1,-1.0,50.4%,-0.8,-0.3,30.9%,-6.4,-0.4,69.4%,7.6,-0.8,50.7%,-0.4,+0.2,50.0%,0.4,-0.5,Montana St,montana st,48.6%,0.5,-0.6,52.8%,0.8,-0.4,26.2%,-7.3,0.1,55.8%,6.1,-1.0,50.4%,-0.8,-0.3,30.9%,-6.4,-0.4,69.4%,7.6,-0.8,50.7%,-0.4,+0.2,50.0%,0.4,-0.5,Montana St,montana st,montana st,2024.0,5.0,-5.34,-4.46,2635.0,2606.0,1420.0,941.0,2012.0,0.468,319.0,863.0,0.37,434.0,596.0,0.728,237.0,1068.0,463.0,289.0,84.0,408.0,647.0,2024.0
2024,2025,0,1058,Grambling St,16,64,64,,5,Grambling St.,grambling st,29.0%,-9.7,-0.3,49.1%,-1.5,1.6,30.0%,-10.9,1.5,42.7%,-4.1,-1.2,36.1%,-6.4,1.8,23.5%,-13.6,0.8,55.1%,2.8,0.0,36.8%,-6.1,+1.8,36.5%,-6.8,0.7,Grambling St,grambling st,29.0%,-9.7,-0.3,49.1%,-1.5,1.6,30.0%,-10.9,1.5,42.7%,-4.1,-1.2,36.1%,-6.4,1.8,23.5%,-13.6,0.8,55.1%,2.8,0.0,36.8%,-6.1,+1.8,36.5%,-6.8,0.7,Grambling St,grambling st,,,,,,,,,,,,,,,,,,,,,,,,,
2024,2023,0,1027,S Dakota St,15,64,64,,6,South Dakota St.,s dakota st,54.4%,1.8,2.1,64.6%,5.9,1.1,30.7%,-5.8,1.0,65.8%,8.0,1.7,61.0%,3.5,1.1,38.4%,-4.0,0.5,80.5%,12.2,3.0,60.2%,2.5,-0.4,59.1%,3.7,1.3,S Dakota St,s dakota st,54.4%,1.8,2.1,64.6%,5.9,1.1,30.7%,-5.8,1.0,65.8%,8.0,1.7,61.0%,3.5,1.1,38.4%,-4.0,0.5,80.5%,12.2,3.0,60.2%,2.5,-0.4,59.1%,3.7,1.3,S Dakota St,s dakota st,,,,,,,,,,,,,,,,,,,,,,,,,
2024,2021,0,1049,Long Beach St,15,64,64,,7,Long Beach St.,lg beach st,43.9%,-2.7,-0.1,55.2%,0.8,0.2,26.8%,-8.8,0.0,57.5%,3.6,0.1,49.9%,-1.2,0.0,33.4%,-6.9,-0.1,67.2%,5.8,-0.1,48.5%,-1.5,+0.5,49.4%,-0.9,0.0,Lg Beach St,lg beach st,43.9%,-2.7,-0.1,55.2%,0.8,0.2,26.8%,-8.8,0.0,57.5%,3.6,0.1,49.9%,-1.2,0.0,33.4%,-6.9,-0.1,67.2%,5.8,-0.1,48.5%,-1.5,+0.5,49.4%,-0.9,0.0,Lg Beach St,long beach st,long beach st,2024.0,6.0,-1.19,-1.19,2786.0,2735.0,1450.0,993.0,2239.0,0.444,194.0,637.0,0.305,606.0,855.0,0.709,450.0,1399.0,550.0,285.0,151.0,455.0,620.0,2024.0
2024,2019,0,1014,Western Kentucky,15,64,64,,8,Western Kentucky,kentucky,72.7%,9.3,0.6,76.1%,10.0,0.4,40.0%,-2.4,2.0,76.4%,10.3,-0.2,74.7%,9.4,0.5,60.6%,3.6,1.0,88.0%,15.7,0.0,69.2%,7.0,+0.4,75.5%,10.1,0.4,Kentucky,kentucky,72.7%,9.3,0.6,76.1%,10.0,0.4,40.0%,-2.4,2.0,76.4%,10.3,-0.2,74.7%,9.4,0.5,60.6%,3.6,1.0,88.0%,15.7,0.0,69.2%,7.0,+0.4,75.5%,10.1,0.4,Kentucky,western kentucky,western kentucky,2024.0,7.0,1.19,-2.91,2728.0,2531.0,1361.0,996.0,2138.0,0.466,233.0,686.0,0.34,503.0,699.0,0.72,361.0,1358.0,454.0,260.0,110.0,470.0,625.0,2024.0
2024,2017,0,1031,St Peters,15,64,64,,9,Saint Peter's,st peters,39.5%,-3.3,0.0,46.5%,-1.0,1.1,27.7%,-7.0,0.8,44.0%,-2.3,0.3,43.2%,-1.7,1.0,32.1%,-5.7,1.3,51.9%,1.0,-0.8,47.9%,-1.0,+1.7,41.8%,-2.5,0.5,St Peters,st peters,39.5%,-3.3,0.0,46.5%,-1.0,1.1,27.7%,-7.0,0.8,44.0%,-2.3,0.3,43.2%,-1.7,1.0,32.1%,-5.7,1.3,51.9%,1.0,-0.8,47.9%,-1.0,+1.7,41.8%,-2.5,0.5,St Peters,st peters,,,,,,,,,,,,,,,,,,,,,,,,,
