Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Adama Sanogo,39,39,1035,30.0,.648,.627,.114,.280,571,11.7,21.4,16.6,11.1,1.5,3.2,12.7,28.1,,4.3,2.4,6.7,.259,,7.8,3.2,11.0,
Jordan Hawkins,37,37,1086,20.2,.584,.531,.631,.317,511,3.9,10.8,7.4,8.2,1.4,1.8,8.9,25.4,,3.8,1.9,5.7,.211,,6.4,1.9,8.3,
Tristen Newton,39,38,1123,17.0,.539,.453,.430,.570,462,4.7,13.0,9.0,27.5,2.2,0.9,20.4,20.0,,2.7,2.2,4.9,.175,,3.3,3.6,6.9,
Alex Karaban,39,38,1128,15.4,.616,.597,.601,.172,343,6.4,11.5,9.0,10.1,1.1,2.6,13.5,14.9,,2.6,2.0,4.6,.165,,4.0,3.3,7.3,
Andre Jackson,36,31,1048,15.0,.509,.491,.418,.225,328,7.6,16.7,12.3,26.6,2.2,1.8,23.1,14.4,,1.8,2.3,4.0,.154,,2.8,5.1,7.9,
Donovan Clingan,39,0,511,33.1,.633,.655,.006,.509,248,19.9,29.3,24.7,7.4,1.8,14.3,15.9,24.2,,1.7,1.7,3.3,.261,,5.5,6.0,11.4,
Joey Calcaterra,38,0,550,16.3,.584,.560,.640,.149,201,3.2,10.2,6.8,14.9,2.3,0.4,13.8,19.4,,1.3,1.0,2.3,.171,,3.9,3.1,7.0,
Nahiem Alleyne,39,8,701,8.2,.477,.444,.536,.158,186,2.4,5.1,3.8,7.9,1.5,0.3,10.6,16.5,,0.7,1.0,1.8,.100,,-1.1,2.1,1.1,
Hassan Diarra,36,3,455,7.9,.378,.343,.446,.446,109,3.1,8.9,6.1,22.7,3.6,1.8,27.4,15.0,,-0.2,1.0,0.8,.073,,-2.3,5.1,2.8,
Samson Johnson,12,1,47,13.4,.584,.500,.250,.375,13,15.1,7.2,11.0,3.5,2.5,0.0,17.5,11.9,,0.1,0.1,0.2,.151,,0.1,1.9,2.0,
Richie Springs,19,0,39,21.5,.659,.667,.000,.556,15,9.1,25.9,17.7,14.3,0.0,0.0,8.1,15.6,,0.1,0.1,0.2,.227,,3.0,2.5,5.5,
Yarin Hasson,11,0,10,-5.1,.000,.000,.500,.000,1,11.8,0.0,5.8,0.0,0.0,10.5,0.0,9.8,,0.0,0.0,0.0,-.019,,-10.0,-0.1,-10.1,
Emmett Hendry,9,0,7,-8.8,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.0,,0.0,0.0,0.0,-.109,,-7.9,-2.2,-10.0,
Andre Johnson,9,0,10,-4.5,.000,.000,1.000,.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,,0.0,0.0,0.0,-.023,,-6.0,-1.2,-7.2,
Apostolos Roumoglou,20,0,30,4.5,.356,.286,.286,.429,7,7.9,18.7,13.4,5.3,2.0,0.0,19.2,17.1,,0.0,0.1,0.0,.050,,-7.2,1.4,-5.8,
Andrew Hurley,15,0,20,-11.0,.143,.143,.429,.000,2,0.0,16.9,8.6,0.0,5.9,0.0,30.0,24.5,,-0.1,0.1,-0.1,-.169,,-18.3,2.0,-16.4,
