Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Alex Karaban,7,7,227,24.6,.694,.667,.681,.333,103,5.0,10.5,7.8,17.0,0.8,7.2,8.1,19.6,,1.0,0.4,1.5,.259,,9.0,1.5,10.5,
Tarris Reed,7,0,138,35.4,.741,.750,.000,.700,76,20.8,32.0,26.5,10.9,1.7,9.3,14.4,23.1,,0.7,0.4,1.1,.332,,7.3,2.4,9.6,
Solomon Ball,7,7,189,19.0,.670,.667,.650,.250,75,2.0,7.6,4.8,12.6,1.9,0.6,8.2,19.8,,0.7,0.3,1.0,.205,,4.1,0.5,4.6,
Liam McNeeley,7,7,209,16.2,.568,.532,.508,.365,79,4.2,17.1,10.8,10.8,1.4,0.6,9.8,20.1,,0.5,0.4,0.9,.174,,2.1,-0.3,1.8,
Hassan Diarra,7,2,152,22.0,.641,.595,.514,.514,73,6.6,10.2,8.4,34.7,3.9,3.1,27.0,21.2,,0.5,0.4,0.8,.215,,5.0,2.8,7.9,
Samson Johnson,7,7,126,21.4,.766,.778,.000,.185,38,3.0,13.2,8.2,13.6,3.3,13.0,19.2,14.8,,0.3,0.4,0.7,.209,,0.8,7.2,8.0,
Jaylin Stewart,7,0,94,17.2,.570,.571,.393,.071,37,12.0,12.7,12.3,18.0,0.6,1.2,12.1,18.0,,0.3,0.2,0.4,.178,,2.6,-0.5,2.1,
Ahmad Nowell,6,0,49,20.1,.488,.471,.529,.176,23,12.8,12.2,12.5,30.2,2.4,2.4,9.8,21.3,,0.2,0.1,0.3,.220,,3.4,1.9,5.3,
Aidan Mahaney,7,5,118,5.0,.363,.359,.564,.051,33,2.1,5.1,3.6,16.8,0.5,0.0,7.0,18.6,,0.0,0.1,0.2,.061,,-4.4,-2.9,-7.3,
Jayden Ross,6,0,96,11.5,.440,.432,.595,.027,33,2.6,13.7,8.3,15.5,2.5,7.3,13.8,23.2,,0.0,0.2,0.2,.100,,-3.5,2.0,-1.5,
Isaiah Abraham,5,0,16,19.8,.571,.571,.714,.000,7,15.6,7.5,11.4,0.0,3.7,0.0,12.5,25.6,,0.0,0.0,0.1,.153,,4.9,-2.3,2.5,
Youssouf Singare,6,0,11,13.5,.500,.500,.000,.000,2,0.0,43.4,22.2,13.8,0.0,21.2,33.3,14.0,,0.0,0.0,0.0,.112,,-5.7,7.8,2.1,
