Team,Win-Loss Record,Win %,MOV,ATS +/-
Mercyhurst,1-0-0,100.0%,5.0,+12.5
Kansas,138-24-0,85.2%,12.5,+2.3
Gonzaga,110-24-0,82.1%,14.9,+2.0
Duke,123-33-0,78.9%,13.0,+0.8
Kentucky,152-57-0,72.7%,9.3,+0.6
Michigan St,173-69-0,71.5%,8.7,+1.1
Arizona,150-64-0,70.1%,8.0,+1.3
Dayton,186-86-0,68.4%,5.9,+1.1
Murray St,162-75-0,68.4%,7.5,+0.9
N Carolina,164-77-0,68.1%,8.2,+1.4
Memphis,168-81-0,67.5%,6.4,+0.2
Xavier,173-86-0,66.8%,6.0,0.0
Florida,175-87-0,66.8%,7.5,+0.3
Wisconsin,175-90-0,66.0%,5.4,+0.4
VCU,174-91-0,65.7%,5.0,+0.6
Texas,191-100-0,65.6%,5.2,0.0
BYU,174-94-0,64.9%,6.0,+1.5
Creighton,169-92-0,64.8%,5.5,+0.8
Marquette,187-102-0,64.7%,4.4,0.0
Tennessee,185-102-0,64.5%,4.7,+0.4
Maryland,184-102-0,64.3%,4.9,0.0
Davidson,178-99-0,64.3%,6.3,+0.7
UAB,196-109-0,64.3%,5.0,+0.8
Vermont,163-91-0,64.2%,5.3,+1.6
Akron,185-105-0,63.8%,5.8,+0.4
Sam Hous St,193-110-0,63.7%,6.0,+0.2
Cincinnati,162-93-0,63.5%,5.1,+0.6
Kent St,179-103-0,63.5%,4.5,+0.4
Connecticut,158-91-0,63.5%,5.2,-0.6
Grd Canyon,71-41-0,63.4%,4.8,-0.7
Col Charlestn,164-95-0,63.3%,4.0,+0.9
Syracuse,163-99-0,62.2%,4.6,+0.6
Utah St,151-92-0,62.1%,5.7,-0.6
N Dakota St,136-83-0,62.1%,5.5,+0.9
Alabama,203-126-0,61.7%,3.7,+0.4
UNLV,189-118-0,61.6%,4.0,+0.2
Villanova,160-100-0,61.5%,4.3,-0.2
Purdue,175-111-0,61.2%,5.2,+1.0
Ohio,206-134-0,60.6%,2.7,+0.7
San Diego St,167-111-0,60.1%,3.1,0.0
Belmont,161-108-0,59.9%,3.2,+1.5
UCLA,165-111-0,59.8%,2.7,-0.6
Richmond,203-138-0,59.5%,2.7,+1.1
Ohio St,163-111-0,59.5%,4.0,-0.1
Butler,164-112-0,59.4%,3.4,-0.3
Boise St,188-130-0,59.1%,3.8,+1.0
Weber St,175-123-0,58.7%,5.0,+0.4
N Mex State,167-118-0,58.6%,3.7,+0.1
NC State,204-145-0,58.5%,2.3,+0.7
Illinois,175-126-0,58.1%,3.7,+0.3
W Kentucky,178-131-0,57.6%,2.5,+0.2
LA Tech,186-137-0,57.6%,3.4,-0.6
Geo Mason,194-143-0,57.6%,2.3,+0.8
Winthrop,169-125-0,57.5%,4.0,+0.3
St Marys,155-115-0,57.4%,2.5,+0.1
Stanford,175-130-0,57.4%,2.4,0.0
Montana,179-136-0,56.8%,3.2,+0.9
Oregon,171-130-0,56.8%,2.9,+0.1
E Tenn St,182-139-0,56.7%,3.2,+0.6
Queens,18-14-0,56.3%,0.4,+0.4
Louisville,164-128-0,56.2%,2.9,-0.2
Notre Dame,178-140-0,56.0%,2.2,-0.2
Wichita St,161-127-0,55.9%,2.6,-0.1
St. Thomas,25-20-0,55.6%,4.6,+2.3
Missouri St,201-161-0,55.5%,2.1,+0.1
Oklahoma,162-130-0,55.5%,2.8,-0.4
Utah Valley,142-114-0,55.5%,4.3,+2.7
Florida St,189-152-0,55.4%,0.9,-0.3
Temple,180-145-0,55.4%,2.4,+0.3
Michigan,188-152-0,55.3%,2.0,+0.6
W Virginia,185-150-0,55.2%,1.7,0.0
