Team,Win-Loss Record,Win %,MOV,ATS +/-
Mercyhurst,1-1-0,50.0%,-6.0,+7.3
Duke,29-38-0,43.3%,-1.1,+2.9
Kansas,44-59-0,42.7%,-3.8,-0.2
Arizona,64-91-0,41.3%,-3.1,+1.3
Gonzaga,45-66-0,40.5%,-2.7,+2.1
Syracuse,101-149-0,40.4%,-3.9,+1.4
Kentucky,60-90-0,40.0%,-2.4,+2.0
Xavier,90-144-0,38.5%,-2.8,+1.7
Wisconsin,98-159-0,38.1%,-3.2,+1.7
Creighton,85-141-0,37.6%,-3.2,+1.8
Tennessee,97-164-0,37.2%,-3.7,+1.9
Oregon,108-191-0,36.1%,-5.0,+1.2
Kent St,99-176-0,36.0%,-4.3,+1.4
UCLA,98-176-0,35.8%,-5.2,+0.6
Michigan St,71-130-0,35.3%,-4.2,+0.7
Marquette,109-203-0,34.9%,-4.9,+0.8
Dayton,86-161-0,34.8%,-4.0,+1.5
UAB,106-199-0,34.8%,-4.8,+1.4
Miami,119-224-0,34.7%,-4.3,+1.8
Wagner,39-74-0,34.5%,-7.7,+0.1
Coastal Car,56-107-0,34.4%,-5.4,+1.0
Butler,93-183-0,33.7%,-5.4,+0.3
Providence,130-256-0,33.7%,-4.8,+1.6
Col Charlestn,78-154-0,33.6%,-4.6,+1.9
N Iowa,116-229-0,33.6%,-4.9,+1.0
IPFW,70-140-0,33.3%,-6.1,+1.1
Temple,105-211-0,33.2%,-5.3,+1.0
Memphis,77-155-0,33.2%,-4.4,+1.2
Lipscomb,42-85-0,33.1%,-6.1,+2.8
W Kentucky,95-193-0,33.0%,-5.5,+1.1
Ohio St,88-180-0,32.8%,-5.2,+0.6
Texas,89-183-0,32.7%,-4.7,+0.8
Florida St,118-243-0,32.7%,-6.5,+0.5
Maryland,91-189-0,32.5%,-4.9,+0.6
Villanova,78-162-0,32.5%,-3.8,+1.4
Richmond,110-229-0,32.5%,-5.5,+1.0
Geo Mason,109-227-0,32.4%,-5.6,+0.8
Seton Hall,120-251-0,32.4%,-5.5,+0.9
Tarleton St,21-44-0,32.3%,-6.5,+1.7
Notre Dame,109-232-0,32.0%,-4.6,+1.5
Nevada,81-174-0,31.8%,-5.5,+1.1
Wright St,105-226-0,31.7%,-6.5,+0.5
Rider,103-222-0,31.7%,-6.2,+0.6
Connecticut,63-137-0,31.5%,-4.4,+1.0
Quinnipiac,54-118-0,31.4%,-5.5,+0.8
Niagara,121-265-0,31.4%,-6.3,+0.8
Oklahoma,94-206-0,31.3%,-5.4,+0.4
Belmont,31-69-0,31.0%,-6.5,+0.5
Pittsburgh,96-214-0,31.0%,-6.1,+0.7
Ohio,99-221-0,30.9%,-6.4,-0.1
Siena,111-248-0,30.9%,-6.1,+0.9
Michigan,107-240-0,30.8%,-6.2,+0.6
UCSB,89-200-0,30.8%,-6.2,+0.4
Hawaii,99-223-0,30.8%,-5.8,+0.9
Army,39-88-0,30.7%,-6.2,+0.8
S Dakota St,42-95-0,30.7%,-5.8,+1.0
Sam Hous St,37-84-0,30.6%,-8.4,0.0
Hofstra,92-210-0,30.5%,-6.1,+1.0
Utah St,67-153-0,30.5%,-4.8,+0.6
VCU,74-170-0,30.3%,-4.1,+0.8
Mass Lowell,30-69-0,30.3%,-6.8,+1.1
TX-Arlington,53-122-0,30.3%,-6.1,+2.5
Weber St,78-180-0,30.2%,-6.6,+0.3
Saint Louis,116-268-0,30.2%,-6.6,+0.6
Manhattan,113-261-0,30.2%,-6.9,+0.1
Merrimack,19-44-0,30.2%,-8.3,+0.3
N Carolina,53-123-0,30.1%,-5.8,0.0
N Kentucky,34-79-0,30.1%,-6.4,+1.3
Boise St,94-219-0,30.0%,-5.2,+1.0
Grambling St,36-84-0,30.0%,-10.9,+1.5
Stanford,88-206-0,29.9%,-6.2,0.0
Florida,55-129-0,29.9%,-4.0,+0.9
Miss State,103-242-0,29.9%,-6.0,+0.6
S Illinois,104-245-0,29.8%,-6.2,-0.3
Troy,101-238-0,29.8%,-6.4,+1.1
Iowa,106-250-0,29.8%,-6.0,+0.3
Grd Canyon,25-59-0,29.8%,-6.3,-0.1
U Mass,113-267-0,29.7%,-6.3,+0.4
San Diego St,79-188-0,29.6%,-6.6,+0.2
UNLV,79-188-0,29.6%,-5.7,+0.3
NC State,113-269-0,29.6%,-6.0,+0.8
Maryland BC,39-93-0,29.6%,-7.1,+1.7
Cincinnati,65-155-0,29.6%,-5.8,+0.2
App State,106-253-0,29.5%,-6.9,+0.9
Boston U,43-103-0,29.5%,-6.7,+1.1
Northeastrn,78-187-0,29.4%,-6.6,+0.1
Middle Tenn,97-233-0,29.4%,-7.1,+0.1
S Carolina,120-289-0,29.3%,-7.1,+0.2
Bowling Grn,122-294-0,29.3%,-6.7,-0.2
Indiana St,127-307-0,29.3%,-6.7,+0.4
Chattanooga,94-228-0,29.2%,-7.9,+0.1
Santa Clara,120-292-0,29.1%,-7.9,0.0
S Alabama,110-268-0,29.1%,-6.8,+0.4
Murray St,55-134-0,29.1%,-5.1,+0.2
Wichita St,73-178-0,29.1%,-5.4,+0.4
USC,106-259-0,29.0%,-5.7,+0.7
Utah Valley,36-88-0,29.0%,-6.6,+1.8
Princeton,64-157-0,29.0%,-6.0,+1.2
Vanderbilt,120-295-0,28.9%,-6.1,+0.5
Kansas City,65-160-0,28.9%,-8.1,+1.1
St Josephs,108-266-0,28.9%,-6.0,+0.6
Monmouth,56-138-0,28.9%,-8.8,0.0
GA Tech,131-324-0,28.8%,-6.5,+0.6
Miami (OH),128-317-0,28.8%,-6.3,+0.7
Charlotte,110-274-0,28.7%,-6.9,-0.4
Radford,31-78-0,28.4%,-7.5,+1.5
Indiana,92-232-0,28.4%,-6.8,-0.2
Bellarmine,19-48-0,28.4%,-8.2,+0.8
Purdue,72-182-0,28.4%,-6.1,-0.1
Montana,70-177-0,28.3%,-7.3,-0.3
Fresno St,102-258-0,28.3%,-5.8,+1.0
UC Irvine,91-231-0,28.3%,-6.4,+1.1
Yale,76-193-0,28.3%,-7.4,+1.4
Alabama,90-229-0,28.2%,-5.7,+0.1
Akron,75-191-0,28.2%,-6.2,0.0
LA Tech,88-225-0,28.1%,-7.0,+0.1
Tulsa,95-243-0,28.1%,-6.6,+0.2
Harvard,70-179-0,28.1%,-7.0,+0.9
Mt St Marys,41-106-0,27.9%,-7.8,+0.6
Virginia,73-189-0,27.9%,-8.4,-1.1
Fairfield,103-267-0,27.8%,-6.7,+0.2
CS Fullerton,121-314-0,27.8%,-7.2,+0.3
Kansas St,101-262-0,27.8%,-6.3,+0.7
Hampton,52-135-0,27.8%,-8.6,+0.2
Baylor,89-231-0,27.8%,-7.1,+0.7
Cal Baptist,20-52-0,27.8%,-7.2,-0.2
Illinois,78-203-0,27.8%,-5.2,+0.6
South Dakota,58-151-0,27.8%,-7.6,+0.3
WI-Milwkee,111-289-0,27.8%,-7.5,+0.7
St Peters,109-284-0,27.7%,-7.0,+0.8
Lehigh,36-94-0,27.7%,-7.7,+0.7
AR Lit Rock,112-294-0,27.6%,-7.9,-0.5
Drexel,91-239-0,27.6%,-6.2,+0.1
W Virginia,94-247-0,27.6%,-6.6,-0.5
St Johns,114-300-0,27.5%,-7.1,+0.4
Missouri St,91-240-0,27.5%,-5.9,+0.2
UCSD,17-45-0,27.4%,-6.5,+0.8
Portland St,100-266-0,27.3%,-7.1,+0.7
Loyola-Chi,106-282-0,27.3%,-6.9,+0.3
Davidson,59-157-0,27.3%,-7.1,0.0
Ball St,105-280-0,27.3%,-6.4,+0.4
Fla Gulf Cst,33-88-0,27.3%,-7.0,+1.2
E Kentucky,87-232-0,27.3%,-8.0,+0.9
Mississippi,96-256-0,27.3%,-6.4,-0.3
N Florida,43-115-0,27.2%,-10.4,+1.5
UC Davis,77-206-0,27.2%,-7.3,+0.5
Campbell,34-91-0,27.2%,-5.5,+1.1
Canisius,109-292-0,27.2%,-6.6,+0.8
