Team,Win-Loss Record,Win %,MOV,ATS +/-
Gonzaga,463-94-0,83.1%,13.5,+1.1
Duke,365-82-0,81.7%,13.4,+1.0
Kansas,381-113-0,77.1%,9.9,+0.4
Kentucky,361-122-0,74.7%,9.4,+0.5
Connecticut,301-116-0,72.2%,7.7,+1.0
Arizona,421-165-0,71.8%,8.4,+0.3
N Carolina,309-123-0,71.5%,8.2,+0.4
Belmont,314-128-0,71.0%,7.0,+1.0
Memphis,298-125-0,70.5%,8.4,+1.6
Murray St,363-153-0,70.4%,7.1,+0.4
Butler,318-134-0,70.4%,6.9,+1.5
Cincinnati,270-116-0,70.0%,8.3,+0.6
Villanova,285-126-0,69.3%,7.2,+1.0
Utah St,329-150-0,68.7%,6.4,+0.9
Michigan St,276-126-0,68.7%,6.7,-0.2
Wisconsin,269-125-0,68.3%,6.8,+0.8
Davidson,270-126-0,68.2%,5.5,+0.7
Creighton,297-145-0,67.2%,6.6,+0.7
VCU,323-159-0,67.0%,5.6,+0.7
BYU,336-166-0,66.9%,6.5,+1.0
Ohio St,257-128-0,66.8%,7.0,+0.5
Xavier,286-143-0,66.7%,6.8,+0.6
Syracuse,283-142-0,66.6%,5.8,+0.2
Florida,312-158-0,66.4%,7.4,0.0
Col Charlestn,335-170-0,66.3%,4.7,+0.1
Dayton,282-144-0,66.2%,4.8,+0.6
Marquette,253-131-0,65.9%,5.6,+1.2
Grd Canyon,125-65-0,65.8%,4.5,+0.2
San Diego St,285-155-0,64.8%,4.6,+0.9
Illinois,261-142-0,64.8%,6.4,+0.2
UCLA,356-197-0,64.4%,4.2,+0.2
Virginia,236-132-0,64.1%,5.1,-0.5
Kent St,302-170-0,64.0%,3.8,+0.7
Vermont,301-171-0,63.8%,5.7,+0.6
N Mex State,300-171-0,63.7%,4.7,+0.2
Princeton,280-162-0,63.4%,4.1,+0.3
St Marys,306-181-0,62.8%,4.5,0.0
Texas,300-178-0,62.8%,5.7,+0.3
Tennessee,277-165-0,62.7%,4.7,+0.5
Stanford,338-204-0,62.4%,4.5,+0.5
Pittsburgh,231-140-0,62.3%,4.4,+0.1
Louisville,243-150-0,61.8%,6.5,+0.9
