Team,Win-Loss Record,Win %,MOV,ATS +/-
Gonzaga,769-160-0,82.8%,14.2,+1.2
Duke,785-178-0,81.5%,13.9,+0.5
Kansas,778-186-0,80.7%,11.8,+0.7
Kentucky,715-232-0,75.5%,10.1,+0.4
Arizona,680-240-0,73.9%,9.5,+0.5
N Carolina,697-265-0,72.5%,9.3,+0.5
Michigan St,676-267-0,71.7%,8.7,+0.5
Connecticut,658-268-0,71.1%,8.7,+0.5
Memphis,638-273-0,70.0%,7.8,+0.7
Utah St,620-269-0,69.7%,7.7,+1.2
Murray St,595-263-0,69.4%,8.0,+0.4
Florida,639-287-0,69.0%,9.4,+0.5
Syracuse,638-287-0,69.0%,6.7,+0.1
Cincinnati,619-281-0,68.8%,8.0,+0.2
Villanova,627-285-0,68.8%,7.0,+0.6
Xavier,621-284-0,68.6%,7.1,+0.6
Wisconsin,626-291-0,68.3%,7.0,+0.6
Creighton,617-287-0,68.3%,7.2,+0.7
Vermont,579-281-0,67.3%,6.1,+1.0
VCU,598-291-0,67.3%,5.9,+0.7
Ohio St,616-300-0,67.3%,7.3,+0.6
BYU,597-295-0,66.9%,7.5,+1.0
UCLA,604-303-0,66.6%,5.7,+0.2
Col Charlestn,570-286-0,66.6%,5.2,+0.2
Dayton,581-297-0,66.2%,5.4,+0.5
Butler,588-302-0,66.1%,5.7,+0.7
St Marys,572-297-0,65.8%,6.7,+0.3
Maryland,594-311-0,65.6%,7.1,0.0
San Diego St,580-304-0,65.6%,5.4,+0.5
Purdue,593-313-0,65.5%,6.8,+0.4
Belmont,557-294-0,65.5%,5.7,+0.6
Kent St,582-308-0,65.4%,5.0,+0.6
Texas,597-318-0,65.3%,6.6,0.0
Tennessee,577-314-0,64.8%,6.1,+0.4
Grd Canyon,231-126-1,64.7%,6.0,+0.9
Louisville,583-318-0,64.7%,7.3,+0.4
Virginia,557-308-0,64.4%,5.3,-0.3
Davidson,548-303-0,64.4%,6.5,+0.5
Wichita St,564-313-0,64.3%,5.9,+0.5
Illinois,588-327-0,64.3%,6.3,+0.5
Marquette,566-316-0,64.2%,5.5,+0.4
Oregon,581-325-0,64.1%,5.1,+0.5
Oklahoma,565-318-0,64.0%,5.8,+0.3
N Mex State,547-310-1,63.8%,5.5,+0.1
Ste F Austin,517-295-0,63.7%,6.4,-0.3
Akron,546-317-0,63.3%,5.1,+0.3
Pittsburgh,564-328-0,63.2%,5.3,+0.1
UAB,554-331-0,62.6%,4.7,+0.4
Stanford,552-330-0,62.6%,5.2,+0.3
Princeton,471-283-0,62.5%,4.6,+0.3
Winthrop,519-320-0,61.9%,4.6,0.0
UNLV,539-333-0,61.8%,4.5,0.0
W Kentucky,538-336-0,61.6%,3.8,0.0
