Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Brandon Miller,37,37,1208,23.4,.583,.533,.535,.329,645,6.7,17.7,12.6,12.9,1.5,2.4,12.0,26.2,,4.1,2.9,7.0,.230,,7.8,4.3,12.0,
Mark Sears,37,37,1103,16.4,.574,.509,.597,.430,449,2.5,8.9,5.9,15.7,2.1,0.2,14.8,20.1,,2.6,2.2,4.8,.172,,3.3,4.2,7.5,
Noah Clowney,36,36,915,18.6,.576,.553,.474,.439,336,8.7,21.4,15.5,5.8,1.3,3.4,13.1,18.0,,1.9,2.4,4.3,.189,,3.7,4.5,8.3,
Charles Bediako,37,37,766,20.7,.615,.659,.037,.378,247,14.1,14.7,14.4,5.8,1.7,7.9,13.4,13.6,,1.8,2.0,3.8,.196,,2.7,6.2,8.9,
Jahvon Quinerly,35,6,743,13.6,.517,.487,.476,.185,328,1.0,7.5,4.5,31.9,1.8,0.0,20.3,23.3,,1.0,1.4,2.4,.128,,2.3,2.6,4.9,
Jaden Bradley,37,22,733,11.4,.485,.411,.118,.634,276,2.2,10.2,6.4,26.9,1.4,0.4,21.7,19.7,,0.7,1.4,2.1,.114,,-0.9,3.1,2.3,
Rylan Griffen,37,0,582,13.5,.499,.470,.690,.228,206,5.1,10.7,8.1,8.4,2.1,1.1,11.4,19.8,,0.8,1.2,2.0,.138,,2.1,3.9,6.0,
Noah Gurley,34,1,523,14.0,.582,.561,.557,.198,159,5.9,13.5,10.0,7.5,1.2,3.1,17.3,15.5,,0.7,1.1,1.9,.144,,2.0,4.6,6.6,
Nick Pringle,36,0,289,25.0,.740,.847,.000,.932,114,13.7,23.9,19.1,4.8,1.5,4.7,16.6,16.5,,0.9,0.8,1.7,.241,,2.4,5.0,7.4,
Nimari Burnett,27,9,396,11.4,.523,.476,.672,.328,144,4.9,8.2,6.7,9.0,1.4,0.9,15.3,20.1,,0.5,0.7,1.2,.126,,0.5,3.0,3.4,
Dominick Welch,20,0,181,5.8,.394,.344,.689,.267,41,4.1,13.4,9.1,5.4,0.9,2.5,15.1,15.4,,-0.1,0.4,0.3,.070,,-2.6,3.2,0.5,
Adam Cottrell,14,0,23,5.7,.571,.571,.857,.000,6,0.0,8.1,4.3,0.0,2.4,0.0,12.5,16.3,,0.0,0.0,0.1,.114,,-9.4,4.5,-4.9,
Delaney Heard,13,0,22,21.3,.685,.650,.400,.200,12,9.7,8.5,9.0,0.0,0.0,0.0,15.4,27.5,,0.1,0.0,0.1,.195,,3.9,1.2,5.1,
Darius Miles,6,0,39,2.2,.570,.417,.500,.667,11,5.5,16.7,11.5,12.3,1.4,2.3,53.3,20.3,,-0.1,0.1,0.0,-.012,,-6.7,3.5,-3.2,
Jaden Quinerly,13,0,22,7.1,.156,.000,.333,.889,8,14.6,4.2,9.0,26.8,12.5,0.0,13.5,31.5,,-0.1,0.1,0.0,-.023,,-9.6,9.6,0.0,
Max Scharnowski,3,0,5,5.3,,,,,1,21.3,18.6,19.9,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.156,,-3.8,3.0,-0.8,
