Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Warren Washington,34,34,915,19.6,.590,.563,.000,.502,316,8.1,19.4,13.7,11.7,1.1,7.5,15.8,17.3,,1.8,1.8,3.6,.159,,2.0,3.6,5.5,
Desmond Cambridge,34,33,975,18.8,.516,.489,.606,.155,429,3.3,9.9,6.6,17.7,3.4,2.1,9.8,25.6,,1.7,1.8,3.5,.143,,4.7,3.5,8.1,
Devan Cambridge,36,35,962,16.6,.578,.558,.326,.388,336,8.8,12.8,10.8,6.4,1.3,3.3,14.1,18.5,,1.7,1.5,3.3,.136,,2.1,1.7,3.9,
DJ Horne,35,34,1039,14.5,.497,.460,.510,.219,408,1.6,10.9,6.2,16.5,2.1,0.4,9.8,23.5,,1.4,1.6,3.0,.114,,2.1,1.9,3.9,
Frankie Collins,35,34,977,15.0,.480,.443,.253,.435,378,2.6,13.4,8.0,30.6,2.7,0.9,17.4,21.9,,0.9,1.8,2.7,.109,,1.2,3.2,4.4,
Jamiya Neal,31,1,503,12.8,.508,.489,.492,.265,152,2.4,16.2,9.2,17.7,2.4,1.1,17.7,18.0,,0.3,0.9,1.2,.099,,-0.1,2.9,2.9,
Duke Brennan,36,1,325,14.8,.560,.519,.000,.852,96,14.5,12.7,13.6,2.9,1.2,6.3,16.5,14.0,,0.6,0.6,1.1,.138,,-1.8,2.4,0.6,
Alonzo Gaffney,36,3,606,7.5,.435,.412,.504,.235,122,5.0,13.9,9.4,6.8,1.5,4.1,18.0,13.3,,-0.1,1.0,0.9,.061,,-2.7,3.2,0.4,
Austin Nunez,28,2,457,8.0,.541,.509,.500,.208,117,1.9,5.7,3.8,9.9,2.4,0.2,22.1,16.4,,0.1,0.6,0.7,.061,,-2.7,2.3,-0.4,
Luther Muhammad,36,1,355,10.3,.454,.409,.356,.212,119,2.1,8.9,5.5,8.1,1.8,0.0,8.8,22.5,,0.1,0.5,0.6,.068,,-1.6,0.8,-0.8,
Enoch Boakye,19,0,60,9.2,.455,.500,.000,.900,15,10.7,12.6,11.7,6.1,1.0,7.6,21.9,15.3,,0.0,0.1,0.1,.062,,-5.3,2.8,-2.4,
Marcus Bagley,2,2,57,9.8,.444,.386,.409,.591,24,3.8,11.4,7.6,10.5,0.0,2.0,15.1,29.1,,0.0,0.1,0.0,.027,,-0.5,-1.5,-2.0,
Micah Burno,7,0,11,-6.2,.526,,,,2,9.8,9.8,9.8,14.5,0.0,0.0,75.9,18.0,,-0.1,0.0,0.0,-.149,,-10.8,-3.5,-14.3,
John Olmsted,10,0,17,5.4,.526,,,,1,0.0,19.1,9.5,0.0,0.0,6.7,0.0,2.8,,0.0,0.0,0.0,.085,,-3.1,4.5,1.3,
Austin Ronzone,1,0,1,-61.2,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.1,,0.0,0.0,0.0,-.997,,-28.3,-13.0,-41.2,
Cade Ronzone,2,0,2,7.1,.526,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,,0.0,0.0,0.0,.158,,-14.1,1.7,-12.4,
Jordan Williams,2,0,4,9.9,,,,,1,0.0,0.0,0.0,40.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.105,,2.9,2.8,5.7,
Bobby Hurley,6,0,9,-6.7,.232,.250,.333,.167,4,23.9,0.0,12.0,0.0,0.0,0.0,13.4,41.6,,-0.1,0.0,-0.1,-.230,,-11.4,-13.5,-24.8,
