Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Johni Broome,33,33,875,27.2,.546,.539,.084,.340,441,12.4,22.8,17.7,12.0,1.9,9.6,11.8,27.5,,2.2,2.0,4.2,.191,,5.1,3.8,8.9,
Jaylin Williams,33,33,918,19.4,.563,.534,.387,.250,355,5.1,13.6,9.4,16.4,2.2,2.9,10.7,19.8,,2.3,1.5,3.8,.164,,5.3,3.2,8.5,
Wendell Green,34,34,958,18.7,.515,.423,.402,.523,480,1.4,11.3,6.4,29.0,3.5,0.1,16.9,28.3,,1.8,1.6,3.4,.141,,3.4,2.6,6.0,
Allen Flanigan,34,19,917,14.6,.551,.509,.408,.358,318,3.6,16.9,10.3,10.6,1.8,0.9,16.2,20.0,,1.2,1.5,2.7,.117,,1.9,1.8,3.7,
Dylan Cardwell,32,1,428,23.1,.696,.747,.013,.293,135,14.3,17.0,15.7,16.0,1.2,10.8,19.0,12.2,,1.2,0.8,2.0,.186,,3.1,5.1,8.2,
K.D. Johnson,33,0,722,12.5,.507,.458,.458,.470,272,2.4,7.3,4.9,11.5,2.9,0.1,14.8,23.3,,0.7,1.0,1.7,.094,,0.2,2.2,2.4,
Chris Moore,31,16,448,12.9,.589,.553,.293,.467,116,9.1,7.4,8.2,7.6,2.0,2.2,18.6,12.5,,0.7,0.6,1.3,.112,,1.3,2.3,3.6,
Tre Donaldson,32,0,337,11.8,.485,.473,.438,.274,88,1.0,14.1,7.6,20.7,3.6,0.3,18.7,15.0,,0.2,0.6,0.8,.098,,-0.9,4.1,3.2,
Zep Jasper,34,34,612,4.3,.443,.425,.670,.150,90,1.7,3.8,2.7,4.2,1.4,0.2,7.8,9.4,,0.2,0.6,0.8,.050,,-2.3,1.8,-0.5,
Lior Berman,25,0,236,8.0,.526,.520,.633,.102,50,5.8,8.0,6.9,2.3,2.0,0.0,13.5,12.5,,0.2,0.3,0.5,.079,,-0.9,1.7,0.7,
Yohan Traore,25,0,247,5.7,.435,.450,.520,.460,54,6.9,8.9,7.9,4.3,0.0,0.9,15.3,14.5,,0.0,0.2,0.2,.031,,-2.3,-0.6,-2.9,
Babatunde Akingbola,4,0,15,-0.9,.084,.000,.200,.400,2,15.1,0.0,7.5,0.0,3.9,7.2,0.0,19.7,,-0.1,0.0,0.0,-.095,,-8.5,-3.1,-11.6,
Jalen Harper,2,0,1,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.015,,-4.9,-0.4,-5.3,
Chandler Leopard,6,0,4,-11.3,.000,.000,.500,.000,1,28.3,0.0,14.0,0.0,0.0,0.0,0.0,24.8,,0.0,0.0,0.0,-.227,,-10.0,-8.0,-18.0,
Carter Sobera,3,0,2,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.015,,-4.3,-1.2,-5.5,
Chance Westry,11,0,105,5.0,.327,.316,.368,.184,31,4.3,4.2,4.3,19.9,4.4,2.1,17.9,23.8,,-0.2,0.2,0.0,-.015,,-8.0,2.5,-5.5,
