Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Tyson Degenhart,34,34,1165,19.8,.605,.590,.326,.247,468,6.9,11.4,9.2,11.0,0.8,1.2,10.0,20.1,,3.5,1.8,5.4,.184,,4.8,1.8,6.7,
Max Rice,34,34,1170,16.3,.562,.530,.468,.199,439,1.7,13.7,7.9,10.5,1.7,0.2,11.5,21.7,,2.3,2.1,4.4,.150,,2.5,2.4,5.0,
Naje Smith,34,31,964,18.7,.598,.576,.266,.406,354,8.5,15.0,11.9,9.0,1.4,4.0,15.9,19.0,,2.2,1.9,4.1,.169,,2.8,3.0,5.9,
Marcus Shaver,29,29,947,17.9,.484,.420,.322,.443,414,2.3,19.6,11.2,22.9,2.8,1.0,13.7,26.1,,1.3,2.2,3.5,.147,,1.4,4.1,5.4,
Chibuzo Agbo,34,33,1003,14.4,.548,.503,.526,.308,363,4.0,15.1,9.7,5.4,1.5,0.6,12.9,21.7,,1.6,1.8,3.4,.136,,1.6,1.9,3.5,
Lukas Milner,33,4,442,12.5,.593,.606,.014,.493,115,10.3,13.8,12.1,5.4,0.9,6.1,22.9,13.6,,0.5,0.9,1.4,.129,,-2.9,3.7,0.8,
Jace Whiting,33,5,520,8.0,.491,.485,.426,.079,117,2.4,10.4,6.5,15.2,1.3,0.4,21.1,13.5,,0.2,0.8,1.0,.079,,-2.3,2.5,0.2,
Kobe Young,27,0,224,9.7,.530,.515,.606,.182,40,4.4,19.6,12.2,5.4,0.8,2.5,12.2,9.7,,0.2,0.4,0.7,.117,,-0.9,3.4,2.5,
Mohamed Sylla,18,0,103,13.9,.587,.524,.000,.714,31,7.2,16.8,12.1,0.0,0.0,5.5,15.1,17.0,,0.2,0.2,0.4,.140,,-4.9,2.5,-2.4,
Sadraque Nganga,17,0,110,12.9,.568,.552,.379,.069,34,6.7,21.0,14.1,8.9,2.2,0.0,23.1,18.8,,0.1,0.2,0.3,.114,,-4.6,2.0,-2.6,
Pavle Kuzmanovic,23,0,185,5.5,.497,.475,.525,.225,43,0.7,6.2,3.5,9.7,1.0,0.0,24.0,16.7,,-0.1,0.3,0.2,.039,,-1.8,1.8,0.0,
Burke Smith,10,0,34,6.9,.313,.292,.333,.417,10,7.2,30.5,19.2,5.3,1.8,0.0,0.0,22.4,,0.0,0.1,0.1,.065,,-11.7,0.3,-11.3,
Sam Winter,3,0,7,5.9,,,,,1,0.0,0.0,0.0,22.4,0.0,0.0,,0.0,,0.0,0.0,0.0,.092,,-3.8,2.7,-1.1,
