Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Keegan Records,35,35,817,30.6,.678,.680,.031,.339,421,12.5,18.8,15.8,11.1,1.4,5.9,9.7,24.0,,3.7,1.3,5.1,.249,,5.9,0.1,6.0,
Ryan Moffatt,33,33,1008,19.0,.663,.652,.572,.181,319,3.6,12.8,8.3,9.5,3.0,0.3,8.0,15.0,,2.8,1.4,4.2,.167,,3.0,0.1,3.1,
Tucker Richardson,35,35,1203,18.9,.516,.513,.400,.244,531,1.6,16.4,9.3,28.0,3.6,0.9,15.6,24.2,,2.0,2.0,4.1,.135,,0.6,0.7,1.2,
Braeden Smith,35,35,1105,18.2,.594,.542,.338,.401,438,1.3,13.2,7.5,22.6,2.4,0.2,17.0,19.6,,2.7,1.4,4.1,.149,,1.0,-0.5,0.5,
Oliver Lynch-Daniels,32,31,1013,16.6,.666,.656,.563,.086,337,1.5,11.3,6.6,11.3,1.7,0.3,13.2,17.4,,2.3,1.1,3.5,.137,,2.2,-1.3,0.9,
Jeff Woodward,35,5,620,22.1,.589,.589,.000,.646,285,11.8,19.2,15.6,20.9,0.9,4.9,17.6,21.3,,1.9,0.9,2.8,.180,,1.6,0.5,2.1,
Sam Thomson,31,1,483,11.6,.519,.495,.045,.345,128,5.6,15.1,10.5,3.6,0.9,1.1,8.6,15.3,,0.6,0.5,1.1,.092,,-2.4,-2.3,-4.6,
Chandler Baker,35,0,430,12.6,.544,.529,.500,.103,145,1.2,9.9,5.7,3.9,1.2,0.5,9.9,22.3,,0.4,0.4,0.8,.077,,-0.5,-3.0,-3.5,
Malcolm Bailey,1,0,10,68.4,.667,.667,.000,.000,10,76.7,35.4,55.2,55.1,5.9,10.7,0.0,15.8,,0.1,0.0,0.2,.691,,,,,
Nicolas Louis-Jacques,32,0,200,6.9,.535,.536,.679,.071,52,0.6,5.3,3.1,4.7,0.3,0.5,12.1,17.4,,0.1,0.1,0.2,.046,,-2.8,-3.5,-6.3,
Alex Capitano,12,0,37,18.6,.501,.500,.500,.111,17,6.9,6.4,6.6,10.2,0.0,0.0,0.0,27.0,,0.1,0.0,0.1,.121,,-1.1,-7.3,-8.4,
Brady Cummins,15,0,74,0.7,.328,.286,.476,.190,15,3.5,4.8,4.1,2.0,1.6,0.0,8.0,17.7,,-0.1,0.1,0.0,-.018,,-10.4,-5.3,-15.7,
