Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Ryan Larson,35,35,984,18.2,.550,.517,.613,.263,408,4.4,8.3,6.3,25.8,3.2,0.4,17.2,19.7,,2.3,1.9,4.3,.174,,2.6,2.3,4.9,
Dalton Bolon,35,35,813,19.2,.537,.499,.522,.213,391,5.0,14.8,9.7,11.1,1.9,0.1,9.3,25.7,,2.2,1.6,3.8,.185,,2.2,0.6,2.8,
Reyne Smith,35,34,861,15.9,.550,.500,.888,.266,335,0.6,8.6,4.5,9.8,1.7,0.1,5.8,20.1,,2.4,1.4,3.8,.178,,2.3,1.0,3.3,
Ante Brzovic,35,24,668,25.4,.542,.508,.310,.341,377,9.6,24.7,16.9,10.8,2.2,2.8,11.1,30.1,,2.0,1.7,3.6,.218,,3.2,1.3,4.6,
Pat Robinson,35,2,671,22.2,.547,.507,.244,.391,335,6.6,11.0,8.7,10.7,2.4,0.4,8.8,25.7,,2.0,1.3,3.3,.198,,2.8,1.1,3.9,
Ben Burnham,35,0,588,22.0,.636,.623,.420,.228,265,6.8,17.2,11.8,6.7,1.2,2.0,12.9,22.6,,1.8,1.1,3.0,.202,,3.2,0.6,3.9,
Jaylon Scott,35,35,954,12.0,.519,.478,.243,.522,212,7.1,14.5,10.6,15.6,2.3,2.4,28.1,10.0,,0.9,2.0,2.9,.121,,-0.9,3.2,2.2,
Babacar Faye,34,5,519,16.3,.583,.526,.214,.827,167,9.3,24.0,16.4,6.3,1.4,4.6,22.2,16.1,,0.7,1.2,2.0,.153,,-2.0,2.3,0.3,
Raekwon Horton,34,0,692,10.0,.512,.474,.549,.379,194,5.8,11.8,8.7,9.0,2.0,0.7,20.0,15.5,,0.6,1.3,1.9,.108,,-2.4,1.5,-0.9,
Charles Lampten,31,5,220,8.4,.440,.429,.095,.857,43,17.2,13.2,15.3,2.1,1.5,7.7,37.9,10.3,,0.0,0.5,0.5,.086,,-7.9,2.4,-5.5,
Adam Comer,11,0,17,40.6,.857,.857,.000,.000,8,24.7,6.6,16.0,0.0,3.3,0.0,12.5,22.4,,0.1,0.0,0.1,.287,,7.1,2.4,9.5,
Frankie Idlett,8,0,11,22.3,.500,.500,.400,.000,6,9.6,10.2,9.9,36.5,0.0,0.0,0.0,21.6,,0.1,0.0,0.1,.248,,-0.3,-1.4,-1.7,
Spencer Legg,10,0,16,5.0,.417,.417,.333,.000,4,0.0,7.0,3.4,0.0,3.5,0.0,14.3,20.8,,0.0,0.0,0.0,.034,,-1.2,2.8,1.6,
Jack Miller,12,0,20,9.2,.750,.750,.750,.000,6,0.0,5.6,2.7,17.2,0.0,0.0,33.3,14.3,,0.0,0.0,0.0,.097,,0.0,-0.6,-0.6,
Dylan Ritter,12,0,20,3.5,.250,.250,1.000,.000,4,0.0,11.2,5.4,23.8,0.0,0.0,0.0,14.3,,0.0,0.0,0.0,.055,,-4.8,-1.5,-6.3,
