Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Ryan Kalkbrenner,34,34,1096,27.4,.725,.705,.060,.387,490,9.6,12.0,10.9,7.8,1.1,6.0,11.8,19.9,,4.5,1.9,6.5,.237,,7.1,3.9,11.0,
Trey Alexander,37,37,1189,18.0,.578,.534,.426,.315,473,1.2,13.0,7.5,15.0,1.9,1.3,11.2,21.3,,2.7,2.0,4.6,.156,,3.8,3.4,7.2,
Baylor Scheierman,37,37,1211,17.8,.568,.538,.629,.197,478,3.6,24.0,14.5,18.4,1.8,0.7,16.1,21.1,,2.2,2.4,4.6,.151,,4.2,3.6,7.8,
Ryan Nembhard,37,37,1258,14.9,.543,.503,.399,.228,488,1.3,11.4,6.7,25.3,1.2,0.2,15.7,20.1,,2.3,1.7,4.0,.128,,2.0,1.9,3.9,
Arthur Kaluma,37,37,1087,15.1,.530,.483,.383,.406,437,6.8,16.0,11.7,10.3,1.1,1.8,15.6,23.2,,1.4,1.7,3.2,.117,,1.6,1.9,3.5,
Fredrick King,37,3,311,21.4,.616,.609,.000,.368,124,14.7,19.0,17.0,3.2,0.4,8.2,15.7,20.1,,0.7,0.6,1.4,.176,,0.9,2.9,3.8,
Mason Miller,36,0,324,9.6,.515,.507,.761,.225,81,6.5,12.9,9.9,4.1,0.5,0.0,9.2,13.8,,0.4,0.4,0.8,.095,,0.9,0.7,1.6,
Francisco Farabello,34,0,534,6.1,.448,.446,.802,.054,103,0.7,8.0,4.6,9.8,1.6,0.0,14.9,12.9,,0.0,0.7,0.7,.050,,-1.7,2.3,0.7,
Shereef Mitchell,36,0,264,9.2,.532,.519,.537,.204,65,1.9,6.9,4.6,12.1,2.8,0.3,19.1,14.3,,0.2,0.4,0.6,.086,,-2.4,3.8,1.4,
Ben Shtolzberg,17,0,98,12.7,.474,.438,.542,.208,30,5.0,12.0,8.8,19.1,2.4,0.0,13.2,16.0,,0.1,0.2,0.3,.116,,-1.7,2.5,0.8,
Sami Osmani,11,0,27,22.7,.563,.563,.500,.000,12,13.7,19.9,17.0,27.8,0.0,0.0,0.0,15.3,,0.1,0.0,0.2,.232,,4.6,1.9,6.4,
Zander Yates,11,0,36,23.1,.518,.467,.733,.200,16,0.0,17.9,9.6,20.5,4.8,2.5,5.7,25.0,,0.1,0.1,0.2,.201,,4.3,5.4,9.7,
Evan Young,9,0,16,17.1,.833,.833,.667,.000,5,0.0,0.0,0.0,22.5,0.0,0.0,0.0,9.7,,0.1,0.0,0.1,.194,,4.4,1.6,5.9,
