Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Tucker DeVries,34,34,1119,23.5,.582,.539,.497,.299,571,3.2,16.8,10.3,11.3,2.0,0.8,8.7,28.5,,3.5,2.5,6.0,.214,,5.2,1.4,6.6,
Roman Penn,34,32,1061,20.4,.555,.509,.128,.319,494,2.7,14.4,8.8,34.2,1.7,0.7,15.0,22.9,,3.0,2.2,5.2,.196,,1.9,2.2,4.1,
Garrett Sturtz,35,35,1025,18.5,.652,.611,.090,.368,314,5.4,19.0,12.5,6.7,2.0,0.8,11.7,14.7,,2.6,2.4,4.9,.192,,1.7,2.7,4.5,
Darnell Brodie,35,35,869,18.2,.553,.539,.004,.413,335,10.8,23.8,17.6,8.2,0.5,4.6,16.7,21.4,,1.4,2.1,3.5,.160,,-0.4,1.7,1.3,
D.J. Wilkins,35,34,1014,9.6,.523,.504,.733,.124,271,1.1,6.8,4.1,9.3,1.2,0.3,11.6,16.3,,0.9,1.7,2.6,.104,,-0.6,1.0,0.4,
Conor Enright,35,4,650,10.3,.530,.512,.484,.238,159,2.1,11.4,7.0,14.7,2.3,0.4,19.1,13.8,,0.5,1.4,1.9,.116,,-3.0,2.8,-0.1,
Sardaar Calhoun,32,1,590,13.2,.546,.525,.582,.139,203,3.2,10.7,7.1,3.6,1.5,1.4,12.6,22.3,,0.6,1.2,1.7,.117,,1.0,1.1,2.1,
Nate Ferguson,27,0,328,17.4,.709,.679,.019,.528,97,8.4,16.4,12.6,6.6,0.9,2.8,17.4,13.1,,0.8,0.7,1.5,.188,,-0.5,1.8,1.3,
Okay Djamgouz,27,0,207,16.5,.710,.702,.877,.105,67,0.6,5.0,2.9,4.5,0.9,0.0,7.7,16.8,,0.6,0.3,0.9,.176,,1.8,-0.4,1.4,
Eric Northweather,23,0,215,10.9,.387,.369,.475,.213,62,7.5,18.1,13.0,12.2,1.7,6.4,14.1,19.5,,-0.1,0.5,0.5,.089,,-4.8,2.6,-2.2,
Bryceson Burns,15,0,60,5.0,.503,.444,.667,.222,11,2.1,3.8,3.0,8.1,1.0,3.8,23.2,11.6,,0.0,0.1,0.1,.076,,-5.2,0.6,-4.6,
Issa Samake,1,0,12,59.5,.503,.571,.143,.286,11,52.0,19.1,34.8,50.1,9.9,19.2,11.2,40.0,,0.1,0.1,0.1,.450,,,,,
