Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Kyle Filipowski,36,36,1047,23.2,.533,.481,.289,.396,519,10.3,24.8,17.8,11.4,2.7,2.7,15.0,29.6,,2.3,2.5,4.8,.185,,4.0,3.4,7.5,
Dereck Lively,34,27,700,22.6,.662,.667,.111,.299,191,12.4,17.8,15.2,9.8,1.5,12.7,14.7,11.6,,1.8,1.7,3.5,.201,,2.5,6.8,9.3,
Ryan Young,36,9,635,24.2,.717,.685,.000,.492,247,15.7,20.4,18.1,14.9,1.0,2.9,20.4,16.4,,2.3,1.2,3.5,.219,,4.5,3.3,7.8,
Mark Mitchell,35,35,948,15.9,.554,.508,.222,.383,303,6.0,13.0,9.6,8.4,1.4,2.1,13.8,18.1,,1.7,1.5,3.2,.137,,2.4,2.5,4.9,
Jeremy Roach,32,30,1062,14.4,.524,.489,.360,.245,417,2.4,6.1,4.3,18.7,1.6,0.0,14.6,23.6,,1.8,1.4,3.2,.119,,1.7,1.4,3.1,
Tyrese Proctor,36,34,1059,12.8,.504,.459,.487,.232,352,1.9,10.0,6.1,20.8,1.3,0.4,14.7,19.2,,1.7,1.5,3.1,.118,,1.3,2.0,3.3,
Jacob Grandison,36,0,571,13.1,.543,.518,.693,.131,158,3.2,11.1,7.3,14.9,1.5,0.4,11.5,14.9,,1.1,0.8,1.9,.134,,1.7,2.7,4.4,
Dariq Whitehead,28,7,577,14.1,.548,.528,.497,.147,200,2.7,10.6,6.8,9.3,2.2,1.1,15.6,22.4,,0.7,1.0,1.7,.117,,1.6,2.3,4.0,
Jaylen Blakes,32,2,421,11.3,.475,.435,.473,.398,113,2.6,10.1,6.5,16.7,2.6,1.3,14.7,15.9,,0.4,0.7,1.2,.111,,-1.2,4.0,2.8,
Jaden Schutt,14,0,96,14.4,.485,.482,.714,.143,28,3.8,13.9,9.0,11.5,0.6,2.2,0.0,16.1,,0.2,0.1,0.4,.149,,1.8,1.5,3.3,
Christian Reeves,13,0,42,28.3,.722,.727,.000,.545,20,25.7,8.0,16.5,5.2,1.5,0.0,17.8,20.7,,0.2,0.1,0.2,.225,,5.2,-0.6,4.6,
Kale Catchings,10,0,33,13.4,.384,.444,.111,.333,10,14.6,13.5,14.0,11.5,1.9,3.3,8.8,17.9,,0.0,0.1,0.1,.092,,-1.2,1.5,0.3,
Stanley Borden,1,0,2,8.6,,,,,0,0.0,55.7,28.9,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.116,,-0.9,3.6,2.6,
Max Johns,9,0,26,2.0,.000,.000,.000,.000,2,4.6,12.9,8.9,11.9,4.7,0.0,50.0,7.9,,-0.1,0.1,0.0,-.002,,-6.8,5.5,-1.4,
Spencer Hubbard,3,0,9,-19.7,.000,.000,.500,.000,0,0.0,12.4,6.4,0.0,6.8,0.0,50.0,22.9,,-0.1,0.0,-0.1,-.277,,-25.6,1.4,-24.2,
