Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Grant Singleton,36,35,1144,20.9,.590,.556,.543,.199,477,1.0,13.6,6.9,19.9,3.4,0.3,9.2,20.1,,3.5,1.4,4.9,.171,,2.4,-0.7,1.8,
Demetre Roberts,37,36,1276,18.4,.544,.492,.418,.374,610,1.4,9.8,5.3,22.8,2.1,0.5,12.8,25.0,,3.3,1.0,4.3,.135,,1.1,-3.0,-1.9,
Ansley Almonor,36,34,1004,18.0,.560,.528,.494,.198,447,5.9,14.9,10.1,9.3,1.1,2.9,12.1,24.4,,2.3,0.9,3.2,.127,,1.0,-3.3,-2.3,
Sean Moore,36,24,811,16.9,.547,.525,.382,.186,267,9.4,14.9,12.0,7.5,3.2,2.4,14.6,17.0,,1.3,1.1,2.4,.118,,0.4,-0.9,-0.5,
Joe Munden,30,20,655,18.8,.558,.523,.288,.354,291,6.3,20.6,13.0,8.5,2.2,0.9,13.9,24.8,,1.3,0.8,2.1,.126,,-0.2,-2.7,-2.9,
Heru Bligen,28,8,576,17.2,.546,.522,.006,.401,206,11.2,8.7,10.1,5.3,2.2,1.0,10.1,17.8,,1.3,0.5,1.7,.120,,0.4,-3.0,-2.5,
Cameron Tweedy,34,0,309,21.3,.615,.616,.000,.244,125,15.5,17.1,16.3,10.4,2.2,1.9,18.0,18.7,,0.8,0.4,1.1,.147,,1.5,-2.6,-1.1,
Jo'el Emanuel,37,2,609,8.4,.490,.461,.186,.422,148,8.8,8.3,8.5,9.7,1.7,0.8,21.2,12.6,,0.5,0.4,0.9,.058,,-4.3,-2.6,-6.9,
Sebastien Lamaute,32,23,502,9.3,.435,.427,.431,.054,127,6.2,18.0,11.8,9.9,2.1,0.5,16.8,15.7,,0.1,0.5,0.6,.047,,-3.0,-2.7,-5.7,
Brayden Reynolds,32,1,337,6.5,.466,.478,.109,.500,64,2.0,8.6,5.1,14.5,2.0,0.4,23.0,10.8,,0.1,0.3,0.3,.037,,-5.6,-1.5,-7.1,
Trevon Blassingame,24,0,187,5.7,.467,.459,.673,.102,45,0.6,12.1,6.0,9.8,0.9,1.9,18.9,16.7,,0.0,0.1,0.1,.018,,-5.8,-3.9,-9.7,
Pier-Olivier Racine,9,1,28,21.8,.566,.571,.000,.286,12,15.9,18.0,16.9,25.7,4.1,4.3,27.4,19.3,,0.1,0.0,0.1,.142,,-13.7,-8.2,-21.9,
Daniel Rodriguez,10,1,33,12.7,.833,.833,.000,.000,8,0.0,11.4,5.4,11.1,5.2,0.0,40.0,14.9,,0.0,0.1,0.1,.068,,-13.6,-6.0,-19.6,
Brandon Upshaw,2,0,6,16.5,1.500,1.500,1.000,.000,4,0.0,0.0,0.0,62.6,0.0,0.0,66.7,24.6,,0.0,0.0,0.0,.120,,-9.3,-6.4,-15.7,
