Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Mike Bothwell,36,36,1207,22.9,.632,.579,.363,.480,604,4.5,7.3,5.9,16.2,1.6,0.4,10.2,23.5,,4.9,1.2,6.1,.202,,4.4,-1.0,3.4,
Jalen Slawson,36,36,1104,26.8,.654,.615,.300,.499,560,6.9,20.2,13.6,19.9,2.9,5.3,17.8,24.0,,3.9,2.2,6.1,.220,,4.8,2.8,7.6,
Marcus Foster,36,29,1055,15.5,.558,.524,.584,.224,355,5.0,15.6,10.3,6.9,2.1,1.0,9.6,18.1,,2.0,1.5,3.5,.133,,1.1,-0.1,0.9,
JP Pegues,36,36,1142,14.4,.533,.507,.555,.275,443,1.3,12.2,6.8,21.5,1.1,0.6,14.1,20.8,,2.1,1.2,3.2,.113,,1.1,-1.2,-0.1,
Garrett Hien,34,31,743,17.1,.580,.584,.379,.281,265,5.8,16.1,11.0,13.8,1.9,2.0,11.9,17.8,,1.7,1.1,2.7,.148,,0.9,0.6,1.5,
Ben VanderWal,36,7,585,15.0,.602,.564,.527,.645,180,10.0,12.7,11.4,3.9,1.6,1.8,12.2,14.2,,1.4,0.7,2.1,.142,,0.5,-0.8,-0.3,
Tyrese Hughey,35,2,390,20.3,.659,.651,.431,.181,148,6.1,17.6,12.0,10.2,2.7,1.9,11.3,18.4,,1.1,0.7,1.8,.185,,0.0,1.1,1.1,
Alex Williams,29,1,439,17.4,.581,.572,.579,.193,174,9.5,12.2,10.9,7.1,1.2,0.7,9.2,20.1,,1.1,0.5,1.6,.148,,2.4,-1.7,0.7,
Joe Anderson,19,1,204,9.0,.431,.429,.714,.057,44,0.0,6.3,3.2,23.6,2.5,0.5,18.2,10.9,,0.2,0.2,0.4,.076,,-2.8,0.9,-1.8,
Carter Whitt,29,0,358,6.8,.391,.388,.652,.101,101,1.7,13.7,7.7,26.9,1.8,0.9,27.8,18.3,,-0.3,0.4,0.2,.018,,-4.3,-1.5,-5.8,
Jonny Lawrence,5,0,26,12.1,.588,.600,1.000,.400,5,0.0,9.0,4.5,0.0,2.2,4.1,0.0,11.6,,0.0,0.0,0.1,.115,,-9.4,-2.7,-12.0,
Blake Harris,4,0,4,15.2,,,,,0,0.0,0.0,0.0,0.0,14.4,0.0,,0.0,,0.0,0.0,0.0,.136,,-2.5,-2.0,-4.5,
Rett Lister,13,1,17,-12.6,.250,.250,.000,.000,2,0.0,6.9,3.5,9.2,0.0,0.0,42.9,20.9,,-0.1,0.0,-0.1,-.192,,-16.7,-5.4,-22.1,
