Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Rayshon Harrison,36,36,1154,21.5,.554,.496,.326,.502,636,2.4,11.2,7.1,24.0,1.2,0.6,13.1,29.9,,3.7,1.5,5.2,.180,,4.1,-0.7,3.5,
Gabe McGlothan,36,36,1036,21.3,.604,.579,.330,.367,440,10.2,19.5,15.2,6.2,1.2,2.2,13.8,22.1,,2.9,1.8,4.7,.182,,2.7,-0.3,2.4,
Chance McMillian,36,24,1045,15.4,.596,.584,.446,.178,372,2.6,9.4,6.2,14.5,1.5,0.5,15.2,19.3,,2.2,1.3,3.5,.134,,1.3,-0.4,0.9,
Noah Baumann,36,3,773,15.4,.622,.588,.746,.280,243,3.0,14.6,9.2,6.0,0.9,0.8,9.9,16.3,,1.9,1.1,3.0,.155,,3.4,0.3,3.7,
Walter Ellis,33,1,493,16.0,.706,.675,.796,.282,147,1.7,15.1,8.8,8.6,1.5,0.2,12.1,14.0,,1.4,0.7,2.1,.173,,1.0,0.8,1.9,
Kobe Knox,34,16,531,17.3,.615,.604,.488,.344,181,4.9,7.3,6.2,14.4,1.9,4.6,15.7,16.9,,1.3,0.8,2.1,.155,,1.9,0.8,2.7,
Yvan Ouedraogo,28,27,680,11.7,.494,.486,.000,.701,160,10.7,16.6,13.8,2.9,1.5,2.9,16.4,13.0,,0.6,1.2,1.7,.103,,-2.1,0.9,-1.2,
Josh Baker,31,16,654,10.7,.514,.491,.597,.214,195,1.1,11.2,6.5,19.5,1.8,1.3,21.5,17.7,,0.5,0.9,1.4,.087,,-1.7,0.4,-1.3,
Jovan Blacksher,12,12,331,15.0,.480,.432,.347,.271,128,1.5,7.8,4.9,17.4,3.3,0.9,11.9,23.7,,0.4,0.5,0.9,.112,,-0.7,3.2,2.4,
Aidan Igiehon,32,3,319,12.9,.499,.455,.045,.515,95,13.9,22.9,18.7,4.0,0.7,3.8,21.9,17.1,,0.2,0.6,0.8,.105,,-2.9,0.4,-2.5,
Logan Landers,14,0,95,13.5,.598,.591,.455,.136,30,9.1,13.6,11.5,12.2,0.6,0.0,17.6,15.5,,0.2,0.1,0.3,.132,,-9.4,-0.9,-10.3,
Isaiah Shaw,7,0,65,21.8,.587,.580,.520,.120,30,11.3,8.3,9.7,13.0,1.8,0.0,10.2,23.5,,0.2,0.1,0.3,.190,,7.0,-1.6,5.4,
Isaiah Carr,9,6,75,8.6,.370,.286,.000,1.143,11,8.2,15.8,12.2,2.2,2.4,10.9,21.7,9.6,,0.0,0.2,0.2,.082,,-5.9,1.1,-4.8,
