Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Marcus Sasser,36,36,1108,24.9,.597,.548,.576,.348,552,1.4,8.9,5.2,19.6,3.2,0.7,10.1,26.1,,4.6,2.6,7.2,.261,,7.7,4.3,12.0,
J'Wan Roberts,37,36,976,25.4,.627,.612,.004,.337,371,13.2,19.7,16.5,8.6,1.6,6.8,11.6,17.7,,3.3,2.8,6.1,.249,,5.3,4.2,9.5,
Jamal Shead,37,37,1205,16.7,.504,.479,.412,.202,444,1.9,8.4,5.2,29.6,3.2,0.9,16.5,19.7,,2.4,2.9,5.3,.174,,2.4,4.2,6.6,
Jarace Walker,36,35,992,22.1,.534,.516,.297,.235,401,9.6,18.2,14.0,12.5,2.2,6.3,12.3,22.4,,2.4,2.8,5.2,.211,,4.5,4.4,8.8,
Tramon Mark,37,37,1090,15.6,.498,.450,.363,.311,369,4.9,13.6,9.3,10.9,2.2,1.9,10.7,19.9,,2.0,2.7,4.6,.170,,1.8,3.5,5.3,
Ja'Vier Francis,35,1,362,31.3,.695,.713,.000,.506,140,16.0,22.0,19.1,3.2,2.0,14.6,8.5,16.8,,1.5,1.2,2.7,.302,,4.5,6.4,11.0,
Emanuel Sharp,33,0,515,12.4,.548,.500,.780,.264,176,4.5,11.6,8.1,5.5,1.2,0.5,12.7,20.5,,1.0,1.1,2.1,.163,,0.2,1.8,2.0,
Reggie Chaney,35,1,471,15.0,.625,.662,.000,.471,110,11.1,11.8,11.4,4.3,3.0,3.4,18.6,11.2,,0.8,1.2,2.0,.172,,0.2,5.1,5.3,
Terrance Arceneaux,34,1,471,11.9,.440,.432,.511,.143,127,7.4,12.7,10.1,7.0,2.9,1.4,11.8,17.6,,0.3,1.2,1.5,.129,,-0.5,4.0,3.4,
Ramon Walker,10,0,151,6.4,.463,.429,.536,.250,30,5.4,13.2,9.4,4.3,0.8,0.0,16.1,12.7,,0.1,0.3,0.4,.101,,-3.3,2.8,-0.6,
Ryan Elvin,15,0,44,22.3,.576,.553,.632,.105,18,2.6,7.5,5.1,0.0,4.2,0.0,0.0,23.3,,0.2,0.1,0.3,.245,,2.5,5.8,8.3,
Darius Bowser,6,1,15,1.1,,,,,0,0.0,14.8,7.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.078,,-2.9,2.2,-0.7,
