Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Elijah Hawkins,31,29,918,17.9,.586,.538,.416,.477,451,2.1,12.1,7.1,38.0,3.2,0.0,26.8,24.4,,1.7,1.4,3.2,.138,,0.5,-0.5,0.0,
Shy Odom,31,23,681,21.0,.579,.550,.056,.552,330,10.9,13.3,12.1,13.5,2.1,2.6,15.3,24.3,,1.8,1.0,2.8,.164,,1.3,0.3,1.6,
Steve Settle,32,32,943,14.8,.541,.482,.396,.400,327,4.1,18.0,11.1,6.9,2.2,3.5,16.8,20.0,,1.1,1.6,2.7,.113,,-0.5,0.5,0.0,
Marcus Dockery,31,19,694,16.8,.627,.611,.701,.167,253,2.4,9.9,6.2,8.9,1.8,0.3,11.5,18.6,,1.7,0.8,2.5,.144,,2.9,-1.1,1.8,
Jelani Williams,35,16,880,14.0,.517,.479,.294,.336,329,6.4,13.8,10.2,15.7,2.7,0.2,18.1,20.4,,1.1,1.3,2.4,.109,,-1.6,0.1,-1.5,
Bryce Harris,34,16,543,21.0,.626,.613,.238,.268,223,13.5,12.0,12.7,7.5,1.5,4.0,15.6,19.8,,1.4,0.7,2.2,.159,,1.4,-0.9,0.6,
Jordan Wood,35,33,736,12.3,.488,.480,.581,.074,265,4.2,16.3,10.3,6.9,1.4,2.8,12.2,22.9,,0.5,1.1,1.6,.087,,-1.7,-1.3,-3.1,
Kobe Dickson,31,6,450,11.4,.615,.600,.050,.480,162,9.7,7.6,8.6,16.3,0.4,1.7,29.7,18.6,,0.4,0.4,0.8,.075,,-3.5,-1.7,-5.2,
Khalil Robinson,27,0,312,7.2,.514,.488,.463,.244,58,2.6,7.3,5.0,14.6,1.2,0.0,23.4,9.2,,0.2,0.3,0.5,.065,,-2.6,-0.2,-2.8,
Ose Okojie,28,1,262,7.2,.528,.500,.028,.333,52,7.6,7.0,7.3,8.3,2.6,0.4,29.0,10.7,,0.1,0.3,0.4,.061,,-6.0,1.0,-5.0,
Miles Stewart,22,0,163,13.2,.539,.541,.351,.216,41,8.0,23.9,16.0,3.4,1.7,4.7,16.4,14.3,,0.1,0.3,0.4,.108,,-4.9,-0.8,-5.7,
Reece Brown,9,0,72,12.7,.634,.727,.000,1.364,24,6.5,11.1,8.9,15.1,1.5,1.5,27.9,16.7,,0.1,0.1,0.2,.093,,-6.6,-1.7,-8.4,
Talin Lewis,13,0,60,4.4,.451,.432,.182,.227,21,3.9,7.6,5.8,9.7,0.9,0.0,22.3,25.0,,-0.1,0.1,0.0,-.010,,-5.3,-2.5,-7.8,
Freedom Rhames,18,0,90,1.3,.384,.273,.909,.636,15,6.5,6.4,6.5,8.6,1.2,0.0,32.8,11.3,,-0.1,0.1,0.0,.008,,-6.5,-2.5,-9.0,
Ayodele Taiwo,10,0,42,8.9,.504,.400,.000,.400,13,14.0,19.1,16.6,4.2,0.0,10.4,37.0,21.6,,-0.1,0.1,0.0,.011,,-9.3,-0.3,-9.7,
Thomas Weaver,26,0,178,0.8,.445,.453,.563,.188,30,0.0,6.4,3.3,8.4,1.6,0.0,30.1,13.4,,-0.2,0.2,0.0,-.007,,-9.2,-1.1,-10.3,
