Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Trayce Jackson-Davis,32,32,1105,34.2,.608,.581,.000,.466,679,10.1,24.8,18.0,24.8,1.4,9.0,12.8,29.4,,4.8,2.4,7.2,.261,,10.5,5.5,16.0,
Miller Kopp,35,35,1062,11.9,.644,.632,.683,.111,248,1.6,7.6,4.8,6.6,1.3,0.5,9.1,11.7,,1.9,1.0,3.0,.112,,2.6,1.7,4.4,
Race Thompson,30,29,696,18.8,.551,.523,.218,.330,250,8.5,16.5,12.8,7.6,2.4,4.2,12.3,19.2,,1.3,1.3,2.5,.146,,2.7,2.8,5.4,
Trey Galloway,32,25,886,12.0,.578,.564,.399,.276,219,2.8,9.2,6.2,12.0,1.5,0.2,11.5,12.1,,1.5,0.9,2.4,.109,,1.9,2.0,3.8,
Jalen Hood-Schifino,32,32,1058,13.0,.492,.463,.275,.189,433,1.6,12.0,7.2,20.2,1.4,0.8,16.9,25.7,,0.6,1.3,1.9,.071,,0.4,0.3,0.7,
Malik Reneau,35,3,522,16.7,.583,.559,.050,.304,211,9.4,18.7,14.4,9.6,1.8,1.9,20.7,22.9,,0.7,0.9,1.6,.122,,-0.7,1.7,1.0,
Tamar Bates,35,2,713,10.0,.517,.487,.510,.139,201,1.7,6.9,4.5,9.1,1.3,0.3,10.8,16.7,,0.8,0.7,1.4,.081,,0.1,0.8,0.9,
Jordan Geronimo,27,6,335,17.5,.586,.577,.226,.310,107,8.1,14.1,11.3,4.2,2.3,7.4,15.0,17.4,,0.5,0.6,1.1,.137,,0.7,3.9,4.7,
Xavier Johnson,11,11,277,16.8,.542,.476,.329,.476,125,0.9,13.2,7.5,33.3,2.7,0.0,23.6,24.4,,0.4,0.4,0.8,.117,,0.8,1.5,2.3,
Kaleb Banks,24,0,135,14.7,.579,.586,.172,.966,48,5.5,11.9,8.9,10.1,1.7,1.6,17.5,19.5,,0.2,0.2,0.4,.116,,-0.9,0.9,0.0,
Logan Duncomb,9,0,51,28.6,.673,.750,.000,.438,22,12.1,21.1,16.9,8.3,1.1,10.6,13.4,22.5,,0.2,0.1,0.3,.203,,0.7,2.6,3.2,
CJ Gunn,20,0,150,6.9,.349,.327,.436,.091,40,2.5,6.4,4.6,9.0,3.9,1.4,8.0,21.4,,-0.2,0.2,0.1,.017,,-6.3,2.1,-4.3,
Shaan Burke,1,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,-0.7,0.2,-0.4,
Nathan Childress,5,0,10,5.6,.000,.000,1.000,.000,1,0.0,10.7,5.7,14.1,5.9,0.0,0.0,5.1,,0.0,0.0,0.0,.047,,-2.8,4.8,1.9,
Anthony Leal,11,0,24,6.2,1.053,,,,2,0.0,9.0,4.8,5.9,2.4,0.0,51.3,4.2,,0.0,0.0,0.0,.077,,-3.1,3.5,0.3,
Hogan Orbaugh,1,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.7,-0.5,0.2,
Michael Shipp,3,0,2,-8.5,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.022,,-13.7,1.8,-11.9,
