Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Nelly Junior Joseph,35,34,1112,24.6,.575,.550,.014,.625,515,12.7,20.6,16.7,6.7,2.2,5.0,12.7,23.4,,3.1,2.6,5.7,.207,,2.2,0.7,2.9,
Walter Clayton,32,31,969,25.5,.597,.545,.418,.268,501,2.1,13.8,8.0,20.9,3.5,2.1,11.2,26.3,,3.5,2.1,5.6,.231,,5.6,3.0,8.6,
Daniss Jenkins,35,35,1178,20.0,.514,.477,.326,.246,575,3.9,10.9,7.4,27.8,2.4,1.8,12.8,26.0,,2.8,2.1,4.9,.167,,3.1,0.7,3.9,
Osborn Shema,34,29,893,15.9,.571,.556,.340,.229,250,7.0,13.5,10.3,10.0,1.6,5.2,13.7,13.6,,1.6,1.7,3.3,.148,,1.0,1.8,2.8,
Berrick JeanLouis,32,30,912,15.0,.535,.520,.295,.168,259,4.9,11.8,8.4,11.7,2.0,3.9,10.9,14.7,,1.5,1.7,3.2,.139,,0.2,2.0,2.2,
Anton Brookshire,32,0,304,16.4,.587,.573,.734,.083,112,2.3,10.8,6.6,7.9,1.1,0.7,8.1,20.4,,0.7,0.5,1.2,.155,,3.3,-0.6,2.7,
Cruz Davis,24,7,453,11.4,.506,.467,.301,.279,144,2.0,6.3,4.1,8.9,2.1,1.9,14.4,20.0,,0.3,0.7,1.0,.091,,-1.9,0.1,-1.7,
Quinn Slazinski,7,3,186,16.6,.522,.493,.456,.235,77,6.1,18.3,12.2,12.9,1.3,1.2,13.7,23.7,,0.3,0.3,0.6,.138,,1.8,-0.2,1.6,
Sadiku Ibine Ayo,25,4,260,9.8,.459,.438,.323,.154,62,5.7,10.9,8.3,3.2,2.0,2.5,12.5,15.4,,0.1,0.5,0.5,.084,,-2.1,0.4,-1.7,
Silas Sunday,27,1,131,17.8,.556,.559,.000,.176,47,19.2,17.4,18.3,5.5,0.9,3.3,16.0,16.8,,0.3,0.2,0.5,.160,,-0.9,-1.3,-2.2,
Michael Jefferson,21,0,280,5.6,.417,.404,.532,.149,53,5.3,9.7,7.5,11.1,2.1,0.4,23.0,11.7,,0.0,0.5,0.4,.063,,-4.5,0.9,-3.6,
Parker Weiss,29,1,282,4.2,.470,.484,.781,.063,31,2.0,3.2,2.6,3.2,1.9,0.4,13.2,6.8,,0.1,0.4,0.4,.062,,-3.6,1.3,-2.4,
Keither Florence,11,0,45,4.3,.471,.583,.333,.500,9,7.6,12.6,10.1,14.1,1.3,2.4,35.0,12.8,,0.0,0.1,0.1,.050,,-8.9,1.0,-7.8,
Stephen Boateng,1,0,1,96.6,.513,.000,.000,2.000,2,0.0,100.0,100.0,0.0,0.0,0.0,0.0,98.0,,0.0,0.0,0.0,1.028,,-2.1,12.1,10.0,
James Carey,10,0,19,6.6,.593,.375,.500,1.000,7,0.0,23.9,12.0,16.3,0.0,0.0,40.4,26.2,,0.0,0.0,0.0,.026,,-7.6,-2.7,-10.3,
