Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Gabe Kalscheur,33,23,1109,12.9,.520,.497,.549,.195,376,2.0,7.4,4.5,9.2,2.6,0.8,12.4,21.9,,1.3,1.9,3.2,.116,,1.6,2.9,4.5,
Tamin Lipsey,33,33,974,16.1,.532,.495,.126,.291,302,5.7,11.5,8.5,28.4,4.6,0.5,26.3,16.4,,1.1,2.2,3.2,.133,,1.2,5.8,7.0,
Jaren Holmes,33,33,1064,14.0,.470,.439,.300,.262,437,2.8,12.4,7.3,21.6,2.1,0.4,13.7,26.5,,1.1,1.8,2.9,.109,,1.4,2.2,3.6,
Osun Osunniyi,33,29,604,22.9,.601,.584,.066,.327,258,11.2,15.9,13.4,13.2,1.3,9.1,15.3,23.0,,1.6,1.2,2.8,.186,,3.7,4.1,7.9,
Caleb Grill,25,22,780,12.5,.571,.538,.787,.284,212,1.7,15.1,8.0,8.4,2.4,0.2,15.5,16.4,,1.0,1.5,2.5,.127,,1.6,3.3,4.9,
Aljaz Kunc,23,16,571,14.9,.574,.541,.675,.341,158,4.8,16.6,10.3,9.8,2.5,1.9,13.3,15.0,,1.0,1.1,2.2,.152,,2.4,4.0,6.4,
Tre King,23,5,412,16.5,.560,.519,.139,.333,130,10.1,19.5,14.5,2.0,3.0,1.5,13.2,18.2,,0.7,0.9,1.6,.156,,0.8,3.3,4.1,
Robert Jones,33,4,563,13.0,.464,.471,.000,.360,195,12.2,16.4,14.2,10.7,2.4,3.3,18.3,22.8,,0.1,1.2,1.2,.089,,-2.1,2.8,0.7,
Hason Ward,23,0,187,23.7,.649,.674,.022,.152,62,15.2,19.3,17.1,8.1,4.6,8.4,19.6,17.0,,0.4,0.5,0.9,.195,,0.6,5.8,6.4,
Demarion Watson,29,0,339,8.8,.409,.404,.365,.269,58,9.4,18.5,13.7,5.2,1.6,6.9,21.4,11.4,,-0.1,0.7,0.6,.076,,-2.2,3.9,1.7,
Eli King,9,0,30,8.5,.507,.438,.625,.750,10,0.0,22.3,10.5,12.6,0.0,0.0,15.6,22.3,,0.0,0.0,0.1,.102,,-6.7,2.3,-4.4,
Conrad Hawley,9,0,17,0.4,.101,.000,.250,.500,2,14.0,39.3,25.9,0.0,0.0,0.0,0.0,15.1,,0.0,0.0,0.0,-.019,,-6.5,-1.7,-8.3,
