Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Markquis Nowell,36,36,1328,21.9,.560,.481,.532,.446,717,1.2,9.7,5.6,43.0,3.9,0.2,18.9,26.2,,3.8,2.4,6.3,.189,,6.0,3.5,9.6,
Keyontae Johnson,36,36,1228,18.8,.593,.568,.254,.330,563,5.4,17.8,11.8,13.5,1.7,0.6,16.7,25.8,,2.4,2.1,4.5,.145,,3.8,1.9,5.7,
Nae'Qwan Tomlin,36,36,981,18.4,.562,.532,.235,.286,364,10.1,15.3,12.8,8.5,2.5,4.0,12.1,19.3,,2.0,1.9,3.9,.158,,2.8,3.3,6.1,
Desi Sills,35,9,1031,11.6,.547,.489,.348,.480,303,1.9,11.7,7.0,13.6,1.8,1.3,17.2,16.3,,1.1,1.6,2.7,.105,,0.1,3.1,3.2,
David N'Guessan,29,18,566,17.5,.680,.729,.092,.550,172,8.9,12.1,10.6,7.8,2.0,3.0,15.4,14.3,,1.2,0.9,2.2,.154,,2.5,3.6,6.1,
Ismael Massoud,32,0,490,11.8,.562,.525,.645,.206,157,5.8,7.2,6.5,5.6,0.8,1.1,8.8,17.3,,0.9,0.6,1.5,.121,,2.7,0.8,3.4,
Camryn Carter,36,36,946,7.6,.483,.462,.469,.170,223,1.7,11.5,6.8,9.7,2.0,1.1,18.2,15.6,,0.0,1.5,1.4,.061,,-1.5,2.8,1.3,
Abayomi Iyiola,31,9,351,14.0,.613,.559,.015,.574,107,10.2,18.6,14.5,5.2,1.6,3.5,22.4,15.8,,0.5,0.7,1.1,.129,,-0.7,3.0,2.3,
Tykei Greene,32,0,339,9.9,.454,.469,.370,.358,90,10.5,11.1,10.9,4.8,2.0,1.3,11.2,15.7,,0.2,0.5,0.7,.084,,-1.3,2.1,0.8,
Dorian Finister,6,0,52,17.4,.600,.600,.200,.000,14,4.7,26.4,16.0,24.0,2.2,0.0,16.7,11.5,,0.1,0.1,0.2,.164,,1.8,4.8,6.6,
Nate Awbrey,10,0,12,-17.6,.190,.000,.167,.667,3,0.0,0.0,0.0,12.7,0.0,0.0,20.2,41.1,,-0.1,0.0,-0.1,-.323,,-19.2,-9.8,-29.0,
