Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Chris Youngblood,35,35,1098,20.5,.614,.576,.539,.323,476,5.1,12.2,8.7,11.5,1.9,1.5,9.7,21.3,,3.5,1.7,5.2,.189,,3.5,0.1,3.6,
Terrell Burden,35,35,1055,18.5,.554,.519,.206,.496,489,1.8,10.7,6.3,27.3,3.1,1.3,18.7,25.1,,1.9,1.8,3.7,.140,,0.5,1.0,1.5,
Demond Robinson,35,32,804,23.1,.563,.543,.060,.452,371,11.2,18.4,14.8,7.7,1.9,4.6,10.3,23.9,,2.1,1.5,3.7,.183,,1.7,0.5,2.2,
Brandon Stroud,35,34,892,17.0,.523,.516,.406,.418,332,8.0,21.6,14.8,12.1,3.2,1.1,14.3,20.3,,1.3,1.9,3.2,.144,,-0.3,1.7,1.3,
Kasen Jennings,33,18,786,10.6,.559,.525,.609,.267,202,1.3,7.1,4.2,12.4,2.1,1.2,15.8,13.9,,0.9,1.1,2.0,.104,,-2.0,0.8,-1.2,
Spencer Rodgers,35,17,905,9.8,.485,.471,.643,.122,232,1.2,13.4,7.3,14.0,2.0,0.8,15.8,15.5,,0.4,1.4,1.8,.081,,-1.6,0.9,-0.7,
Alex Peterson,32,3,451,14.2,.559,.561,.000,.325,142,5.7,18.1,11.9,9.5,1.9,2.1,17.5,17.9,,0.5,0.8,1.3,.112,,-2.4,0.7,-1.6,
Quincy Ademokoya,35,1,515,10.0,.590,.576,.739,.235,137,1.6,10.9,6.2,6.3,0.9,0.9,16.4,15.5,,0.5,0.7,1.2,.090,,-0.9,-0.9,-1.8,
Simeon Cottle,33,0,341,11.9,.550,.514,.481,.288,128,0.7,7.5,4.1,19.4,2.5,0.3,20.8,22.1,,0.3,0.5,0.8,.094,,-3.3,-0.7,-3.9,
Ahmad Johnson,5,0,28,18.3,.618,.500,.375,.875,13,4.2,16.7,10.4,6.5,2.0,0.0,15.0,24.1,,0.1,0.0,0.1,.185,,-28.3,-2.9,-31.1,
Cole LaRue,20,0,122,6.3,.509,.514,.270,.297,41,9.6,19.1,14.4,3.2,0.5,1.0,26.2,23.7,,-0.1,0.2,0.1,.024,,-9.6,-1.7,-11.3,
Matt Brown,6,0,12,3.2,.339,.000,1.000,1.000,2,0.0,48.6,24.3,0.0,0.0,0.0,25.3,16.6,,0.0,0.0,0.0,-.005,,11.0,3.3,14.2,
Armani Harris,6,0,19,10.1,.593,1.500,1.000,5.000,4,12.3,6.1,9.2,0.0,3.0,0.0,22.9,11.6,,0.0,0.0,0.0,.064,,-10.4,-3.9,-14.3,
Eric Holland,6,0,12,2.5,.169,.000,.500,1.000,1,0.0,38.9,19.5,12.7,4.8,0.0,25.3,16.6,,0.0,0.0,0.0,-.030,,1.5,19.9,21.4,
Yves Nkomba,9,0,25,11.1,.341,.333,.000,1.500,8,9.4,18.7,14.0,6.9,2.3,14.2,16.3,24.8,,-0.1,0.1,0.0,.018,,-8.4,-9.3,-17.7,
Charles Stone,6,0,12,5.8,.500,.500,.500,.000,2,0.0,19.5,9.7,0.0,4.8,0.0,33.3,12.6,,0.0,0.0,0.0,.028,,-18.4,-3.6,-22.1,
