Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Sincere Carry,35,35,1287,18.6,.515,.469,.401,.284,627,1.2,10.1,5.7,25.2,2.6,0.7,13.3,26.4,,2.8,2.3,5.1,.157,,1.8,1.2,3.0,
Miryne Thomas,35,34,949,17.1,.544,.518,.648,.266,348,6.4,16.6,11.5,5.3,2.6,2.7,10.8,19.8,,1.8,2.1,3.9,.164,,1.6,2.1,3.7,
Malique Jacobs,34,32,1114,17.8,.462,.415,.176,.425,481,5.7,12.8,9.2,20.8,4.6,3.1,16.5,25.1,,0.9,2.7,3.7,.132,,-0.1,4.1,3.9,
Chris Payton,34,4,551,25.3,.716,.730,.000,.631,215,10.9,23.0,16.9,4.5,1.1,7.6,12.2,16.2,,2.0,1.3,3.3,.240,,2.6,2.7,5.4,
Cli'Ron Hornbeak,34,31,556,21.4,.702,.718,.000,.418,188,14.2,20.4,17.3,3.0,1.9,6.4,17.5,14.2,,1.5,1.3,2.8,.205,,0.0,2.6,2.6,
Jalen Sullinger,35,1,779,13.8,.612,.593,.563,.130,252,0.4,6.5,3.4,5.9,1.5,0.5,9.3,17.2,,1.7,1.1,2.8,.143,,0.4,1.1,1.5,
Giovanni Santiago,23,23,623,12.1,.561,.518,.621,.214,164,0.2,7.5,3.8,10.6,2.4,0.8,12.0,13.9,,0.9,1.0,2.0,.126,,-0.5,2.4,1.8,
Voncameron Davis,34,15,731,10.8,.477,.447,.466,.201,221,6.5,11.9,9.2,3.1,2.0,0.8,12.4,18.5,,0.5,1.3,1.8,.098,,-2.2,1.1,-1.1,
Delrecco Gillespie,25,0,138,21.8,.749,.757,.057,.343,56,13.9,20.7,17.3,2.9,1.2,1.8,22.8,18.9,,0.4,0.3,0.7,.196,,-0.9,0.1,-0.8,
Julius Rollins,28,0,245,11.9,.546,.511,.500,.283,62,7.4,13.1,10.2,6.8,2.8,1.5,21.2,13.4,,0.2,0.5,0.7,.118,,-2.2,2.5,0.3,
Akeem Odusipe,13,0,50,16.3,.694,.571,.000,1.143,16,13.5,9.2,11.4,0.0,2.3,4.9,27.0,14.7,,0.1,0.1,0.2,.159,,-8.6,2.1,-6.5,
