Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
Oscar Tshiebwe,32,30,1075,30.9,.603,.560,.006,.540,538,19.5,27.9,23.6,9.4,2.9,3.3,12.9,23.2,,4.4,2.3,6.6,.246,,8.2,2.3,10.5,
Cason Wallace,32,32,1030,18.5,.543,.516,.407,.224,389,3.3,10.2,6.7,24.3,3.7,1.6,16.3,19.9,,2.2,1.6,3.9,.150,,3.6,4.2,7.7,
Jacob Toppin,33,31,1036,17.5,.518,.490,.173,.331,400,6.9,18.4,12.5,13.6,0.9,1.7,11.0,21.3,,2.3,1.3,3.6,.139,,3.3,1.6,4.9,
Antonio Reeves,34,14,948,15.5,.545,.515,.498,.228,408,1.6,7.4,4.4,7.8,0.9,0.7,10.0,26.1,,2.3,0.8,3.1,.130,,3.9,-0.1,3.8,
Chris Livingston,34,26,762,12.1,.513,.478,.321,.293,204,5.7,16.2,10.8,5.5,1.2,1.7,12.9,15.7,,0.9,1.0,1.9,.100,,1.0,1.6,2.6,
Sahvir Wheeler,21,14,600,13.1,.473,.465,.263,.192,197,0.9,8.5,4.6,34.2,1.9,0.4,18.6,17.3,,0.8,0.6,1.5,.097,,0.7,1.0,1.7,
CJ Fredrick,27,15,601,9.8,.496,.461,.695,.156,156,1.1,3.0,2.0,11.6,1.4,0.0,7.8,14.8,,1.0,0.5,1.4,.095,,0.6,1.0,1.6,
Ugonna Onyenso,16,0,111,28.1,.536,.529,.000,.206,40,18.5,25.6,22.0,3.5,1.6,15.9,9.7,18.5,,0.3,0.3,0.6,.199,,2.2,3.4,5.6,
Lance Ware,28,6,274,13.0,.594,.658,.000,.553,63,8.7,14.7,11.6,10.6,1.7,4.0,26.2,11.8,,0.2,0.4,0.6,.094,,-1.0,3.0,2.1,
Adou Thiero,20,0,190,12.5,.515,.397,.310,1.138,52,9.6,13.1,11.3,6.7,2.8,3.5,22.5,15.1,,0.2,0.3,0.5,.103,,-0.6,3.4,2.8,
Daimion Collins,25,1,198,9.1,.470,.425,.075,.525,49,9.8,17.9,13.8,3.4,1.8,5.6,26.5,17.1,,-0.1,0.3,0.3,.051,,-5.9,2.0,-3.8,
Brennan Canada,5,1,9,9.8,.500,.500,1.000,.000,2,0.0,13.2,6.4,0.0,0.0,0.0,0.0,16.6,,0.0,0.0,0.0,.098,,0.6,-1.8,-1.3,
Kareem Watkins,4,0,8,-8.6,.000,.000,1.000,.000,1,0.0,0.0,0.0,18.4,0.0,0.0,50.0,12.4,,0.0,0.0,0.0,-.150,,-9.2,-3.8,-13.0,
Walker Horn,4,0,8,-32.3,.000,.000,1.000,.000,1,0.0,14.8,7.3,18.4,0.0,0.0,80.0,31.1,,-0.1,0.0,-0.1,-.523,,-24.5,-8.3,-32.9,
