Team,Win-Loss Record,Win %,MOV,ATS +/-
Gonzaga,634-133-0,82.7%,13.8,+1.0
Duke,634-144-0,81.5%,13.5,+0.3
Kansas,616-158-0,79.6%,11.4,+0.4
Kentucky,540-170-0,76.1%,10.0,+0.4
Arizona,503-175-0,74.2%,9.4,+0.2
N Carolina,507-186-0,73.2%,9.5,+0.3
Connecticut,474-175-0,73.0%,9.5,+1.0
Utah St,445-173-0,72.0%,8.2,+1.8
Michigan St,483-189-0,71.9%,8.4,+0.4
Syracuse,450-185-0,70.9%,6.9,-0.2
Villanova,441-183-0,70.7%,7.5,+0.9
Memphis,447-187-0,70.5%,7.9,+0.7
Cincinnati,433-184-0,70.2%,8.9,+0.1
Vermont,405-173-0,70.1%,6.9,+0.7
Ohio St,427-187-0,69.5%,8.2,+0.9
UCLA,418-185-0,69.3%,6.8,+0.7
Murray St,411-182-0,69.3%,7.6,+0.2
Belmont,383-171-0,69.1%,7.1,+0.3
St Marys,394-177-0,69.0%,8.1,+0.4
Princeton,321-145-0,68.9%,6.6,+1.1
Florida,437-199-0,68.7%,9.6,+0.6
Wisconsin,428-196-0,68.6%,7.0,+0.7
Creighton,421-194-0,68.5%,7.1,+0.7
Virginia,379-175-0,68.4%,6.6,-0.3
Pittsburgh,384-178-0,68.3%,7.1,+0.2
Butler,400-186-0,68.3%,6.1,+0.9
Xavier,419-198-0,67.9%,6.8,+0.8
Col Charlestn,386-183-0,67.8%,5.4,-0.4
Louisville,394-187-0,67.8%,8.8,+0.4
Ste F Austin,348-166-0,67.7%,7.7,+0.4
San Diego St,390-188-0,67.5%,6.1,+0.8
VCU,401-195-0,67.3%,6.1,+0.8
Wichita St,377-184-0,67.2%,7.1,+0.8
BYU,400-196-0,67.1%,7.9,+0.8
Grd Canyon,152-75-1,67.0%,7.3,+1.4
Oklahoma,377-186-0,67.0%,6.6,+0.6
Baylor,351-174-0,66.9%,7.3,+0.8
Oregon,384-193-0,66.6%,5.5,+0.7
Purdue,393-199-0,66.4%,6.8,0.0
N Mex State,359-184-1,66.1%,6.2,0.0
Illinois,387-199-0,66.0%,6.9,+0.5
Houston,342-178-0,65.8%,6.7,+1.2
Kent St,380-200-0,65.5%,4.7,+0.5
Maryland,386-205-0,65.3%,7.5,+0.1
Davidson,354-192-0,64.8%,6.6,+0.5
New Mexico,345-188-0,64.7%,6.0,+0.6
S Dakota St,237-130-0,64.6%,5.9,+1.1
Nevada,340-188-0,64.4%,4.4,+0.6
Texas,383-213-0,64.3%,6.5,0.0
Winthrop,331-185-0,64.2%,4.7,-0.1
W Kentucky,344-193-0,64.1%,4.6,0.0
Tennessee,368-208-0,63.9%,6.2,+0.4
Stanford,350-198-0,63.9%,6.2,+0.4
Dayton,369-209-0,63.8%,4.7,+0.2
