Team,Win-Loss Record,Win %,MOV,ATS +/-
Kansas,418-30-0,93.3%,18.0,+1.3
Gonzaga,372-27-0,93.2%,21.9,+1.5
Duke,407-37-0,91.7%,20.3,+1.2
Kentucky,395-54-0,88.0%,15.7,0.0
Michigan St,381-55-0,87.4%,15.5,+1.2
Arizona,382-58-0,86.8%,15.2,+0.8
Utah St,371-60-0,86.1%,13.8,+1.9
Murray St,338-58-0,85.4%,14.8,+0.9
Xavier,375-67-0,84.8%,12.9,+1.2
BYU,363-67-0,84.4%,14.0,+1.9
Creighton,374-73-0,83.7%,13.3,+1.0
Memphis,403-79-0,83.6%,13.4,+1.1
Connecticut,374-75-0,83.3%,14.7,+0.3
N Carolina,358-72-0,83.3%,14.4,+0.4
Wisconsin,368-74-0,83.3%,13.1,+0.9
Dayton,373-79-0,82.5%,10.5,+0.6
Florida,362-77-0,82.5%,15.9,+0.7
Akron,330-71-0,82.3%,11.7,+0.7
Belmont,292-63-0,82.3%,12.2,+1.5
Purdue,357-78-0,82.1%,13.9,+1.7
Cincinnati,385-85-0,81.9%,13.8,+0.7
Ohio St,393-89-0,81.5%,13.8,+0.9
Maryland,388-88-0,81.5%,13.4,0.0
Oklahoma,357-81-0,81.5%,12.8,+1.2
Texas,366-84-0,81.3%,13.3,+0.5
VCU,355-82-0,81.2%,10.2,+0.3
Vermont,305-71-0,81.1%,11.9,+1.8
Butler,338-80-0,80.9%,11.6,+1.0
Villanova,325-77-0,80.9%,11.4,+0.6
Davidson,298-71-0,80.8%,14.2,+0.5
Tennessee,356-85-0,80.7%,12.2,+1.2
Kent St,328-79-0,80.6%,10.8,+0.3
N Dakota St,202-49-0,80.5%,13.7,+0.3
S Dakota St,214-52-0,80.5%,12.2,+3.0
N Mex State,333-81-0,80.4%,12.1,0.0
Sam Hous St,302-74-0,80.3%,14.1,+2.1
Syracuse,395-97-0,80.3%,11.6,-0.7
Arkansas,377-94-0,80.0%,12.6,+1.0
LA Tech,306-77-0,79.9%,11.6,+1.1
UCLA,361-91-0,79.9%,11.0,+0.4
Weber St,302-77-0,79.7%,12.3,+0.6
New Mexico,355-92-0,79.4%,11.6,+1.0
Alabama,351-91-0,79.4%,11.3,+1.3
Virginia,348-91-0,79.3%,11.3,+0.6
Illinois,346-91-0,79.2%,12.6,+1.0
Grd Canyon,146-39-0,78.9%,12.4,+1.4
St Marys,346-93-0,78.8%,12.3,+0.3
Winthrop,301-81-0,78.8%,11.6,-0.6
San Diego St,338-91-0,78.8%,10.8,+0.5
Marquette,364-98-0,78.8%,11.2,+0.2
Utah,341-93-0,78.6%,12.4,+2.0
Ste F Austin,308-84-0,78.6%,13.4,-0.2
Col Charlestn,312-86-0,78.4%,9.5,-1.1
Oregon,365-101-0,78.3%,11.1,+1.1
Utah Valley,223-62-0,78.3%,11.9,+2.2
UAB,338-94-0,78.2%,11.1,+0.7
Wichita St,337-95-0,78.0%,10.9,+0.3
NC Central,158-45-0,77.8%,16.5,+3.1
Oklahoma St,343-98-0,77.8%,11.9,+0.9
W Kentucky,307-88-0,77.7%,9.3,-0.4
Notre Dame,365-105-0,77.7%,10.8,-0.6
Louisville,368-107-0,77.5%,12.1,+0.1
Indiana,350-102-0,77.4%,11.6,+1.2
Stanford,330-99-0,76.9%,10.9,+0.8
Oral Roberts,278-84-0,76.8%,11.2,+0.7
Ohio,311-94-0,76.8%,9.3,+1.1
Iowa St,349-106-0,76.7%,11.0,+1.3
Boise St,313-96-0,76.5%,10.6,+0.4
Princeton,251-78-0,76.3%,10.1,-0.2
Colorado,333-104-0,76.2%,9.5,+1.1
Nevada,316-99-0,76.1%,8.9,+0.7
Pittsburgh,358-113-0,76.0%,10.2,-0.7
Montana,299-96-0,75.7%,10.0,+0.1
Kansas St,340-110-0,75.6%,10.0,+1.0
Iowa,346-112-0,75.6%,11.3,+0.7
Miss State,336-110-0,75.3%,9.8,+0.9
LSU,344-113-0,75.3%,9.8,-0.1
E Washingtn,263-87-0,75.1%,9.6,+0.9
Louisiana,283-94-0,75.1%,9.6,+0.5
Missouri,342-114-0,75.0%,10.4,+0.5
UNLV,367-124-0,74.8%,9.3,-0.5
Houston,319-108-0,74.7%,10.9,+2.1
Michigan,336-114-0,74.7%,9.6,+0.4
E Tenn St,287-98-0,74.6%,10.7,-0.5
Mississippi,334-114-0,74.6%,9.6,-0.1
Tarleton St,41-14-0,74.6%,15.1,+0.9
Tulsa,319-109-0,74.5%,9.1,+0.6
Baylor,334-115-0,74.4%,11.8,+0.7
Texas Tech,338-117-0,74.3%,10.1,+0.7
W Virginia,316-110-0,74.2%,10.6,+0.9
Valparaiso,295-103-0,74.1%,9.4,+0.1
Auburn,333-118-0,73.8%,9.4,+1.4
S Illinois,293-104-0,73.8%,7.0,+0.1
Old Dominion,306-110-0,73.6%,8.4,+0.2
Wright St,300-108-0,73.5%,8.4,+0.8
N Iowa,290-105-0,73.4%,7.9,-0.4
Toledo,282-103-0,73.3%,8.6,+1.0
Wofford,260-95-0,73.2%,11.1,0.0
Clemson,330-122-0,73.0%,9.3,+0.8
N Kentucky,127-47-0,73.0%,9.5,+0.8
Wake Forest,324-120-0,73.0%,8.1,+1.0
UC Irvine,264-99-0,72.7%,8.9,-0.2
Geo Mason,285-107-0,72.7%,7.0,+0.3
Saint Louis,328-124-0,72.6%,7.2,+0.6
Florida St,318-121-0,72.4%,8.7,+0.2
Iona,239-91-0,72.4%,7.5,-0.5
Middle Tenn,286-109-0,72.4%,9.1,+1.0
NC State,351-134-0,72.4%,9.5,-0.3
Norfolk St,227-87-0,72.3%,8.9,+4.4
Texas A&M,322-124-0,72.2%,9.0,-0.3
UCF,306-118-0,72.2%,7.8,+0.5
Miami,313-121-0,72.1%,8.8,-0.3
Hofstra,261-102-0,71.9%,7.6,-0.5
Missouri St,301-118-0,71.8%,8.5,+0.5
Bucknell,260-102-0,71.8%,7.8,-0.9
Washington,318-125-0,71.8%,7.6,-0.1
NC-Asheville,261-103-0,71.7%,9.0,+0.9
Wyoming,314-124-0,71.7%,7.2,+0.4
Minnesota,339-134-0,71.7%,8.4,+0.2
Colorado St,298-119-0,71.5%,8.6,+0.3
Queens,20-8-0,71.4%,11.4,+1.0
Le Moyne,10-4-0,71.4%,14.1,+5.7
Abl Christian,115-46-0,71.4%,14.1,+2.1
TX Southern,220-88-0,71.4%,7.8,-1.4
