Team,Win-Loss Record,Win %,MOV,ATS +/-
Duke,194-48-0,80.2%,9.7,-0.3
Kansas,173-58-0,74.9%,9.2,+0.8
Gonzaga,171-62-0,73.4%,7.3,+0.5
Queens,5-2-0,71.4%,5.6,+5.6
Connecticut,138-57-0,70.8%,5.6,+1.7
N Carolina,160-68-0,70.2%,7.9,+1.2
St. Thomas,7-3-0,70.0%,4.2,+5.8
Kentucky,148-66-0,69.2%,7.0,+0.4
Villanova,134-61-0,68.7%,6.8,+1.3
Florida,133-64-0,67.5%,6.5,+1.0
Arizona,119-59-0,66.9%,5.3,-0.2
Mass Lowell,6-3-0,66.7%,-1.4,+3.4
San Diego St,92-47-0,66.2%,4.0,+1.3
N Dakota St,50-27-0,64.9%,3.0,+1.7
American,16-9-0,64.0%,0.3,+2.6
Michigan St,139-79-0,63.8%,4.1,+0.1
Ohio St,95-55-0,63.3%,3.8,+1.2
Abl Christian,24-14-0,63.2%,1.9,+1.4
Belmont,55-33-0,62.5%,3.9,-0.8
Utah St,76-46-0,62.3%,3.7,+1.3
Virginia,77-47-0,62.1%,3.2,-2.0
Wisconsin,103-63-0,62.1%,3.6,+0.3
Cincinnati,85-52-0,62.0%,4.2,-0.4
Baylor,86-53-0,61.9%,4.6,+1.3
Creighton,77-48-0,61.6%,3.9,+1.1
Houston,74-47-0,61.2%,4.1,+0.6
Butler,87-56-0,60.8%,2.1,+1.8
S Dakota St,53-35-0,60.2%,2.5,-0.4
N Mex State,62-41-0,60.2%,3.3,+1.5
Syracuse,98-65-0,60.1%,2.8,+1.5
Bucknell,30-20-0,60.0%,1.9,+0.6
UCSB,45-30-0,60.0%,3.5,+1.3
Utah Tech,3-2-0,60.0%,0.2,+2.3
W Virginia,103-69-0,59.9%,3.5,+0.3
Illinois,113-76-0,59.8%,3.2,-0.4
Michigan,95-66-0,59.0%,4.0,+2.8
Kent St,66-46-0,58.9%,3.2,+1.4
Pittsburgh,83-58-0,58.9%,3.3,+0.6
NC Central,30-21-0,58.8%,4.4,+2.3
Iowa St,78-55-0,58.7%,2.5,+1.5
Morehead St,34-24-0,58.6%,1.2,+1.0
W Kentucky,74-53-0,58.3%,1.9,+1.7
Oklahoma St,89-64-0,58.2%,2.3,+0.4
Miami,80-58-0,58.0%,2.2,0.0
Purdue,107-78-0,57.8%,2.6,-0.9
E Kentucky,30-22-0,57.7%,1.7,+1.6
Yale,38-28-0,57.6%,2.4,+3.5
Oregon,77-57-0,57.5%,1.7,+0.5
Xavier,89-66-0,57.4%,2.4,+0.2
Georgia St,43-32-0,57.3%,2.8,+2.3
Louisiana,51-38-0,57.3%,1.8,+1.9
Grd Canyon,28-21-0,57.1%,2.1,+1.9
E Tenn St,48-36-0,57.1%,3.4,+2.2
North Dakota,28-21-0,57.1%,-0.2,+1.7
Florida St,78-59-0,56.9%,1.2,-0.6
Oklahoma,91-69-0,56.9%,2.4,-0.1
Louisville,76-58-0,56.7%,4.5,+0.4
Ste F Austin,38-29-0,56.7%,2.9,+0.6
UCLA,98-75-0,56.7%,1.8,-1.0
Marquette,74-57-0,56.5%,1.5,+0.5
Maryland,88-68-0,56.4%,3.3,-0.3
Texas,99-77-0,56.3%,2.2,-0.4
Col Charlestn,64-50-0,56.1%,1.2,-0.6
NC-Wilmgton,56-44-0,56.0%,1.2,+2.0
Austin Peay,44-35-0,55.7%,0.9,+0.8
Nevada,54-43-0,55.7%,2.4,+0.4
Memphis,79-63-0,55.6%,1.8,-0.7
NC State,70-56-0,55.6%,1.1,+2.2
Tarleton St,5-4-0,55.6%,3.1,+3.9
USC,67-54-0,55.4%,1.6,+1.2
Valparaiso,57-46-0,55.3%,1.4,+1.1
Harvard,21-17-0,55.3%,1.6,+3.1
Alabama,92-75-0,55.1%,1.3,+0.2
Colorado St,60-49-0,55.1%,2.1,+1.6
Tennessee,88-72-0,55.0%,2.0,-1.2
Iona,77-63-0,55.0%,3.2,+1.8
Colorado,67-55-0,54.9%,1.3,+0.7
Miss State,85-70-0,54.8%,1.8,+0.7
Dayton,70-58-0,54.7%,0.6,+0.9
Richmond,59-49-0,54.6%,1.1,+0.9
VCU,71-59-0,54.6%,2.9,+2.6
BYU,79-66-0,54.5%,3.0,-0.6
Akron,61-51-0,54.5%,1.1,0.0
North Texas,41-35-0,54.0%,1.0,+0.4
Vermont,41-35-0,54.0%,1.4,+0.4
Wofford,42-36-0,53.9%,2.5,-0.7
Rider,42-36-0,53.9%,0.4,-0.6
St Johns,58-50-0,53.7%,0.6,-0.3
Loyola-Chi,45-39-0,53.6%,1.8,+1.3
TX A&M-CC,30-26-0,53.6%,0.6,-1.7
Seattle,23-20-0,53.5%,2.2,+2.3
LA Tech,46-40-0,53.5%,1.7,-1.2
Albany,23-20-0,53.5%,0.8,+2.6
Mississippi,65-57-0,53.3%,0.2,-2.3
Georgetown,66-58-0,53.2%,2.0,+0.4
Gard-Webb,34-30-0,53.1%,1.4,+0.9
Rob Morris,18-16-0,52.9%,-0.1,+2.4
N Iowa,63-56-0,52.9%,0.9,+1.3
Texas St,36-32-0,52.9%,2.1,+4.2
UC Irvine,55-49-0,52.9%,1.9,-0.9
Murray St,55-49-0,52.9%,1.5,-1.5
Arkansas,74-66-0,52.9%,0.2,-1.9
Montana,38-34-0,52.8%,-0.9,-1.8
Winthrop,39-35-0,52.7%,-1.2,-0.6
Wagner,10-9-0,52.6%,0.1,-1.4
NC-Grnsboro,40-36-0,52.6%,-0.5,-0.7
Stanford,74-67-0,52.5%,0.6,-1.0
Lamar,22-20-0,52.4%,-0.1,+1.2
St Marys,66-60-0,52.4%,0.5,-2.1
Auburn,67-61-0,52.3%,0.5,-0.8
UCF,45-41-0,52.3%,0.8,+2.0
Fairfield,45-41-0,52.3%,0.2,-0.5
Tulsa,61-56-0,52.1%,1.2,0.0
S Carolina,64-59-0,52.0%,-0.3,+0.1
St Bonavent,53-49-0,52.0%,0.2,+0.8
Temple,68-63-0,51.9%,0.7,+0.8
Lehigh,14-13-0,51.9%,1.5,+2.2
Sam Hous St,42-39-0,51.9%,0.8,+0.6
Detroit,29-27-0,51.8%,-1.4,-3.1
Jksnville St,31-29-0,51.7%,-0.5,+0.4
Weber St,51-48-0,51.5%,1.1,+0.4
Northeastrn,52-49-0,51.5%,0.4,+0.5
Radford,35-33-0,51.5%,0.2,+0.8
AR Lit Rock,35-33-0,51.5%,0.6,+0.4
S Mississippi,53-50-0,51.5%,-0.5,-0.8
Clemson,62-59-0,51.2%,3.6,+0.4
Toledo,44-42-0,51.2%,0.0,-1.5
Kansas St,68-65-0,51.1%,1.1,+0.4
Wichita St,70-67-0,51.1%,3.0,+0.3
Davidson,72-69-0,51.1%,0.7,-0.4
Ohio,49-47-0,51.0%,-0.6,0.0
Hofstra,54-52-0,50.9%,0.0,-0.1
Denver,32-31-0,50.8%,0.3,-0.6
SE Missouri,32-31-0,50.8%,0.2,+0.9
Wright St,32-31-0,50.8%,1.1,+0.8
Utah,66-64-0,50.8%,-1.3,-2.6
Montana St,35-34-0,50.7%,-0.4,+0.2
St Josephs,71-69-0,50.7%,0.6,+0.1
Furman,38-37-0,50.7%,0.4,-1.0
Delaware,41-40-0,50.6%,-1.3,+0.9
Oral Roberts,47-46-0,50.5%,0.9,-1.1
Seton Hall,57-56-0,50.4%,-0.6,-0.7
New Mexico,57-56-0,50.4%,0.2,-2.0
Notre Dame,68-67-0,50.4%,1.1,+0.2
Indiana,71-70-0,50.4%,0.4,-1.6
Niagara,42-42-0,50.0%,0.0,-0.1
TN State,25-25-0,50.0%,0.6,-0.3
TX-Arlington,25-25-0,50.0%,0.8,+0.3
Buffalo,45-45-0,50.0%,0.3,-0.7
Saint Louis,56-56-0,50.0%,0.2,+0.7
S Alabama,31-31-0,50.0%,0.4,+1.3
TX Southern,38-38-0,50.0%,-0.5,+0.9
Stonehill,1-1-0,50.0%,-2.0,+1.3
E Washingtn,32-32-0,50.0%,0.5,+1.4
Geo Mason,57-58-0,49.6%,-0.8,-1.0
Pepperdine,55-56-0,49.6%,1.3,+2.1
GA Tech,53-54-0,49.5%,-1.3,-0.9
Hampton,53-54-0,49.5%,-0.4,+0.8
TX Christian,52-53-0,49.5%,0.2,+0.5
Boise St,45-46-0,49.5%,0.7,0.0
Samford,33-34-0,49.3%,-0.9,-0.6
UC Davis,32-33-0,49.2%,-3.3,-3.4
Minnesota,55-57-0,49.1%,-1.4,-0.9
U Mass,51-53-0,49.0%,0.3,+0.8
TX El Paso,42-44-0,48.8%,-0.2,-0.5
TN Tech,21-22-0,48.8%,1.5,-0.6
Oakland,41-43-0,48.8%,1.5,+0.8
VA Tech,59-62-0,48.8%,0.3,+0.8
Penn St,59-62-0,48.8%,-0.7,+0.7
Washington,58-61-0,48.7%,-0.1,+0.9
Fla Gulf Cst,18-19-0,48.7%,0.2,+2.7
Princeton,35-37-0,48.6%,-0.8,-0.3
Hawaii,34-36-0,48.6%,0.8,+1.9
Monmouth,34-36-0,48.6%,-3.6,-0.3
Rhode Island,49-52-0,48.5%,-0.3,-0.1
Lg Beach St,48-51-0,48.5%,-1.5,+0.5
Arkansas St,31-33-0,48.4%,-0.2,-1.2
Portland St,29-31-0,48.3%,-0.7,+0.5
