Team,Win-Loss Record,Win %,MOV,ATS +/-
Le Moyne,7-1-0,87.5%,20.5,+9.1
Gonzaga,170-27-0,86.3%,17.7,+1.9
Kansas,215-42-0,83.7%,13.8,+0.7
Duke,174-37-0,82.5%,14.4,+0.3
Utah St,181-53-0,77.4%,11.8,+1.8
Kentucky,194-60-0,76.4%,10.3,-0.2
St Marys,165-52-0,76.0%,11.4,+0.8
Queens,12-4-0,75.0%,15.2,+1.5
Arizona,127-43-0,74.7%,11.4,+0.5
Vermont,137-48-0,74.1%,8.5,+1.8
St. Thomas,14-5-0,73.7%,17.2,-3.6
Xavier,172-63-0,73.2%,7.9,+0.5
Ste F Austin,185-70-0,72.6%,11.8,+0.7
Tarleton St,29-11-0,72.5%,18.4,+3.5
Grd Canyon,65-25-0,72.2%,12.2,+2.9
Oregon,139-55-0,71.7%,9.2,+1.3
N Carolina,178-72-0,71.2%,9.3,+0.3
Louisville,174-72-0,70.7%,9.1,+0.3
Michigan St,188-79-0,70.4%,9.2,+0.3
Chattanooga,155-66-0,70.1%,12.1,+0.2
LSU,136-58-0,70.1%,7.3,+1.1
Oklahoma,171-73-0,70.1%,8.2,+0.3
Creighton,185-79-0,70.1%,8.1,+0.3
Akron,162-70-0,69.8%,8.6,-0.4
N Mex State,145-63-0,69.7%,10.5,-0.6
Sam Hous St,161-70-0,69.7%,12.9,-1.2
BYU,131-57-0,69.7%,11.5,+2.0
Purdue,181-79-0,69.6%,8.5,+0.7
Kent St,174-76-0,69.6%,8.0,+0.2
Boise St,153-67-0,69.6%,9.2,+0.4
San Diego St,161-71-0,69.4%,8.5,+0.8
N Dakota St,127-56-0,69.4%,11.1,+1.7
Cal Baptist,34-15-0,69.4%,16.2,-1.1
Montana,158-70-0,69.3%,8.4,+1.6
Murray St,148-66-0,69.2%,10.6,-0.8
Wichita St,168-75-0,69.1%,7.5,+0.6
Villanova,172-77-0,69.1%,7.3,-0.4
VCU,149-67-0,69.0%,6.7,-0.6
Miss State,139-63-0,68.8%,6.8,+0.7
Florida,150-68-0,68.8%,10.8,+0.3
Dayton,154-70-0,68.8%,6.8,+1.2
Memphis,153-70-0,68.6%,6.7,-0.9
Syracuse,180-83-0,68.4%,7.4,-0.5
UCLA,131-61-0,68.2%,7.1,-0.6
Connecticut,182-85-0,68.2%,9.4,-0.3
Tennessee,151-71-0,68.0%,8.1,+0.1
Arkansas,127-60-0,67.9%,7.5,-1.1
San Francisco,127-60-0,67.9%,8.5,+1.5
Col Charlestn,130-62-0,67.7%,7.3,+0.2
Wisconsin,166-81-0,67.2%,7.3,+0.4
Maryland,194-95-0,67.1%,8.3,+0.9
W Virginia,171-84-0,67.1%,7.6,0.0
Nevada,146-73-0,66.7%,5.9,+0.6
USC,118-59-0,66.7%,5.3,-0.1
New Mexico,148-74-0,66.7%,7.5,-0.8
Texas,157-79-0,66.5%,7.3,-0.4
Abl Christian,75-38-0,66.4%,14.3,+1.1
Winthrop,151-77-0,66.2%,8.4,-0.9
Fla Gulf Cst,92-47-0,66.2%,6.2,+4.1
Illinois,170-88-0,65.9%,8.0,+1.2
S Dakota St,106-55-0,65.8%,8.0,+1.7
Baylor,146-76-0,65.8%,9.0,-0.7
Utah,146-76-0,65.8%,8.8,+0.1
Cincinnati,162-85-0,65.6%,7.2,-0.8
Marquette,177-93-0,65.6%,6.1,+0.2
UCSD,17-9-0,65.4%,10.5,-0.1
Mass Lowell,51-27-0,65.4%,9.7,+0.3
Ohio St,172-92-0,65.2%,6.8,+0.2
Arkansas St,134-72-0,65.1%,8.6,-0.7
UAB,132-71-0,65.0%,5.6,-0.7
Weber St,158-85-0,65.0%,9.2,-1.4
Alabama,148-80-0,64.9%,5.9,+0.2
Texas A&M,151-82-0,64.8%,5.6,-0.6
Hawaii,132-72-0,64.7%,5.3,-0.2
W Kentucky,128-70-0,64.7%,7.3,0.0
Fresno St,147-81-0,64.5%,6.3,+0.9
Pittsburgh,166-92-0,64.3%,6.3,-0.2
Iowa St,144-80-0,64.3%,7.4,+0.1
Stanford,97-54-0,64.2%,7.6,-0.7
Harvard,104-58-0,64.2%,4.7,-0.4
Louisiana,134-75-0,64.1%,7.3,+0.7
Wyoming,148-83-0,64.1%,5.0,-0.6
LA Tech,128-72-0,64.0%,8.1,+0.8
UC Irvine,133-75-0,63.9%,8.0,+0.4
E Tenn St,140-79-0,63.9%,9.1,+0.4
Ohio,130-74-0,63.7%,6.4,+0.4
UCSB,135-77-0,63.7%,6.6,-0.3
TX A&M-Com,7-4-0,63.6%,16.9,+0.9
Notre Dame,161-92-0,63.6%,6.0,+0.7
Missouri St,127-73-0,63.5%,6.5,+1.0
Virginia,160-92-0,63.5%,5.2,0.0
South Dakota,92-53-0,63.5%,7.8,-1.0
Indiana,168-97-0,63.4%,5.4,0.0
Davidson,169-100-0,62.8%,9.6,+0.8
Wofford,145-86-0,62.8%,9.9,+0.8
Morehead St,133-79-0,62.7%,8.9,+0.1
S Methodist,136-81-0,62.7%,6.5,+0.1
Kansas St,145-87-0,62.5%,5.7,-0.1
S Indiana,10-6-0,62.5%,9.7,+0.2
Colorado,128-77-0,62.4%,5.1,-0.2
Middle Tenn,133-80-0,62.4%,6.8,+0.3
Missouri,131-79-0,62.4%,6.2,-0.2
Butler,134-81-0,62.3%,5.3,0.0
TX-Arlington,129-78-0,62.3%,6.8,+2.7
Utah Valley,114-69-0,62.3%,8.5,+0.3
Geo Mason,122-74-0,62.2%,3.0,+0.3
Houston,138-84-0,62.2%,5.7,+0.3
Princeton,104-64-0,61.9%,6.8,+0.1
Wright St,133-82-0,61.9%,5.2,+0.1
Temple,136-84-0,61.8%,3.1,-0.1
Hofstra,123-76-0,61.8%,4.8,+1.0
Valparaiso,134-83-0,61.8%,6.5,-0.2
Colorado St,138-86-0,61.6%,5.8,-0.1
GA Southern,130-81-0,61.6%,8.2,-0.8
Santa Clara,110-69-0,61.5%,5.3,-1.1
Utah Tech,19-12-0,61.3%,8.5,-0.9
Richmond,136-86-0,61.3%,4.0,+0.7
Furman,139-88-0,61.2%,8.8,-0.3
Oklahoma St,137-87-0,61.2%,7.4,-0.2
S Illinois,129-82-0,61.1%,3.8,-0.3
UNLV,135-86-0,61.1%,6.5,-0.3
Washington,113-72-0,61.1%,4.3,-0.1
S Mississippi,149-95-0,61.1%,5.6,-1.5
Michigan,150-96-0,61.0%,4.0,-0.2
N Iowa,139-89-0,61.0%,6.3,+0.1
Miami,157-101-0,60.9%,4.5,+0.1
TX A&M-CC,141-91-0,60.8%,6.4,-3.2
Oakland,116-75-0,60.7%,4.8,+0.7
Auburn,108-70-0,60.7%,6.3,+0.2
Georgetown,172-112-0,60.6%,5.1,-0.2
TX El Paso,121-79-0,60.5%,6.5,-0.7
N Alabama,29-19-0,60.4%,11.4,+0.4
James Mad,97-64-0,60.3%,4.2,-0.6
S Alabama,134-90-0,59.8%,6.0,-0.5
Incar Word,61-41-0,59.8%,6.4,+0.9
Oral Roberts,123-83-0,59.7%,6.9,-2.3
Ball St,123-83-0,59.7%,4.6,-0.7
Bowling Grn,120-81-0,59.7%,5.0,-1.3
NC State,142-96-0,59.7%,4.7,-0.4
Samford,118-80-0,59.6%,5.8,-1.7
N Kentucky,59-40-0,59.6%,7.9,+1.6
NC-Asheville,134-91-0,59.6%,5.7,+0.1
E Washingtn,128-87-0,59.5%,6.1,+1.1
N Arizona,113-77-0,59.5%,5.9,-2.1
Bradley,129-88-0,59.5%,3.9,+0.7
Georgia St,126-86-0,59.4%,5.7,+0.2
Charlotte,108-74-0,59.3%,2.8,+0.8
Portland St,130-90-0,59.1%,7.7,-1.4
Old Dominion,111-77-0,59.0%,3.9,+0.2
Lamar,129-90-0,58.9%,8.1,+0.9
Siena,136-95-0,58.9%,2.1,+1.6
Cleveland St,127-89-0,58.8%,4.6,+1.1
SE Louisiana,134-94-0,58.8%,6.3,+1.7
App State,134-94-0,58.8%,8.7,+0.9
Texas St,131-92-0,58.7%,7.4,-0.8
Iona,144-102-0,58.5%,2.9,0.0
Belmont,127-90-0,58.5%,5.0,0.0
Tulsa,124-88-0,58.5%,4.7,+0.3
Coastal Car,153-109-0,58.4%,8.4,-0.1
Mississippi,122-87-0,58.4%,3.8,+0.4
St Josephs,133-95-0,58.3%,2.9,+0.4
Loyola-Chi,117-84-0,58.2%,4.1,-0.2
Wagner,100-72-0,58.1%,2.5,+1.0
UCF,127-92-0,58.0%,2.8,-0.1
Jacksonville,124-90-0,57.9%,5.1,+0.5
North Dakota,75-55-0,57.7%,5.4,-0.5
North Texas,129-95-0,57.6%,4.9,-1.0
Lg Beach St,107-79-0,57.5%,3.6,+0.1
Radford,139-103-0,57.4%,3.2,-1.3
N Colorado,98-73-0,57.3%,6.5,0.0
Lipscomb,111-83-0,57.2%,5.3,+0.2
Iowa,141-106-0,57.1%,4.1,0.0
Wash State,105-79-0,57.1%,2.5,-0.7
Seattle,81-61-0,57.0%,5.6,-1.2
Toledo,127-96-0,57.0%,4.4,+0.5
Pacific,103-78-0,56.9%,3.8,-2.1
AR Lit Rock,121-92-0,56.8%,4.4,-1.3
Minnesota,151-115-0,56.8%,3.7,+0.7
Florida St,143-109-0,56.8%,1.7,-0.9
NC Central,93-71-0,56.7%,11.6,+3.4
High Point,123-94-0,56.7%,7.5,+0.8
McNeese St,136-104-0,56.7%,6.5,+2.5
Bellarmine,17-13-0,56.7%,14.1,-0.9
Wake Forest,149-114-0,56.7%,2.3,+0.4
Providence,133-102-0,56.6%,3.0,0.0
Central Mich,120-92-0,56.6%,4.2,-0.7
Hampton,116-89-0,56.6%,3.2,-0.1
Illinois St,113-87-0,56.5%,3.0,-0.2
E Illinois,101-78-0,56.4%,5.2,-0.5
Clemson,154-119-0,56.4%,3.8,+0.8
St Johns,137-106-0,56.4%,2.8,+0.3
IPFW,98-76-0,56.3%,8.3,-0.3
Liberty,158-123-0,56.2%,6.2,-0.2
Oregon St,104-81-0,56.2%,4.0,-0.1
WI-Milwkee,124-97-0,56.1%,3.9,+1.0
Austin Peay,111-87-0,56.1%,4.4,-0.7
Rice,102-80-0,56.0%,4.2,+0.3
SE Missouri,112-88-0,56.0%,4.6,+1.1
U Mass,124-98-0,55.9%,1.6,+0.1
San Diego,101-80-0,55.8%,3.6,-0.2
Montana St,111-88-0,55.8%,6.1,-1.0
New Orleans,116-92-0,55.8%,3.6,+0.3
Geo Wshgtn,122-97-0,55.7%,1.9,-0.6
Texas Tech,118-94-0,55.7%,3.9,-0.2
UTSA,119-95-0,55.6%,4.5,-0.1
Evansville,125-100-0,55.6%,1.8,-1.1
Merrimack,15-12-0,55.6%,4.4,-2.4
Bucknell,97-78-0,55.4%,2.1,+0.2
Marshall,103-83-0,55.4%,5.5,-0.3
Vanderbilt,104-84-0,55.3%,3.2,-0.8
TN Tech,120-97-0,55.3%,7.6,-1.7
Buffalo,122-99-0,55.2%,4.3,+1.0
IU Indy,103-84-0,55.1%,3.6,+0.7
California,93-76-0,55.0%,1.7,-1.2
Drake,127-104-0,55.0%,4.3,+0.1
UC Riverside,94-77-0,55.0%,4.3,+0.4
TX Christian,128-105-0,54.9%,3.3,-1.4
E Kentucky,123-101-0,54.9%,7.1,-0.4
Jksnville St,114-94-0,54.8%,4.7,+0.4
Boston Col,137-113-0,54.8%,0.3,-0.5
VA Tech,144-119-0,54.8%,3.1,-0.3
Saint Louis,127-105-0,54.7%,2.2,+0.1
