Feature,Coefficient,abs_coefficient
FGA_x,2.074209142808396,2.074209142808396
TRB_y,-1.3637960510334244,1.3637960510334244
seedDiff,0.8034053300092455,0.8034053300092455
3P%_y,0.7742177558120584,0.7742177558120584
FTA_x,-0.7009994057914265,0.7009994057914265
Opp_y,-0.6749320493703039,0.6749320493703039
AST_x,-0.4146320283678113,0.4146320283678113
upperclassmen_y,-0.3859388413707179,0.3859388413707179
TOV_x,0.36460932645056077,0.36460932645056077
3PA_x,-0.3525306701516745,0.3525306701516745
PF_y,0.2736252267118192,0.2736252267118192
isUnderdog_x,0.23433047510004149,0.23433047510004149
FT%_x,0.1905799867254291,0.1905799867254291
3PA_y,-0.18149005443384025,0.18149005443384025
BLK_y,0.1754008697390507,0.1754008697390507
upperclassmen_x,0.1556527026231468,0.1556527026231468
FG%_y,0.14214641024922367,0.14214641024922367
isUnderdog_y,-0.12290595515469263,0.12290595515469263
FT%_y,-0.08884321891742498,0.08884321891742498
3P%_x,0.06308753299605302,0.06308753299605302
SOS_y,-0.021570984223273634,0.021570984223273634
FGA_y,-0.0018743976684440782,0.0018743976684440782
