Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
10,SR,G,6-3,198,"Lacey, WA",Timberline HS,,"15.4 Pts, 3.4 Reb, 2.5 Ast",
3,SR,C,6-9,240,"Pittsburgh, PA",Woodstock Academy,86 (2019),"11.7 Pts, 5.5 Reb, 1.8 Ast",
0,SR,G,6-3,180,"Dallas, TX",South Oak Cliff (TX),,"11.7 Pts, 2.2 Reb, 3.1 Ast",
1,SR,F,6-7,215,"Tacoma, WA",Woodrow Wilson HS,,"10.2 Pts, 3.9 Reb, 1.2 Ast",
5,SR,G,6-0,190,"Bronx, NY",Cardinal Hayes (NY),,"9.4 Pts, 2.8 Reb, 2.6 Ast",
15,SR,F,6-10,270,"Saginaw, MI",Bella Vista Prep (AZ),,"4.8 Pts, 5.2 Reb, 0.5 Ast",
14,SO,G,6-1,215,"Lorain, OH",Lorain HS,,"4.2 Pts, 0.9 Reb, 0.5 Ast",
11,SO,F,6-10,225,"Bronx, NY",Frederick Douglass (NY); Scotland Campus (PA),,"4.1 Pts, 3.1 Reb, 0.3 Ast",
32,SO,F,6-8,230,"Maidenhead, United Kingdom",Furze Platt (England); Beckley Prep IJN (WV),,"2.5 Pts, 3.2 Reb, 0.2 Ast",
2,SO,G,6-3,210,"Canton, OH",Canton McKinley HS,,"2.0 Pts, 1.0 Reb, 0.5 Ast",
22,FR,F,6-7,200,"Canton, OH",Richmond Heights (OH),,"1.8 Pts, 0.9 Reb, 0.1 Ast",
24,SO,F,6-8,230,"Green Bay, WI",Denmark (WI),,"1.4 Pts, 1.3 Reb, 0.1 Ast",
4,SO,F,6-7,190,"Uniontown, AL",Bella Vista Prep (AZ),,"1.5 Pts, 0.6 Reb, 0.3 Ast",
12,FR,G,6-3,195,"Kitchener, Canada",Teays Valley Christian (WV),,"0.8 Pts, 0.3 Reb, 0.2 Ast",
